code_point	symbol	block	block_name	name	tab_completion	latex_code
FE00	"""︀"""	FE00..FE0F	Variation Selectors	Variation selector-1		
FE01	"""︁"""	FE00..FE0F	Variation Selectors	Variation selector-2		
FE02	"""︂"""	FE00..FE0F	Variation Selectors	Variation selector-3		
FE03	"""︃"""	FE00..FE0F	Variation Selectors	Variation selector-4		
FE04	"""︄"""	FE00..FE0F	Variation Selectors	Variation selector-5		
FE05	"""︅"""	FE00..FE0F	Variation Selectors	Variation selector-6		
FE06	"""︆"""	FE00..FE0F	Variation Selectors	Variation selector-7		
FE07	"""︇"""	FE00..FE0F	Variation Selectors	Variation selector-8		
FE08	"""︈"""	FE00..FE0F	Variation Selectors	Variation selector-9		
FE09	"""︉"""	FE00..FE0F	Variation Selectors	Variation selector-10		
FE0A	"""︊"""	FE00..FE0F	Variation Selectors	Variation selector-11		
FE0B	"""︋"""	FE00..FE0F	Variation Selectors	Variation selector-12		
FE0C	"""︌"""	FE00..FE0F	Variation Selectors	Variation selector-13		
FE0D	"""︍"""	FE00..FE0F	Variation Selectors	Variation selector-14		
FE0E	"""︎"""	FE00..FE0F	Variation Selectors	Variation selector-15		
FE0F	"""️"""	FE00..FE0F	Variation Selectors	Variation selector-16		
