code_point	symbol	block	block_name	name	tab_completion	latex_code
U+FE50	﹐	FE50..FE6F	Small Form Variants	Small comma		
U+FE51	﹑	FE50..FE6F	Small Form Variants	Small ideographic comma		
U+FE52	﹒	FE50..FE6F	Small Form Variants	Small full stop		
U+FE54	﹔	FE50..FE6F	Small Form Variants	Small semicolon		
U+FE55	﹕	FE50..FE6F	Small Form Variants	Small colon		
U+FE56	﹖	FE50..FE6F	Small Form Variants	Small question mark		
U+FE57	﹗	FE50..FE6F	Small Form Variants	Small exclamation mark		
U+FE58	﹘	FE50..FE6F	Small Form Variants	Small em dash		
U+FE59	﹙	FE50..FE6F	Small Form Variants	Small left parenthesis		
U+FE5A	﹚	FE50..FE6F	Small Form Variants	Small right parenthesis		
U+FE5B	﹛	FE50..FE6F	Small Form Variants	Small left curly bracket		
U+FE5C	﹜	FE50..FE6F	Small Form Variants	Small right curly bracket		
U+FE5D	﹝	FE50..FE6F	Small Form Variants	Small left tortoise shell bracket		
U+FE5E	﹞	FE50..FE6F	Small Form Variants	Small right tortoise shell bracket		
U+FE5F	﹟	FE50..FE6F	Small Form Variants	Small number sign		
U+FE60	﹠	FE50..FE6F	Small Form Variants	Small ampersand		
U+FE61	﹡	FE50..FE6F	Small Form Variants	Small asterisk		
U+FE62	﹢	FE50..FE6F	Small Form Variants	Small plus sign		
U+FE63	﹣	FE50..FE6F	Small Form Variants	Small hyphen-minus		
U+FE64	﹤	FE50..FE6F	Small Form Variants	Small less-than sign		
U+FE65	﹥	FE50..FE6F	Small Form Variants	Small greater-than sign		
U+FE66	﹦	FE50..FE6F	Small Form Variants	Small equals sign		
U+FE68	﹨	FE50..FE6F	Small Form Variants	Small reverse solidus		
U+FE69	﹩	FE50..FE6F	Small Form Variants	Small dollar sign		
U+FE6A	﹪	FE50..FE6F	Small Form Variants	Small percent sign		
U+FE6B	﹫	FE50..FE6F	Small Form Variants	Small commercial at		
