code_point	symbol	block	block_name	name	tab_completion	latex_code
U+FE70	ﹰ	FE70..FEFF	Arabic Presentation Forms-B	Arabic fathatan isolated form		
U+FE71	ﹱ	FE70..FEFF	Arabic Presentation Forms-B	Arabic tatweel with fathatan above		
U+FE72	ﹲ	FE70..FEFF	Arabic Presentation Forms-B	Arabic dammatan isolated form		
U+FE73	ﹳ	FE70..FEFF	Arabic Presentation Forms-B	Arabic tail fragment		
U+FE74	ﹴ	FE70..FEFF	Arabic Presentation Forms-B	Arabic kasratan isolated form		
U+FE76	ﹶ	FE70..FEFF	Arabic Presentation Forms-B	Arabic fatha isolated form		
U+FE77	ﹷ	FE70..FEFF	Arabic Presentation Forms-B	Arabic fatha medial form		
U+FE78	ﹸ	FE70..FEFF	Arabic Presentation Forms-B	Arabic damma isolated form		
U+FE79	ﹹ	FE70..FEFF	Arabic Presentation Forms-B	Arabic damma medial form		
U+FE7A	ﹺ	FE70..FEFF	Arabic Presentation Forms-B	Arabic kasra isolated form		
U+FE7B	ﹻ	FE70..FEFF	Arabic Presentation Forms-B	Arabic kasra medial form		
U+FE7C	ﹼ	FE70..FEFF	Arabic Presentation Forms-B	Arabic shadda isolated form		
U+FE7D	ﹽ	FE70..FEFF	Arabic Presentation Forms-B	Arabic shadda medial form		
U+FE7E	ﹾ	FE70..FEFF	Arabic Presentation Forms-B	Arabic sukun isolated form		
U+FE7F	ﹿ	FE70..FEFF	Arabic Presentation Forms-B	Arabic sukun medial form		
U+FE80	ﺀ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter hamza isolated form		
U+FE81	ﺁ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter alef with madda above isolated form		
U+FE82	ﺂ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter alef with madda above final form		
U+FE83	ﺃ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter alef with hamza above isolated form		
U+FE84	ﺄ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter alef with hamza above final form		
U+FE85	ﺅ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter waw with hamza above isolated form		
U+FE86	ﺆ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter waw with hamza above final form		
U+FE87	ﺇ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter alef with hamza below isolated form		
U+FE88	ﺈ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter alef with hamza below final form		
U+FE89	ﺉ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter yeh with hamza above isolated form		
U+FE8A	ﺊ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter yeh with hamza above final form		
U+FE8B	ﺋ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter yeh with hamza above initial form		
U+FE8C	ﺌ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter yeh with hamza above medial form		
U+FE8D	ﺍ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter alef isolated form		
U+FE8E	ﺎ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter alef final form		
U+FE8F	ﺏ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter beh isolated form		
U+FE90	ﺐ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter beh final form		
U+FE91	ﺑ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter beh initial form		
U+FE92	ﺒ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter beh medial form		
U+FE93	ﺓ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter teh marbuta isolated form		
U+FE94	ﺔ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter teh marbuta final form		
U+FE95	ﺕ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter teh isolated form		
U+FE96	ﺖ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter teh final form		
U+FE97	ﺗ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter teh initial form		
U+FE98	ﺘ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter teh medial form		
U+FE99	ﺙ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter theh isolated form		
U+FE9A	ﺚ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter theh final form		
U+FE9B	ﺛ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter theh initial form		
U+FE9C	ﺜ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter theh medial form		
U+FE9D	ﺝ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter jeem isolated form		
U+FE9E	ﺞ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter jeem final form		
U+FE9F	ﺟ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter jeem initial form		
U+FEA0	ﺠ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter jeem medial form		
U+FEA1	ﺡ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter hah isolated form		
U+FEA2	ﺢ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter hah final form		
U+FEA3	ﺣ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter hah initial form		
U+FEA4	ﺤ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter hah medial form		
U+FEA5	ﺥ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter khah isolated form		
U+FEA6	ﺦ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter khah final form		
U+FEA7	ﺧ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter khah initial form		
U+FEA8	ﺨ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter khah medial form		
U+FEA9	ﺩ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter dal isolated form		
U+FEAA	ﺪ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter dal final form		
U+FEAB	ﺫ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter thal isolated form		
U+FEAC	ﺬ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter thal final form		
U+FEAD	ﺭ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter reh isolated form		
U+FEAE	ﺮ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter reh final form		
U+FEAF	ﺯ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter zain isolated form		
U+FEB0	ﺰ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter zain final form		
U+FEB1	ﺱ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter seen isolated form		
U+FEB2	ﺲ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter seen final form		
U+FEB3	ﺳ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter seen initial form		
U+FEB4	ﺴ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter seen medial form		
U+FEB5	ﺵ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter sheen isolated form		
U+FEB6	ﺶ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter sheen final form		
U+FEB7	ﺷ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter sheen initial form		
U+FEB8	ﺸ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter sheen medial form		
U+FEB9	ﺹ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter sad isolated form		
U+FEBA	ﺺ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter sad final form		
U+FEBB	ﺻ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter sad initial form		
U+FEBC	ﺼ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter sad medial form		
U+FEBD	ﺽ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter dad isolated form		
U+FEBE	ﺾ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter dad final form		
U+FEBF	ﺿ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter dad initial form		
U+FEC0	ﻀ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter dad medial form		
U+FEC1	ﻁ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter tah isolated form		
U+FEC2	ﻂ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter tah final form		
U+FEC3	ﻃ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter tah initial form		
U+FEC4	ﻄ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter tah medial form		
U+FEC5	ﻅ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter zah isolated form		
U+FEC6	ﻆ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter zah final form		
U+FEC7	ﻇ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter zah initial form		
U+FEC8	ﻈ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter zah medial form		
U+FEC9	ﻉ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter ain isolated form		
U+FECA	ﻊ	FE70..FEFF	Arabic Presentation Forms-B	Arabic letter ain final form		
