code_point	symbol	block	block_name	name	tab_completion	latex_code
10000	"""𐀀"""	10000..1007F	Linear B Syllabary	Linear b syllable b008 a		
10001	"""𐀁"""	10000..1007F	Linear B Syllabary	Linear b syllable b038 e		
10002	"""𐀂"""	10000..1007F	Linear B Syllabary	Linear b syllable b028 i		
10003	"""𐀃"""	10000..1007F	Linear B Syllabary	Linear b syllable b061 o		
10004	"""𐀄"""	10000..1007F	Linear B Syllabary	Linear b syllable b010 u		
10005	"""𐀅"""	10000..1007F	Linear B Syllabary	Linear b syllable b001 da		
10006	"""𐀆"""	10000..1007F	Linear B Syllabary	Linear b syllable b045 de		
10007	"""𐀇"""	10000..1007F	Linear B Syllabary	Linear b syllable b007 di		
10008	"""𐀈"""	10000..1007F	Linear B Syllabary	Linear b syllable b014 do		
10009	"""𐀉"""	10000..1007F	Linear B Syllabary	Linear b syllable b051 du		
1000A	"""𐀊"""	10000..1007F	Linear B Syllabary	Linear b syllable b057 ja		
1000B	"""𐀋"""	10000..1007F	Linear B Syllabary	Linear b syllable b046 je		
1000D	"""𐀍"""	10000..1007F	Linear B Syllabary	Linear b syllable b036 jo		
1000E	"""𐀎"""	10000..1007F	Linear B Syllabary	Linear b syllable b065 ju		
1000F	"""𐀏"""	10000..1007F	Linear B Syllabary	Linear b syllable b077 ka		
10010	"""𐀐"""	10000..1007F	Linear B Syllabary	Linear b syllable b044 ke		
10011	"""𐀑"""	10000..1007F	Linear B Syllabary	Linear b syllable b067 ki		
10012	"""𐀒"""	10000..1007F	Linear B Syllabary	Linear b syllable b070 ko		
10013	"""𐀓"""	10000..1007F	Linear B Syllabary	Linear b syllable b081 ku		
10014	"""𐀔"""	10000..1007F	Linear B Syllabary	Linear b syllable b080 ma		
10015	"""𐀕"""	10000..1007F	Linear B Syllabary	Linear b syllable b013 me		
10016	"""𐀖"""	10000..1007F	Linear B Syllabary	Linear b syllable b073 mi		
10017	"""𐀗"""	10000..1007F	Linear B Syllabary	Linear b syllable b015 mo		
10018	"""𐀘"""	10000..1007F	Linear B Syllabary	Linear b syllable b023 mu		
10019	"""𐀙"""	10000..1007F	Linear B Syllabary	Linear b syllable b006 na		
1001A	"""𐀚"""	10000..1007F	Linear B Syllabary	Linear b syllable b024 ne		
1001B	"""𐀛"""	10000..1007F	Linear B Syllabary	Linear b syllable b030 ni		
1001C	"""𐀜"""	10000..1007F	Linear B Syllabary	Linear b syllable b052 no		
1001D	"""𐀝"""	10000..1007F	Linear B Syllabary	Linear b syllable b055 nu		
1001E	"""𐀞"""	10000..1007F	Linear B Syllabary	Linear b syllable b003 pa		
1001F	"""𐀟"""	10000..1007F	Linear B Syllabary	Linear b syllable b072 pe		
10020	"""𐀠"""	10000..1007F	Linear B Syllabary	Linear b syllable b039 pi		
10021	"""𐀡"""	10000..1007F	Linear B Syllabary	Linear b syllable b011 po		
10022	"""𐀢"""	10000..1007F	Linear B Syllabary	Linear b syllable b050 pu		
10023	"""𐀣"""	10000..1007F	Linear B Syllabary	Linear b syllable b016 qa		
10024	"""𐀤"""	10000..1007F	Linear B Syllabary	Linear b syllable b078 qe		
10025	"""𐀥"""	10000..1007F	Linear B Syllabary	Linear b syllable b021 qi		
10026	"""𐀦"""	10000..1007F	Linear B Syllabary	Linear b syllable b032 qo		
10028	"""𐀨"""	10000..1007F	Linear B Syllabary	Linear b syllable b060 ra		
10029	"""𐀩"""	10000..1007F	Linear B Syllabary	Linear b syllable b027 re		
1002A	"""𐀪"""	10000..1007F	Linear B Syllabary	Linear b syllable b053 ri		
1002B	"""𐀫"""	10000..1007F	Linear B Syllabary	Linear b syllable b002 ro		
1002C	"""𐀬"""	10000..1007F	Linear B Syllabary	Linear b syllable b026 ru		
1002D	"""𐀭"""	10000..1007F	Linear B Syllabary	Linear b syllable b031 sa		
1002E	"""𐀮"""	10000..1007F	Linear B Syllabary	Linear b syllable b009 se		
1002F	"""𐀯"""	10000..1007F	Linear B Syllabary	Linear b syllable b041 si		
10030	"""𐀰"""	10000..1007F	Linear B Syllabary	Linear b syllable b012 so		
10031	"""𐀱"""	10000..1007F	Linear B Syllabary	Linear b syllable b058 su		
10032	"""𐀲"""	10000..1007F	Linear B Syllabary	Linear b syllable b059 ta		
10033	"""𐀳"""	10000..1007F	Linear B Syllabary	Linear b syllable b004 te		
10034	"""𐀴"""	10000..1007F	Linear B Syllabary	Linear b syllable b037 ti		
10035	"""𐀵"""	10000..1007F	Linear B Syllabary	Linear b syllable b005 to		
10036	"""𐀶"""	10000..1007F	Linear B Syllabary	Linear b syllable b069 tu		
10037	"""𐀷"""	10000..1007F	Linear B Syllabary	Linear b syllable b054 wa		
10038	"""𐀸"""	10000..1007F	Linear B Syllabary	Linear b syllable b075 we		
10039	"""𐀹"""	10000..1007F	Linear B Syllabary	Linear b syllable b040 wi		
1003A	"""𐀺"""	10000..1007F	Linear B Syllabary	Linear b syllable b042 wo		
1003C	"""𐀼"""	10000..1007F	Linear B Syllabary	Linear b syllable b017 za		
1003D	"""𐀽"""	10000..1007F	Linear B Syllabary	Linear b syllable b074 ze		
1003F	"""𐀿"""	10000..1007F	Linear B Syllabary	Linear b syllable b020 zo		
10040	"""𐁀"""	10000..1007F	Linear B Syllabary	Linear b syllable b025 a2		
10041	"""𐁁"""	10000..1007F	Linear B Syllabary	Linear b syllable b043 a3		
10042	"""𐁂"""	10000..1007F	Linear B Syllabary	Linear b syllable b085 au		
10043	"""𐁃"""	10000..1007F	Linear B Syllabary	Linear b syllable b071 dwe		
10044	"""𐁄"""	10000..1007F	Linear B Syllabary	Linear b syllable b090 dwo		
10045	"""𐁅"""	10000..1007F	Linear B Syllabary	Linear b syllable b048 nwa		
10046	"""𐁆"""	10000..1007F	Linear B Syllabary	Linear b syllable b029 pu2		
10047	"""𐁇"""	10000..1007F	Linear B Syllabary	Linear b syllable b062 pte		
10048	"""𐁈"""	10000..1007F	Linear B Syllabary	Linear b syllable b076 ra2		
10049	"""𐁉"""	10000..1007F	Linear B Syllabary	Linear b syllable b033 ra3		
1004A	"""𐁊"""	10000..1007F	Linear B Syllabary	Linear b syllable b068 ro2		
1004B	"""𐁋"""	10000..1007F	Linear B Syllabary	Linear b syllable b066 ta2		
1004C	"""𐁌"""	10000..1007F	Linear B Syllabary	Linear b syllable b087 twe		
1004D	"""𐁍"""	10000..1007F	Linear B Syllabary	Linear b syllable b091 two		
10050	"""𐁐"""	10000..1007F	Linear B Syllabary	Linear b symbol b018		
10051	"""𐁑"""	10000..1007F	Linear B Syllabary	Linear b symbol b019		
10052	"""𐁒"""	10000..1007F	Linear B Syllabary	Linear b symbol b022		
10053	"""𐁓"""	10000..1007F	Linear B Syllabary	Linear b symbol b034		
10054	"""𐁔"""	10000..1007F	Linear B Syllabary	Linear b symbol b047		
10055	"""𐁕"""	10000..1007F	Linear B Syllabary	Linear b symbol b049		
10056	"""𐁖"""	10000..1007F	Linear B Syllabary	Linear b symbol b056		
10057	"""𐁗"""	10000..1007F	Linear B Syllabary	Linear b symbol b063		
