code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10080	𐂀	10080..100FF	Linear B Ideograms	Linear b ideogram b100 man		
U+10081	𐂁	10080..100FF	Linear B Ideograms	Linear b ideogram b102 woman		
U+10082	𐂂	10080..100FF	Linear B Ideograms	Linear b ideogram b104 deer		
U+10083	𐂃	10080..100FF	Linear B Ideograms	Linear b ideogram b105 equid		
U+10084	𐂄	10080..100FF	Linear B Ideograms	Linear b ideogram b105f mare		
U+10085	𐂅	10080..100FF	Linear B Ideograms	Linear b ideogram b105m stallion		
U+10086	𐂆	10080..100FF	Linear B Ideograms	Linear b ideogram b106f ewe		
U+10087	𐂇	10080..100FF	Linear B Ideograms	Linear b ideogram b106m ram		
U+10088	𐂈	10080..100FF	Linear B Ideograms	Linear b ideogram b107f she-goat		
U+10089	𐂉	10080..100FF	Linear B Ideograms	Linear b ideogram b107m he-goat		
U+1008A	𐂊	10080..100FF	Linear B Ideograms	Linear b ideogram b108f sow		
U+1008B	𐂋	10080..100FF	Linear B Ideograms	Linear b ideogram b108m boar		
U+1008C	𐂌	10080..100FF	Linear B Ideograms	Linear b ideogram b109f cow		
U+1008D	𐂍	10080..100FF	Linear B Ideograms	Linear b ideogram b109m bull		
U+1008E	𐂎	10080..100FF	Linear B Ideograms	Linear b ideogram b120 wheat		
U+1008F	𐂏	10080..100FF	Linear B Ideograms	Linear b ideogram b121 barley		
U+10090	𐂐	10080..100FF	Linear B Ideograms	Linear b ideogram b122 olive		
U+10091	𐂑	10080..100FF	Linear B Ideograms	Linear b ideogram b123 spice		
U+10092	𐂒	10080..100FF	Linear B Ideograms	Linear b ideogram b125 cyperus		
U+10093	𐂓	10080..100FF	Linear B Ideograms	Linear b monogram b127 kapo		
U+10094	𐂔	10080..100FF	Linear B Ideograms	Linear b monogram b128 kanako		
U+10095	𐂕	10080..100FF	Linear B Ideograms	Linear b ideogram b130 oil		
U+10096	𐂖	10080..100FF	Linear B Ideograms	Linear b ideogram b131 wine		
U+10097	𐂗	10080..100FF	Linear B Ideograms	Linear b ideogram b132		
U+10098	𐂘	10080..100FF	Linear B Ideograms	Linear b monogram b133 arepa		
U+10099	𐂙	10080..100FF	Linear B Ideograms	Linear b monogram b135 meri		
U+1009A	𐂚	10080..100FF	Linear B Ideograms	Linear b ideogram b140 bronze		
U+1009B	𐂛	10080..100FF	Linear B Ideograms	Linear b ideogram b141 gold		
U+1009C	𐂜	10080..100FF	Linear B Ideograms	Linear b ideogram b142		
U+1009D	𐂝	10080..100FF	Linear B Ideograms	Linear b ideogram b145 wool		
U+1009E	𐂞	10080..100FF	Linear B Ideograms	Linear b ideogram b146		
U+1009F	𐂟	10080..100FF	Linear B Ideograms	Linear b ideogram b150		
U+100A0	𐂠	10080..100FF	Linear B Ideograms	Linear b ideogram b151 horn		
U+100A1	𐂡	10080..100FF	Linear B Ideograms	Linear b ideogram b152		
U+100A2	𐂢	10080..100FF	Linear B Ideograms	Linear b ideogram b153		
U+100A3	𐂣	10080..100FF	Linear B Ideograms	Linear b ideogram b154		
U+100A4	𐂤	10080..100FF	Linear B Ideograms	Linear b monogram b156 turo2		
U+100A5	𐂥	10080..100FF	Linear B Ideograms	Linear b ideogram b157		
U+100A6	𐂦	10080..100FF	Linear B Ideograms	Linear b ideogram b158		
U+100A7	𐂧	10080..100FF	Linear B Ideograms	Linear b ideogram b159 cloth		
U+100A8	𐂨	10080..100FF	Linear B Ideograms	Linear b ideogram b160		
U+100A9	𐂩	10080..100FF	Linear B Ideograms	Linear b ideogram b161		
U+100AA	𐂪	10080..100FF	Linear B Ideograms	Linear b ideogram b162 garment		
U+100AB	𐂫	10080..100FF	Linear B Ideograms	Linear b ideogram b163 armour		
U+100AC	𐂬	10080..100FF	Linear B Ideograms	Linear b ideogram b164		
U+100AD	𐂭	10080..100FF	Linear B Ideograms	Linear b ideogram b165		
U+100AE	𐂮	10080..100FF	Linear B Ideograms	Linear b ideogram b166		
U+100AF	𐂯	10080..100FF	Linear B Ideograms	Linear b ideogram b167		
U+100B0	𐂰	10080..100FF	Linear B Ideograms	Linear b ideogram b168		
U+100B1	𐂱	10080..100FF	Linear B Ideograms	Linear b ideogram b169		
U+100B2	𐂲	10080..100FF	Linear B Ideograms	Linear b ideogram b170		
U+100B3	𐂳	10080..100FF	Linear B Ideograms	Linear b ideogram b171		
U+100B4	𐂴	10080..100FF	Linear B Ideograms	Linear b ideogram b172		
U+100B5	𐂵	10080..100FF	Linear B Ideograms	Linear b ideogram b173 month		
U+100B6	𐂶	10080..100FF	Linear B Ideograms	Linear b ideogram b174		
U+100B7	𐂷	10080..100FF	Linear B Ideograms	Linear b ideogram b176 tree		
U+100B8	𐂸	10080..100FF	Linear B Ideograms	Linear b ideogram b177		
U+100B9	𐂹	10080..100FF	Linear B Ideograms	Linear b ideogram b178		
U+100BA	𐂺	10080..100FF	Linear B Ideograms	Linear b ideogram b179		
U+100BB	𐂻	10080..100FF	Linear B Ideograms	Linear b ideogram b180		
U+100BC	𐂼	10080..100FF	Linear B Ideograms	Linear b ideogram b181		
U+100BD	𐂽	10080..100FF	Linear B Ideograms	Linear b ideogram b182		
U+100BE	𐂾	10080..100FF	Linear B Ideograms	Linear b ideogram b183		
U+100BF	𐂿	10080..100FF	Linear B Ideograms	Linear b ideogram b184		
U+100C0	𐃀	10080..100FF	Linear B Ideograms	Linear b ideogram b185		
U+100C1	𐃁	10080..100FF	Linear B Ideograms	Linear b ideogram b189		
U+100C2	𐃂	10080..100FF	Linear B Ideograms	Linear b ideogram b190		
U+100C3	𐃃	10080..100FF	Linear B Ideograms	Linear b ideogram b191 helmet		
U+100C4	𐃄	10080..100FF	Linear B Ideograms	Linear b ideogram b220 footstool		
U+100C5	𐃅	10080..100FF	Linear B Ideograms	Linear b ideogram b225 bathtub		
U+100C6	𐃆	10080..100FF	Linear B Ideograms	Linear b ideogram b230 spear		
U+100C7	𐃇	10080..100FF	Linear B Ideograms	Linear b ideogram b231 arrow		
