code_point	symbol	block	block_name	name	tab_completion	latex_code
10190	"""𐆐"""	10190..101CF	Ancient Symbols	Roman sextans sign		
10191	"""𐆑"""	10190..101CF	Ancient Symbols	Roman uncia sign		
10192	"""𐆒"""	10190..101CF	Ancient Symbols	Roman semuncia sign		
10193	"""𐆓"""	10190..101CF	Ancient Symbols	Roman sextula sign		
10194	"""𐆔"""	10190..101CF	Ancient Symbols	Roman dimidia sextula sign		
10195	"""𐆕"""	10190..101CF	Ancient Symbols	Roman siliqua sign		
10196	"""𐆖"""	10190..101CF	Ancient Symbols	Roman denarius sign		
10197	"""𐆗"""	10190..101CF	Ancient Symbols	Roman quinarius sign		
10198	"""𐆘"""	10190..101CF	Ancient Symbols	Roman sestertius sign		
10199	"""𐆙"""	10190..101CF	Ancient Symbols	Roman dupondius sign		
1019A	"""𐆚"""	10190..101CF	Ancient Symbols	Roman as sign		
1019B	"""𐆛"""	10190..101CF	Ancient Symbols	Roman centurial sign		
1019C	"""𐆜"""	10190..101CF	Ancient Symbols	Ascia symbol		
101A0	"""𐆠"""	10190..101CF	Ancient Symbols	Greek symbol tau rho		
