code_point	symbol	block	block_name	name	tab_completion	latex_code
101D0	"""𐇐"""	101D0..101FF	Phaistos Disc	Phaistos disc sign pedestrian		
101D1	"""𐇑"""	101D0..101FF	Phaistos Disc	Phaistos disc sign plumed head		
101D2	"""𐇒"""	101D0..101FF	Phaistos Disc	Phaistos disc sign tattooed head		
101D3	"""𐇓"""	101D0..101FF	Phaistos Disc	Phaistos disc sign captive		
101D4	"""𐇔"""	101D0..101FF	Phaistos Disc	Phaistos disc sign child		
101D5	"""𐇕"""	101D0..101FF	Phaistos Disc	Phaistos disc sign woman		
101D6	"""𐇖"""	101D0..101FF	Phaistos Disc	Phaistos disc sign helmet		
101D7	"""𐇗"""	101D0..101FF	Phaistos Disc	Phaistos disc sign gauntlet		
101D8	"""𐇘"""	101D0..101FF	Phaistos Disc	Phaistos disc sign tiara		
101D9	"""𐇙"""	101D0..101FF	Phaistos Disc	Phaistos disc sign arrow		
101DA	"""𐇚"""	101D0..101FF	Phaistos Disc	Phaistos disc sign bow		
101DB	"""𐇛"""	101D0..101FF	Phaistos Disc	Phaistos disc sign shield		
101DC	"""𐇜"""	101D0..101FF	Phaistos Disc	Phaistos disc sign club		
101DD	"""𐇝"""	101D0..101FF	Phaistos Disc	Phaistos disc sign manacles		
101DE	"""𐇞"""	101D0..101FF	Phaistos Disc	Phaistos disc sign mattock		
101DF	"""𐇟"""	101D0..101FF	Phaistos Disc	Phaistos disc sign saw		
101E0	"""𐇠"""	101D0..101FF	Phaistos Disc	Phaistos disc sign lid		
101E1	"""𐇡"""	101D0..101FF	Phaistos Disc	Phaistos disc sign boomerang		
101E2	"""𐇢"""	101D0..101FF	Phaistos Disc	Phaistos disc sign carpentry plane		
101E3	"""𐇣"""	101D0..101FF	Phaistos Disc	Phaistos disc sign dolium		
101E4	"""𐇤"""	101D0..101FF	Phaistos Disc	Phaistos disc sign comb		
101E5	"""𐇥"""	101D0..101FF	Phaistos Disc	Phaistos disc sign sling		
101E6	"""𐇦"""	101D0..101FF	Phaistos Disc	Phaistos disc sign column		
101E7	"""𐇧"""	101D0..101FF	Phaistos Disc	Phaistos disc sign beehive		
101E8	"""𐇨"""	101D0..101FF	Phaistos Disc	Phaistos disc sign ship		
101E9	"""𐇩"""	101D0..101FF	Phaistos Disc	Phaistos disc sign horn		
101EA	"""𐇪"""	101D0..101FF	Phaistos Disc	Phaistos disc sign hide		
101EB	"""𐇫"""	101D0..101FF	Phaistos Disc	Phaistos disc sign bulls leg		
101EC	"""𐇬"""	101D0..101FF	Phaistos Disc	Phaistos disc sign cat		
101ED	"""𐇭"""	101D0..101FF	Phaistos Disc	Phaistos disc sign ram		
101EE	"""𐇮"""	101D0..101FF	Phaistos Disc	Phaistos disc sign eagle		
101EF	"""𐇯"""	101D0..101FF	Phaistos Disc	Phaistos disc sign dove		
101F0	"""𐇰"""	101D0..101FF	Phaistos Disc	Phaistos disc sign tunny		
101F1	"""𐇱"""	101D0..101FF	Phaistos Disc	Phaistos disc sign bee		
101F2	"""𐇲"""	101D0..101FF	Phaistos Disc	Phaistos disc sign plane tree		
101F3	"""𐇳"""	101D0..101FF	Phaistos Disc	Phaistos disc sign vine		
101F4	"""𐇴"""	101D0..101FF	Phaistos Disc	Phaistos disc sign papyrus		
101F5	"""𐇵"""	101D0..101FF	Phaistos Disc	Phaistos disc sign rosette		
101F6	"""𐇶"""	101D0..101FF	Phaistos Disc	Phaistos disc sign lily		
101F7	"""𐇷"""	101D0..101FF	Phaistos Disc	Phaistos disc sign ox back		
101F8	"""𐇸"""	101D0..101FF	Phaistos Disc	Phaistos disc sign flute		
101F9	"""𐇹"""	101D0..101FF	Phaistos Disc	Phaistos disc sign grater		
101FA	"""𐇺"""	101D0..101FF	Phaistos Disc	Phaistos disc sign strainer		
101FB	"""𐇻"""	101D0..101FF	Phaistos Disc	Phaistos disc sign small axe		
101FC	"""𐇼"""	101D0..101FF	Phaistos Disc	Phaistos disc sign wavy band		
101FD	"""𐇽"""	101D0..101FF	Phaistos Disc	Phaistos disc sign combining oblique stroke		
