code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10280	𐊀	10280..1029F	Lycian	Lycian letter a		
U+10281	𐊁	10280..1029F	Lycian	Lycian letter e		
U+10282	𐊂	10280..1029F	Lycian	Lycian letter b		
U+10283	𐊃	10280..1029F	Lycian	Lycian letter bh		
U+10284	𐊄	10280..1029F	Lycian	Lycian letter g		
U+10285	𐊅	10280..1029F	Lycian	Lycian letter d		
U+10286	𐊆	10280..1029F	Lycian	Lycian letter i		
U+10287	𐊇	10280..1029F	Lycian	Lycian letter w		
U+10288	𐊈	10280..1029F	Lycian	Lycian letter z		
U+10289	𐊉	10280..1029F	Lycian	Lycian letter th		
U+1028A	𐊊	10280..1029F	Lycian	Lycian letter j		
U+1028B	𐊋	10280..1029F	Lycian	Lycian letter k		
U+1028C	𐊌	10280..1029F	Lycian	Lycian letter q		
U+1028D	𐊍	10280..1029F	Lycian	Lycian letter l		
U+1028E	𐊎	10280..1029F	Lycian	Lycian letter m		
U+1028F	𐊏	10280..1029F	Lycian	Lycian letter n		
U+10290	𐊐	10280..1029F	Lycian	Lycian letter mm		
U+10291	𐊑	10280..1029F	Lycian	Lycian letter nn		
U+10292	𐊒	10280..1029F	Lycian	Lycian letter u		
U+10293	𐊓	10280..1029F	Lycian	Lycian letter p		
U+10294	𐊔	10280..1029F	Lycian	Lycian letter kk		
U+10295	𐊕	10280..1029F	Lycian	Lycian letter r		
U+10296	𐊖	10280..1029F	Lycian	Lycian letter s		
U+10297	𐊗	10280..1029F	Lycian	Lycian letter t		
U+10298	𐊘	10280..1029F	Lycian	Lycian letter tt		
U+10299	𐊙	10280..1029F	Lycian	Lycian letter an		
U+1029A	𐊚	10280..1029F	Lycian	Lycian letter en		
U+1029B	𐊛	10280..1029F	Lycian	Lycian letter h		
U+1029C	𐊜	10280..1029F	Lycian	Lycian letter x		
