code_point	symbol	block	block_name	name	tab_completion	latex_code
U+102A0	𐊠	102A0..102DF	Carian	Carian letter a		
U+102A1	𐊡	102A0..102DF	Carian	Carian letter p2		
U+102A2	𐊢	102A0..102DF	Carian	Carian letter d		
U+102A3	𐊣	102A0..102DF	Carian	Carian letter l		
U+102A4	𐊤	102A0..102DF	Carian	Carian letter uuu		
U+102A5	𐊥	102A0..102DF	Carian	Carian letter r		
U+102A6	𐊦	102A0..102DF	Carian	Carian letter ld		
U+102A7	𐊧	102A0..102DF	Carian	Carian letter a2		
U+102A8	𐊨	102A0..102DF	Carian	Carian letter q		
U+102A9	𐊩	102A0..102DF	Carian	Carian letter b		
U+102AA	𐊪	102A0..102DF	Carian	Carian letter m		
U+102AB	𐊫	102A0..102DF	Carian	Carian letter o		
U+102AC	𐊬	102A0..102DF	Carian	Carian letter d2		
U+102AD	𐊭	102A0..102DF	Carian	Carian letter t		
U+102AE	𐊮	102A0..102DF	Carian	Carian letter sh		
U+102AF	𐊯	102A0..102DF	Carian	Carian letter sh2		
U+102B0	𐊰	102A0..102DF	Carian	Carian letter s		
U+102B1	𐊱	102A0..102DF	Carian	Carian letter c-18		
U+102B2	𐊲	102A0..102DF	Carian	Carian letter u		
U+102B3	𐊳	102A0..102DF	Carian	Carian letter nn		
U+102B4	𐊴	102A0..102DF	Carian	Carian letter x		
U+102B5	𐊵	102A0..102DF	Carian	Carian letter n		
U+102B6	𐊶	102A0..102DF	Carian	Carian letter tt2		
U+102B7	𐊷	102A0..102DF	Carian	Carian letter p		
U+102B8	𐊸	102A0..102DF	Carian	Carian letter ss		
U+102B9	𐊹	102A0..102DF	Carian	Carian letter i		
U+102BA	𐊺	102A0..102DF	Carian	Carian letter e		
U+102BB	𐊻	102A0..102DF	Carian	Carian letter uuuu		
U+102BC	𐊼	102A0..102DF	Carian	Carian letter k		
U+102BD	𐊽	102A0..102DF	Carian	Carian letter k2		
U+102BE	𐊾	102A0..102DF	Carian	Carian letter nd		
U+102BF	𐊿	102A0..102DF	Carian	Carian letter uu		
U+102C0	𐋀	102A0..102DF	Carian	Carian letter g		
U+102C1	𐋁	102A0..102DF	Carian	Carian letter g2		
U+102C2	𐋂	102A0..102DF	Carian	Carian letter st		
U+102C3	𐋃	102A0..102DF	Carian	Carian letter st2		
U+102C4	𐋄	102A0..102DF	Carian	Carian letter ng		
U+102C5	𐋅	102A0..102DF	Carian	Carian letter ii		
U+102C6	𐋆	102A0..102DF	Carian	Carian letter c-39		
U+102C7	𐋇	102A0..102DF	Carian	Carian letter tt		
U+102C8	𐋈	102A0..102DF	Carian	Carian letter uuu2		
U+102C9	𐋉	102A0..102DF	Carian	Carian letter rr		
U+102CA	𐋊	102A0..102DF	Carian	Carian letter mb		
U+102CB	𐋋	102A0..102DF	Carian	Carian letter mb2		
U+102CC	𐋌	102A0..102DF	Carian	Carian letter mb3		
U+102CD	𐋍	102A0..102DF	Carian	Carian letter mb4		
U+102CE	𐋎	102A0..102DF	Carian	Carian letter ld2		
U+102CF	𐋏	102A0..102DF	Carian	Carian letter e2		
U+102D0	𐋐	102A0..102DF	Carian	Carian letter uuu3		
