code_point	symbol	block	block_name	name	tab_completion	latex_code
U+102E0	𐋠	102E0..102FF	Coptic Epact Numbers	Coptic epact thousands mark		
U+102E1	𐋡	102E0..102FF	Coptic Epact Numbers	Coptic epact digit one		
U+102E2	𐋢	102E0..102FF	Coptic Epact Numbers	Coptic epact digit two		
U+102E3	𐋣	102E0..102FF	Coptic Epact Numbers	Coptic epact digit three		
U+102E4	𐋤	102E0..102FF	Coptic Epact Numbers	Coptic epact digit four		
U+102E5	𐋥	102E0..102FF	Coptic Epact Numbers	Coptic epact digit five		
U+102E6	𐋦	102E0..102FF	Coptic Epact Numbers	Coptic epact digit six		
U+102E7	𐋧	102E0..102FF	Coptic Epact Numbers	Coptic epact digit seven		
U+102E8	𐋨	102E0..102FF	Coptic Epact Numbers	Coptic epact digit eight		
U+102E9	𐋩	102E0..102FF	Coptic Epact Numbers	Coptic epact digit nine		
U+102EA	𐋪	102E0..102FF	Coptic Epact Numbers	Coptic epact number ten		
U+102EB	𐋫	102E0..102FF	Coptic Epact Numbers	Coptic epact number twenty		
U+102EC	𐋬	102E0..102FF	Coptic Epact Numbers	Coptic epact number thirty		
U+102ED	𐋭	102E0..102FF	Coptic Epact Numbers	Coptic epact number forty		
U+102EE	𐋮	102E0..102FF	Coptic Epact Numbers	Coptic epact number fifty		
U+102EF	𐋯	102E0..102FF	Coptic Epact Numbers	Coptic epact number sixty		
U+102F0	𐋰	102E0..102FF	Coptic Epact Numbers	Coptic epact number seventy		
U+102F1	𐋱	102E0..102FF	Coptic Epact Numbers	Coptic epact number eighty		
U+102F2	𐋲	102E0..102FF	Coptic Epact Numbers	Coptic epact number ninety		
U+102F3	𐋳	102E0..102FF	Coptic Epact Numbers	Coptic epact number one hundred		
U+102F4	𐋴	102E0..102FF	Coptic Epact Numbers	Coptic epact number two hundred		
U+102F5	𐋵	102E0..102FF	Coptic Epact Numbers	Coptic epact number three hundred		
U+102F6	𐋶	102E0..102FF	Coptic Epact Numbers	Coptic epact number four hundred		
U+102F7	𐋷	102E0..102FF	Coptic Epact Numbers	Coptic epact number five hundred		
U+102F8	𐋸	102E0..102FF	Coptic Epact Numbers	Coptic epact number six hundred		
U+102F9	𐋹	102E0..102FF	Coptic Epact Numbers	Coptic epact number seven hundred		
U+102FA	𐋺	102E0..102FF	Coptic Epact Numbers	Coptic epact number eight hundred		
U+102FB	𐋻	102E0..102FF	Coptic Epact Numbers	Coptic epact number nine hundred		
