code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10400	𐐀	10400..1044F	Deseret	Deseret capital letter long i		
U+10401	𐐁	10400..1044F	Deseret	Deseret capital letter long e		
U+10402	𐐂	10400..1044F	Deseret	Deseret capital letter long a		
U+10403	𐐃	10400..1044F	Deseret	Deseret capital letter long ah		
U+10404	𐐄	10400..1044F	Deseret	Deseret capital letter long o		
U+10405	𐐅	10400..1044F	Deseret	Deseret capital letter long oo		
U+10406	𐐆	10400..1044F	Deseret	Deseret capital letter short i		
U+10407	𐐇	10400..1044F	Deseret	Deseret capital letter short e		
U+10408	𐐈	10400..1044F	Deseret	Deseret capital letter short a		
U+10409	𐐉	10400..1044F	Deseret	Deseret capital letter short ah		
U+1040A	𐐊	10400..1044F	Deseret	Deseret capital letter short o		
U+1040B	𐐋	10400..1044F	Deseret	Deseret capital letter short oo		
U+1040C	𐐌	10400..1044F	Deseret	Deseret capital letter ay		
U+1040D	𐐍	10400..1044F	Deseret	Deseret capital letter ow		
U+1040E	𐐎	10400..1044F	Deseret	Deseret capital letter wu		
U+1040F	𐐏	10400..1044F	Deseret	Deseret capital letter yee		
U+10410	𐐐	10400..1044F	Deseret	Deseret capital letter h		
U+10411	𐐑	10400..1044F	Deseret	Deseret capital letter pee		
U+10412	𐐒	10400..1044F	Deseret	Deseret capital letter bee		
U+10413	𐐓	10400..1044F	Deseret	Deseret capital letter tee		
U+10414	𐐔	10400..1044F	Deseret	Deseret capital letter dee		
U+10415	𐐕	10400..1044F	Deseret	Deseret capital letter chee		
U+10416	𐐖	10400..1044F	Deseret	Deseret capital letter jee		
U+10417	𐐗	10400..1044F	Deseret	Deseret capital letter kay		
U+10418	𐐘	10400..1044F	Deseret	Deseret capital letter gay		
U+10419	𐐙	10400..1044F	Deseret	Deseret capital letter ef		
U+1041A	𐐚	10400..1044F	Deseret	Deseret capital letter vee		
U+1041B	𐐛	10400..1044F	Deseret	Deseret capital letter eth		
U+1041C	𐐜	10400..1044F	Deseret	Deseret capital letter thee		
U+1041D	𐐝	10400..1044F	Deseret	Deseret capital letter es		
U+1041E	𐐞	10400..1044F	Deseret	Deseret capital letter zee		
U+1041F	𐐟	10400..1044F	Deseret	Deseret capital letter esh		
U+10420	𐐠	10400..1044F	Deseret	Deseret capital letter zhee		
U+10421	𐐡	10400..1044F	Deseret	Deseret capital letter er		
U+10422	𐐢	10400..1044F	Deseret	Deseret capital letter el		
U+10423	𐐣	10400..1044F	Deseret	Deseret capital letter em		
U+10424	𐐤	10400..1044F	Deseret	Deseret capital letter en		
U+10425	𐐥	10400..1044F	Deseret	Deseret capital letter eng		
U+10426	𐐦	10400..1044F	Deseret	Deseret capital letter oi		
U+10427	𐐧	10400..1044F	Deseret	Deseret capital letter ew		
U+10428	𐐨	10400..1044F	Deseret	Deseret small letter long i		
U+10429	𐐩	10400..1044F	Deseret	Deseret small letter long e		
U+1042A	𐐪	10400..1044F	Deseret	Deseret small letter long a		
U+1042B	𐐫	10400..1044F	Deseret	Deseret small letter long ah		
U+1042C	𐐬	10400..1044F	Deseret	Deseret small letter long o		
U+1042D	𐐭	10400..1044F	Deseret	Deseret small letter long oo		
U+1042E	𐐮	10400..1044F	Deseret	Deseret small letter short i		
U+1042F	𐐯	10400..1044F	Deseret	Deseret small letter short e		
U+10430	𐐰	10400..1044F	Deseret	Deseret small letter short a		
U+10431	𐐱	10400..1044F	Deseret	Deseret small letter short ah		
U+10432	𐐲	10400..1044F	Deseret	Deseret small letter short o		
U+10433	𐐳	10400..1044F	Deseret	Deseret small letter short oo		
U+10434	𐐴	10400..1044F	Deseret	Deseret small letter ay		
U+10435	𐐵	10400..1044F	Deseret	Deseret small letter ow		
U+10436	𐐶	10400..1044F	Deseret	Deseret small letter wu		
U+10437	𐐷	10400..1044F	Deseret	Deseret small letter yee		
U+10438	𐐸	10400..1044F	Deseret	Deseret small letter h		
U+10439	𐐹	10400..1044F	Deseret	Deseret small letter pee		
U+1043A	𐐺	10400..1044F	Deseret	Deseret small letter bee		
U+1043B	𐐻	10400..1044F	Deseret	Deseret small letter tee		
U+1043C	𐐼	10400..1044F	Deseret	Deseret small letter dee		
U+1043D	𐐽	10400..1044F	Deseret	Deseret small letter chee		
U+1043E	𐐾	10400..1044F	Deseret	Deseret small letter jee		
U+1043F	𐐿	10400..1044F	Deseret	Deseret small letter kay		
U+10440	𐑀	10400..1044F	Deseret	Deseret small letter gay		
U+10441	𐑁	10400..1044F	Deseret	Deseret small letter ef		
U+10442	𐑂	10400..1044F	Deseret	Deseret small letter vee		
U+10443	𐑃	10400..1044F	Deseret	Deseret small letter eth		
U+10444	𐑄	10400..1044F	Deseret	Deseret small letter thee		
U+10445	𐑅	10400..1044F	Deseret	Deseret small letter es		
U+10446	𐑆	10400..1044F	Deseret	Deseret small letter zee		
U+10447	𐑇	10400..1044F	Deseret	Deseret small letter esh		
U+10448	𐑈	10400..1044F	Deseret	Deseret small letter zhee		
U+10449	𐑉	10400..1044F	Deseret	Deseret small letter er		
U+1044A	𐑊	10400..1044F	Deseret	Deseret small letter el		
U+1044B	𐑋	10400..1044F	Deseret	Deseret small letter em		
U+1044C	𐑌	10400..1044F	Deseret	Deseret small letter en		
U+1044D	𐑍	10400..1044F	Deseret	Deseret small letter eng		
U+1044E	𐑎	10400..1044F	Deseret	Deseret small letter oi		
U+1044F	𐑏	10400..1044F	Deseret	Deseret small letter ew		
