code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10450	𐑐	10450..1047F	Shavian	Shavian letter peep		
U+10451	𐑑	10450..1047F	Shavian	Shavian letter tot		
U+10452	𐑒	10450..1047F	Shavian	Shavian letter kick		
U+10453	𐑓	10450..1047F	Shavian	Shavian letter fee		
U+10454	𐑔	10450..1047F	Shavian	Shavian letter thigh		
U+10455	𐑕	10450..1047F	Shavian	Shavian letter so		
U+10456	𐑖	10450..1047F	Shavian	Shavian letter sure		
U+10457	𐑗	10450..1047F	Shavian	Shavian letter church		
U+10458	𐑘	10450..1047F	Shavian	Shavian letter yea		
U+10459	𐑙	10450..1047F	Shavian	Shavian letter hung		
U+1045A	𐑚	10450..1047F	Shavian	Shavian letter bib		
U+1045B	𐑛	10450..1047F	Shavian	Shavian letter dead		
U+1045C	𐑜	10450..1047F	Shavian	Shavian letter gag		
U+1045D	𐑝	10450..1047F	Shavian	Shavian letter vow		
U+1045E	𐑞	10450..1047F	Shavian	Shavian letter they		
U+1045F	𐑟	10450..1047F	Shavian	Shavian letter zoo		
U+10460	𐑠	10450..1047F	Shavian	Shavian letter measure		
U+10461	𐑡	10450..1047F	Shavian	Shavian letter judge		
U+10462	𐑢	10450..1047F	Shavian	Shavian letter woe		
U+10463	𐑣	10450..1047F	Shavian	Shavian letter ha-ha		
U+10464	𐑤	10450..1047F	Shavian	Shavian letter loll		
U+10465	𐑥	10450..1047F	Shavian	Shavian letter mime		
U+10466	𐑦	10450..1047F	Shavian	Shavian letter if		
U+10467	𐑧	10450..1047F	Shavian	Shavian letter egg		
U+10468	𐑨	10450..1047F	Shavian	Shavian letter ash		
U+10469	𐑩	10450..1047F	Shavian	Shavian letter ado		
U+1046A	𐑪	10450..1047F	Shavian	Shavian letter on		
U+1046B	𐑫	10450..1047F	Shavian	Shavian letter wool		
U+1046C	𐑬	10450..1047F	Shavian	Shavian letter out		
U+1046D	𐑭	10450..1047F	Shavian	Shavian letter ah		
U+1046E	𐑮	10450..1047F	Shavian	Shavian letter roar		
U+1046F	𐑯	10450..1047F	Shavian	Shavian letter nun		
U+10470	𐑰	10450..1047F	Shavian	Shavian letter eat		
U+10471	𐑱	10450..1047F	Shavian	Shavian letter age		
U+10472	𐑲	10450..1047F	Shavian	Shavian letter ice		
U+10473	𐑳	10450..1047F	Shavian	Shavian letter up		
U+10474	𐑴	10450..1047F	Shavian	Shavian letter oak		
U+10475	𐑵	10450..1047F	Shavian	Shavian letter ooze		
U+10476	𐑶	10450..1047F	Shavian	Shavian letter oil		
U+10477	𐑷	10450..1047F	Shavian	Shavian letter awe		
U+10478	𐑸	10450..1047F	Shavian	Shavian letter are		
U+10479	𐑹	10450..1047F	Shavian	Shavian letter or		
U+1047A	𐑺	10450..1047F	Shavian	Shavian letter air		
U+1047B	𐑻	10450..1047F	Shavian	Shavian letter err		
U+1047C	𐑼	10450..1047F	Shavian	Shavian letter array		
U+1047D	𐑽	10450..1047F	Shavian	Shavian letter ear		
U+1047E	𐑾	10450..1047F	Shavian	Shavian letter ian		
U+1047F	𐑿	10450..1047F	Shavian	Shavian letter yew		
