code_point	symbol	block	block_name	name	tab_completion	latex_code
10500	"""𐔀"""	10500..1052F	Elbasan	Elbasan letter a		
10501	"""𐔁"""	10500..1052F	Elbasan	Elbasan letter be		
10502	"""𐔂"""	10500..1052F	Elbasan	Elbasan letter ce		
10503	"""𐔃"""	10500..1052F	Elbasan	Elbasan letter che		
10504	"""𐔄"""	10500..1052F	Elbasan	Elbasan letter de		
10505	"""𐔅"""	10500..1052F	Elbasan	Elbasan letter nde		
10506	"""𐔆"""	10500..1052F	Elbasan	Elbasan letter dhe		
10507	"""𐔇"""	10500..1052F	Elbasan	Elbasan letter ei		
10508	"""𐔈"""	10500..1052F	Elbasan	Elbasan letter e		
10509	"""𐔉"""	10500..1052F	Elbasan	Elbasan letter fe		
1050A	"""𐔊"""	10500..1052F	Elbasan	Elbasan letter ge		
1050B	"""𐔋"""	10500..1052F	Elbasan	Elbasan letter gje		
1050C	"""𐔌"""	10500..1052F	Elbasan	Elbasan letter he		
1050D	"""𐔍"""	10500..1052F	Elbasan	Elbasan letter i		
1050E	"""𐔎"""	10500..1052F	Elbasan	Elbasan letter je		
1050F	"""𐔏"""	10500..1052F	Elbasan	Elbasan letter ke		
10510	"""𐔐"""	10500..1052F	Elbasan	Elbasan letter le		
10511	"""𐔑"""	10500..1052F	Elbasan	Elbasan letter lle		
10512	"""𐔒"""	10500..1052F	Elbasan	Elbasan letter me		
10513	"""𐔓"""	10500..1052F	Elbasan	Elbasan letter ne		
10514	"""𐔔"""	10500..1052F	Elbasan	Elbasan letter na		
10515	"""𐔕"""	10500..1052F	Elbasan	Elbasan letter nje		
10516	"""𐔖"""	10500..1052F	Elbasan	Elbasan letter o		
10517	"""𐔗"""	10500..1052F	Elbasan	Elbasan letter pe		
10518	"""𐔘"""	10500..1052F	Elbasan	Elbasan letter qe		
10519	"""𐔙"""	10500..1052F	Elbasan	Elbasan letter re		
1051A	"""𐔚"""	10500..1052F	Elbasan	Elbasan letter rre		
1051B	"""𐔛"""	10500..1052F	Elbasan	Elbasan letter se		
1051C	"""𐔜"""	10500..1052F	Elbasan	Elbasan letter she		
1051D	"""𐔝"""	10500..1052F	Elbasan	Elbasan letter te		
1051E	"""𐔞"""	10500..1052F	Elbasan	Elbasan letter the		
1051F	"""𐔟"""	10500..1052F	Elbasan	Elbasan letter u		
10520	"""𐔠"""	10500..1052F	Elbasan	Elbasan letter ve		
10521	"""𐔡"""	10500..1052F	Elbasan	Elbasan letter xe		
10522	"""𐔢"""	10500..1052F	Elbasan	Elbasan letter y		
10523	"""𐔣"""	10500..1052F	Elbasan	Elbasan letter ze		
10524	"""𐔤"""	10500..1052F	Elbasan	Elbasan letter zhe		
10525	"""𐔥"""	10500..1052F	Elbasan	Elbasan letter ghe		
10526	"""𐔦"""	10500..1052F	Elbasan	Elbasan letter ghamma		
10527	"""𐔧"""	10500..1052F	Elbasan	Elbasan letter khe		
