code_point	symbol	block	block_name	name	tab_completion	latex_code
10530	"""𐔰"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter alt		
10531	"""𐔱"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter bet		
10532	"""𐔲"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter gim		
10533	"""𐔳"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter dat		
10534	"""𐔴"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter eb		
10535	"""𐔵"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter zarl		
10536	"""𐔶"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter eyn		
10537	"""𐔷"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter zhil		
10538	"""𐔸"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter tas		
10539	"""𐔹"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter cha		
1053A	"""𐔺"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter yowd		
1053B	"""𐔻"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter zha		
1053C	"""𐔼"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter irb		
1053D	"""𐔽"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter sha		
1053E	"""𐔾"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter lan		
1053F	"""𐔿"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter inya		
10540	"""𐕀"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter xeyn		
10541	"""𐕁"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter dyan		
10542	"""𐕂"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter car		
10543	"""𐕃"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter jhox		
10544	"""𐕄"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter kar		
10545	"""𐕅"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter lyit		
10546	"""𐕆"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter heyt		
10547	"""𐕇"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter qay		
10548	"""𐕈"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter aor		
10549	"""𐕉"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter choy		
1054A	"""𐕊"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter chi		
1054B	"""𐕋"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter cyay		
1054C	"""𐕌"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter maq		
1054D	"""𐕍"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter qar		
1054E	"""𐕎"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter nowc		
1054F	"""𐕏"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter dzyay		
10550	"""𐕐"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter shak		
10551	"""𐕑"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter jayn		
10552	"""𐕒"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter on		
10553	"""𐕓"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter tyay		
10554	"""𐕔"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter fam		
10555	"""𐕕"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter dzay		
10556	"""𐕖"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter chat		
10557	"""𐕗"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter pen		
10558	"""𐕘"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter gheys		
10559	"""𐕙"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter rat		
1055A	"""𐕚"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter seyk		
1055B	"""𐕛"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter veyz		
1055C	"""𐕜"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter tiwr		
1055D	"""𐕝"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter shoy		
1055E	"""𐕞"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter iwn		
1055F	"""𐕟"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter cyaw		
10560	"""𐕠"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter cayn		
10561	"""𐕡"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter yayd		
10562	"""𐕢"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter piwr		
10563	"""𐕣"""	10530..1056F	Caucasian Albanian	Caucasian albanian letter kiw		
1056F	"""𐕯"""	10530..1056F	Caucasian Albanian	Caucasian albanian citation mark		
