code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10570	𐕰	10570..105BF	Vithkuqi	Vithkuqi capital letter a		
U+10571	𐕱	10570..105BF	Vithkuqi	Vithkuqi capital letter bbe		
U+10572	𐕲	10570..105BF	Vithkuqi	Vithkuqi capital letter be		
U+10573	𐕳	10570..105BF	Vithkuqi	Vithkuqi capital letter ce		
U+10574	𐕴	10570..105BF	Vithkuqi	Vithkuqi capital letter che		
U+10575	𐕵	10570..105BF	Vithkuqi	Vithkuqi capital letter de		
U+10576	𐕶	10570..105BF	Vithkuqi	Vithkuqi capital letter dhe		
U+10577	𐕷	10570..105BF	Vithkuqi	Vithkuqi capital letter ei		
U+10578	𐕸	10570..105BF	Vithkuqi	Vithkuqi capital letter e		
U+10579	𐕹	10570..105BF	Vithkuqi	Vithkuqi capital letter fe		
U+1057A	𐕺	10570..105BF	Vithkuqi	Vithkuqi capital letter ga		
U+1057C	𐕼	10570..105BF	Vithkuqi	Vithkuqi capital letter ha		
U+1057D	𐕽	10570..105BF	Vithkuqi	Vithkuqi capital letter hha		
U+1057E	𐕾	10570..105BF	Vithkuqi	Vithkuqi capital letter i		
U+1057F	𐕿	10570..105BF	Vithkuqi	Vithkuqi capital letter ije		
U+10580	𐖀	10570..105BF	Vithkuqi	Vithkuqi capital letter je		
U+10581	𐖁	10570..105BF	Vithkuqi	Vithkuqi capital letter ka		
U+10582	𐖂	10570..105BF	Vithkuqi	Vithkuqi capital letter la		
U+10583	𐖃	10570..105BF	Vithkuqi	Vithkuqi capital letter lla		
U+10584	𐖄	10570..105BF	Vithkuqi	Vithkuqi capital letter me		
U+10585	𐖅	10570..105BF	Vithkuqi	Vithkuqi capital letter ne		
U+10586	𐖆	10570..105BF	Vithkuqi	Vithkuqi capital letter nje		
U+10587	𐖇	10570..105BF	Vithkuqi	Vithkuqi capital letter o		
U+10588	𐖈	10570..105BF	Vithkuqi	Vithkuqi capital letter pe		
U+10589	𐖉	10570..105BF	Vithkuqi	Vithkuqi capital letter qa		
U+1058A	𐖊	10570..105BF	Vithkuqi	Vithkuqi capital letter re		
U+1058C	𐖌	10570..105BF	Vithkuqi	Vithkuqi capital letter se		
U+1058D	𐖍	10570..105BF	Vithkuqi	Vithkuqi capital letter she		
U+1058E	𐖎	10570..105BF	Vithkuqi	Vithkuqi capital letter te		
U+1058F	𐖏	10570..105BF	Vithkuqi	Vithkuqi capital letter the		
U+10590	𐖐	10570..105BF	Vithkuqi	Vithkuqi capital letter u		
U+10591	𐖑	10570..105BF	Vithkuqi	Vithkuqi capital letter ve		
U+10592	𐖒	10570..105BF	Vithkuqi	Vithkuqi capital letter xe		
U+10594	𐖔	10570..105BF	Vithkuqi	Vithkuqi capital letter y		
U+10595	𐖕	10570..105BF	Vithkuqi	Vithkuqi capital letter ze		
U+10597	𐖗	10570..105BF	Vithkuqi	Vithkuqi small letter a		
U+10598	𐖘	10570..105BF	Vithkuqi	Vithkuqi small letter bbe		
U+10599	𐖙	10570..105BF	Vithkuqi	Vithkuqi small letter be		
U+1059A	𐖚	10570..105BF	Vithkuqi	Vithkuqi small letter ce		
U+1059B	𐖛	10570..105BF	Vithkuqi	Vithkuqi small letter che		
U+1059C	𐖜	10570..105BF	Vithkuqi	Vithkuqi small letter de		
U+1059D	𐖝	10570..105BF	Vithkuqi	Vithkuqi small letter dhe		
U+1059E	𐖞	10570..105BF	Vithkuqi	Vithkuqi small letter ei		
U+1059F	𐖟	10570..105BF	Vithkuqi	Vithkuqi small letter e		
U+105A0	𐖠	10570..105BF	Vithkuqi	Vithkuqi small letter fe		
U+105A1	𐖡	10570..105BF	Vithkuqi	Vithkuqi small letter ga		
U+105A3	𐖣	10570..105BF	Vithkuqi	Vithkuqi small letter ha		
U+105A4	𐖤	10570..105BF	Vithkuqi	Vithkuqi small letter hha		
U+105A5	𐖥	10570..105BF	Vithkuqi	Vithkuqi small letter i		
U+105A6	𐖦	10570..105BF	Vithkuqi	Vithkuqi small letter ije		
U+105A7	𐖧	10570..105BF	Vithkuqi	Vithkuqi small letter je		
U+105A8	𐖨	10570..105BF	Vithkuqi	Vithkuqi small letter ka		
U+105A9	𐖩	10570..105BF	Vithkuqi	Vithkuqi small letter la		
U+105AA	𐖪	10570..105BF	Vithkuqi	Vithkuqi small letter lla		
U+105AB	𐖫	10570..105BF	Vithkuqi	Vithkuqi small letter me		
