code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10600	𐘀	10600..1077F	Linear A	Linear a sign ab001		
U+10601	𐘁	10600..1077F	Linear A	Linear a sign ab002		
U+10602	𐘂	10600..1077F	Linear A	Linear a sign ab003		
U+10603	𐘃	10600..1077F	Linear A	Linear a sign ab004		
U+10604	𐘄	10600..1077F	Linear A	Linear a sign ab005		
U+10605	𐘅	10600..1077F	Linear A	Linear a sign ab006		
U+10606	𐘆	10600..1077F	Linear A	Linear a sign ab007		
U+10607	𐘇	10600..1077F	Linear A	Linear a sign ab008		
U+10608	𐘈	10600..1077F	Linear A	Linear a sign ab009		
U+10609	𐘉	10600..1077F	Linear A	Linear a sign ab010		
U+1060A	𐘊	10600..1077F	Linear A	Linear a sign ab011		
U+1060B	𐘋	10600..1077F	Linear A	Linear a sign ab013		
U+1060C	𐘌	10600..1077F	Linear A	Linear a sign ab016		
U+1060D	𐘍	10600..1077F	Linear A	Linear a sign ab017		
U+1060E	𐘎	10600..1077F	Linear A	Linear a sign ab020		
U+1060F	𐘏	10600..1077F	Linear A	Linear a sign ab021		
U+10610	𐘐	10600..1077F	Linear A	Linear a sign ab021f		
U+10611	𐘑	10600..1077F	Linear A	Linear a sign ab021m		
U+10612	𐘒	10600..1077F	Linear A	Linear a sign ab022		
U+10613	𐘓	10600..1077F	Linear A	Linear a sign ab022f		
U+10614	𐘔	10600..1077F	Linear A	Linear a sign ab022m		
U+10615	𐘕	10600..1077F	Linear A	Linear a sign ab023		
U+10616	𐘖	10600..1077F	Linear A	Linear a sign ab023m		
U+10617	𐘗	10600..1077F	Linear A	Linear a sign ab024		
U+10618	𐘘	10600..1077F	Linear A	Linear a sign ab026		
U+10619	𐘙	10600..1077F	Linear A	Linear a sign ab027		
U+1061A	𐘚	10600..1077F	Linear A	Linear a sign ab028		
U+1061B	𐘛	10600..1077F	Linear A	Linear a sign a028b		
U+1061C	𐘜	10600..1077F	Linear A	Linear a sign ab029		
U+1061D	𐘝	10600..1077F	Linear A	Linear a sign ab030		
U+1061E	𐘞	10600..1077F	Linear A	Linear a sign ab031		
U+1061F	𐘟	10600..1077F	Linear A	Linear a sign ab034		
U+10620	𐘠	10600..1077F	Linear A	Linear a sign ab037		
U+10621	𐘡	10600..1077F	Linear A	Linear a sign ab038		
U+10622	𐘢	10600..1077F	Linear A	Linear a sign ab039		
U+10623	𐘣	10600..1077F	Linear A	Linear a sign ab040		
U+10624	𐘤	10600..1077F	Linear A	Linear a sign ab041		
U+10625	𐘥	10600..1077F	Linear A	Linear a sign ab044		
