code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10800	𐠀	10800..1083F	Cypriot Syllabary	Cypriot syllable a		
U+10801	𐠁	10800..1083F	Cypriot Syllabary	Cypriot syllable e		
U+10802	𐠂	10800..1083F	Cypriot Syllabary	Cypriot syllable i		
U+10803	𐠃	10800..1083F	Cypriot Syllabary	Cypriot syllable o		
U+10804	𐠄	10800..1083F	Cypriot Syllabary	Cypriot syllable u		
U+10805	𐠅	10800..1083F	Cypriot Syllabary	Cypriot syllable ja		
U+10808	𐠈	10800..1083F	Cypriot Syllabary	Cypriot syllable jo		
U+1080A	𐠊	10800..1083F	Cypriot Syllabary	Cypriot syllable ka		
U+1080B	𐠋	10800..1083F	Cypriot Syllabary	Cypriot syllable ke		
U+1080C	𐠌	10800..1083F	Cypriot Syllabary	Cypriot syllable ki		
U+1080D	𐠍	10800..1083F	Cypriot Syllabary	Cypriot syllable ko		
U+1080E	𐠎	10800..1083F	Cypriot Syllabary	Cypriot syllable ku		
U+1080F	𐠏	10800..1083F	Cypriot Syllabary	Cypriot syllable la		
U+10810	𐠐	10800..1083F	Cypriot Syllabary	Cypriot syllable le		
U+10811	𐠑	10800..1083F	Cypriot Syllabary	Cypriot syllable li		
U+10812	𐠒	10800..1083F	Cypriot Syllabary	Cypriot syllable lo		
U+10813	𐠓	10800..1083F	Cypriot Syllabary	Cypriot syllable lu		
U+10814	𐠔	10800..1083F	Cypriot Syllabary	Cypriot syllable ma		
U+10815	𐠕	10800..1083F	Cypriot Syllabary	Cypriot syllable me		
U+10816	𐠖	10800..1083F	Cypriot Syllabary	Cypriot syllable mi		
U+10817	𐠗	10800..1083F	Cypriot Syllabary	Cypriot syllable mo		
U+10818	𐠘	10800..1083F	Cypriot Syllabary	Cypriot syllable mu		
U+10819	𐠙	10800..1083F	Cypriot Syllabary	Cypriot syllable na		
U+1081A	𐠚	10800..1083F	Cypriot Syllabary	Cypriot syllable ne		
U+1081B	𐠛	10800..1083F	Cypriot Syllabary	Cypriot syllable ni		
U+1081C	𐠜	10800..1083F	Cypriot Syllabary	Cypriot syllable no		
U+1081D	𐠝	10800..1083F	Cypriot Syllabary	Cypriot syllable nu		
U+1081E	𐠞	10800..1083F	Cypriot Syllabary	Cypriot syllable pa		
U+1081F	𐠟	10800..1083F	Cypriot Syllabary	Cypriot syllable pe		
U+10820	𐠠	10800..1083F	Cypriot Syllabary	Cypriot syllable pi		
U+10821	𐠡	10800..1083F	Cypriot Syllabary	Cypriot syllable po		
U+10822	𐠢	10800..1083F	Cypriot Syllabary	Cypriot syllable pu		
U+10823	𐠣	10800..1083F	Cypriot Syllabary	Cypriot syllable ra		
U+10824	𐠤	10800..1083F	Cypriot Syllabary	Cypriot syllable re		
U+10825	𐠥	10800..1083F	Cypriot Syllabary	Cypriot syllable ri		
U+10826	𐠦	10800..1083F	Cypriot Syllabary	Cypriot syllable ro		
U+10827	𐠧	10800..1083F	Cypriot Syllabary	Cypriot syllable ru		
U+10828	𐠨	10800..1083F	Cypriot Syllabary	Cypriot syllable sa		
U+10829	𐠩	10800..1083F	Cypriot Syllabary	Cypriot syllable se		
U+1082A	𐠪	10800..1083F	Cypriot Syllabary	Cypriot syllable si		
U+1082B	𐠫	10800..1083F	Cypriot Syllabary	Cypriot syllable so		
U+1082C	𐠬	10800..1083F	Cypriot Syllabary	Cypriot syllable su		
U+1082D	𐠭	10800..1083F	Cypriot Syllabary	Cypriot syllable ta		
U+1082E	𐠮	10800..1083F	Cypriot Syllabary	Cypriot syllable te		
U+1082F	𐠯	10800..1083F	Cypriot Syllabary	Cypriot syllable ti		
U+10830	𐠰	10800..1083F	Cypriot Syllabary	Cypriot syllable to		
U+10831	𐠱	10800..1083F	Cypriot Syllabary	Cypriot syllable tu		
U+10832	𐠲	10800..1083F	Cypriot Syllabary	Cypriot syllable wa		
U+10833	𐠳	10800..1083F	Cypriot Syllabary	Cypriot syllable we		
U+10834	𐠴	10800..1083F	Cypriot Syllabary	Cypriot syllable wi		
U+10835	𐠵	10800..1083F	Cypriot Syllabary	Cypriot syllable wo		
U+10837	𐠷	10800..1083F	Cypriot Syllabary	Cypriot syllable xa		
U+10838	𐠸	10800..1083F	Cypriot Syllabary	Cypriot syllable xe		
U+1083C	𐠼	10800..1083F	Cypriot Syllabary	Cypriot syllable za		
U+1083F	𐠿	10800..1083F	Cypriot Syllabary	Cypriot syllable zo		
