code_point	symbol	block	block_name	name	tab_completion	latex_code
U+108E0	𐣠	108E0..108FF	Hatran	Hatran letter aleph		
U+108E1	𐣡	108E0..108FF	Hatran	Hatran letter beth		
U+108E2	𐣢	108E0..108FF	Hatran	Hatran letter gimel		
U+108E3	𐣣	108E0..108FF	Hatran	Hatran letter daleth-resh		
U+108E4	𐣤	108E0..108FF	Hatran	Hatran letter he		
U+108E5	𐣥	108E0..108FF	Hatran	Hatran letter waw		
U+108E6	𐣦	108E0..108FF	Hatran	Hatran letter zayn		
U+108E7	𐣧	108E0..108FF	Hatran	Hatran letter heth		
U+108E8	𐣨	108E0..108FF	Hatran	Hatran letter teth		
U+108E9	𐣩	108E0..108FF	Hatran	Hatran letter yodh		
U+108EA	𐣪	108E0..108FF	Hatran	Hatran letter kaph		
U+108EB	𐣫	108E0..108FF	Hatran	Hatran letter lamedh		
U+108EC	𐣬	108E0..108FF	Hatran	Hatran letter mem		
U+108ED	𐣭	108E0..108FF	Hatran	Hatran letter nun		
U+108EE	𐣮	108E0..108FF	Hatran	Hatran letter samekh		
U+108EF	𐣯	108E0..108FF	Hatran	Hatran letter ayn		
U+108F0	𐣰	108E0..108FF	Hatran	Hatran letter pe		
U+108F1	𐣱	108E0..108FF	Hatran	Hatran letter sadhe		
U+108F2	𐣲	108E0..108FF	Hatran	Hatran letter qoph		
U+108F4	𐣴	108E0..108FF	Hatran	Hatran letter shin		
U+108F5	𐣵	108E0..108FF	Hatran	Hatran letter taw		
U+108FB	𐣻	108E0..108FF	Hatran	Hatran number one		
U+108FC	𐣼	108E0..108FF	Hatran	Hatran number five		
U+108FD	𐣽	108E0..108FF	Hatran	Hatran number ten		
U+108FE	𐣾	108E0..108FF	Hatran	Hatran number twenty		
U+108FF	𐣿	108E0..108FF	Hatran	Hatran number one hundred		
