code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10980	𐦀	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter a		
U+10981	𐦁	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter e		
U+10982	𐦂	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter i		
U+10983	𐦃	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter o		
U+10984	𐦄	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ya		
U+10985	𐦅	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter wa		
U+10986	𐦆	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ba		
U+10987	𐦇	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ba-2		
U+10988	𐦈	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter pa		
U+10989	𐦉	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ma		
U+1098A	𐦊	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter na		
U+1098B	𐦋	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter na-2		
U+1098C	𐦌	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ne		
U+1098D	𐦍	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ne-2		
U+1098E	𐦎	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ra		
U+1098F	𐦏	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ra-2		
U+10990	𐦐	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter la		
U+10991	𐦑	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter kha		
U+10992	𐦒	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter hha		
U+10993	𐦓	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter sa		
U+10994	𐦔	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter sa-2		
U+10995	𐦕	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter se		
U+10996	𐦖	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ka		
U+10997	𐦗	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter qa		
U+10998	𐦘	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ta		
U+10999	𐦙	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter ta-2		
U+1099A	𐦚	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter te		
U+1099B	𐦛	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter te-2		
U+1099C	𐦜	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter to		
U+1099D	𐦝	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic letter da		
U+1099E	𐦞	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic symbol vidj		
U+1099F	𐦟	10980..1099F	Meroitic Hieroglyphs	Meroitic hieroglyphic symbol vidj-2		
