code_point	symbol	block	block_name	name	tab_completion	latex_code
U+109A0	𐦠	109A0..109FF	Meroitic Cursive	Meroitic cursive letter a		
U+109A1	𐦡	109A0..109FF	Meroitic Cursive	Meroitic cursive letter e		
U+109A2	𐦢	109A0..109FF	Meroitic Cursive	Meroitic cursive letter i		
U+109A3	𐦣	109A0..109FF	Meroitic Cursive	Meroitic cursive letter o		
U+109A4	𐦤	109A0..109FF	Meroitic Cursive	Meroitic cursive letter ya		
U+109A5	𐦥	109A0..109FF	Meroitic Cursive	Meroitic cursive letter wa		
U+109A6	𐦦	109A0..109FF	Meroitic Cursive	Meroitic cursive letter ba		
U+109A7	𐦧	109A0..109FF	Meroitic Cursive	Meroitic cursive letter pa		
U+109A8	𐦨	109A0..109FF	Meroitic Cursive	Meroitic cursive letter ma		
U+109A9	𐦩	109A0..109FF	Meroitic Cursive	Meroitic cursive letter na		
U+109AA	𐦪	109A0..109FF	Meroitic Cursive	Meroitic cursive letter ne		
U+109AB	𐦫	109A0..109FF	Meroitic Cursive	Meroitic cursive letter ra		
U+109AC	𐦬	109A0..109FF	Meroitic Cursive	Meroitic cursive letter la		
U+109AD	𐦭	109A0..109FF	Meroitic Cursive	Meroitic cursive letter kha		
U+109AE	𐦮	109A0..109FF	Meroitic Cursive	Meroitic cursive letter hha		
U+109AF	𐦯	109A0..109FF	Meroitic Cursive	Meroitic cursive letter sa		
U+109B0	𐦰	109A0..109FF	Meroitic Cursive	Meroitic cursive letter archaic sa		
U+109B1	𐦱	109A0..109FF	Meroitic Cursive	Meroitic cursive letter se		
U+109B2	𐦲	109A0..109FF	Meroitic Cursive	Meroitic cursive letter ka		
U+109B3	𐦳	109A0..109FF	Meroitic Cursive	Meroitic cursive letter qa		
U+109B4	𐦴	109A0..109FF	Meroitic Cursive	Meroitic cursive letter ta		
U+109B5	𐦵	109A0..109FF	Meroitic Cursive	Meroitic cursive letter te		
U+109B6	𐦶	109A0..109FF	Meroitic Cursive	Meroitic cursive letter to		
U+109B7	𐦷	109A0..109FF	Meroitic Cursive	Meroitic cursive letter da		
U+109BC	𐦼	109A0..109FF	Meroitic Cursive	Meroitic cursive fraction eleven twelfths		
U+109BD	𐦽	109A0..109FF	Meroitic Cursive	Meroitic cursive fraction one half		
U+109BE	𐦾	109A0..109FF	Meroitic Cursive	Meroitic cursive logogram rmt		
U+109BF	𐦿	109A0..109FF	Meroitic Cursive	Meroitic cursive logogram imn		
U+109C0	𐧀	109A0..109FF	Meroitic Cursive	Meroitic cursive number one		
U+109C1	𐧁	109A0..109FF	Meroitic Cursive	Meroitic cursive number two		
U+109C2	𐧂	109A0..109FF	Meroitic Cursive	Meroitic cursive number three		
U+109C3	𐧃	109A0..109FF	Meroitic Cursive	Meroitic cursive number four		
U+109C4	𐧄	109A0..109FF	Meroitic Cursive	Meroitic cursive number five		
U+109C5	𐧅	109A0..109FF	Meroitic Cursive	Meroitic cursive number six		
U+109C6	𐧆	109A0..109FF	Meroitic Cursive	Meroitic cursive number seven		
U+109C7	𐧇	109A0..109FF	Meroitic Cursive	Meroitic cursive number eight		
U+109C8	𐧈	109A0..109FF	Meroitic Cursive	Meroitic cursive number nine		
U+109C9	𐧉	109A0..109FF	Meroitic Cursive	Meroitic cursive number ten		
U+109CA	𐧊	109A0..109FF	Meroitic Cursive	Meroitic cursive number twenty		
U+109CB	𐧋	109A0..109FF	Meroitic Cursive	Meroitic cursive number thirty		
U+109CC	𐧌	109A0..109FF	Meroitic Cursive	Meroitic cursive number forty		
U+109CD	𐧍	109A0..109FF	Meroitic Cursive	Meroitic cursive number fifty		
U+109CE	𐧎	109A0..109FF	Meroitic Cursive	Meroitic cursive number sixty		
U+109CF	𐧏	109A0..109FF	Meroitic Cursive	Meroitic cursive number seventy		
U+109D2	𐧒	109A0..109FF	Meroitic Cursive	Meroitic cursive number one hundred		
U+109D3	𐧓	109A0..109FF	Meroitic Cursive	Meroitic cursive number two hundred		
U+109D4	𐧔	109A0..109FF	Meroitic Cursive	Meroitic cursive number three hundred		
U+109D5	𐧕	109A0..109FF	Meroitic Cursive	Meroitic cursive number four hundred		
U+109D6	𐧖	109A0..109FF	Meroitic Cursive	Meroitic cursive number five hundred		
U+109D7	𐧗	109A0..109FF	Meroitic Cursive	Meroitic cursive number six hundred		
U+109D8	𐧘	109A0..109FF	Meroitic Cursive	Meroitic cursive number seven hundred		
U+109D9	𐧙	109A0..109FF	Meroitic Cursive	Meroitic cursive number eight hundred		
U+109DA	𐧚	109A0..109FF	Meroitic Cursive	Meroitic cursive number nine hundred		
U+109DB	𐧛	109A0..109FF	Meroitic Cursive	Meroitic cursive number one thousand		
U+109DC	𐧜	109A0..109FF	Meroitic Cursive	Meroitic cursive number two thousand		
U+109DD	𐧝	109A0..109FF	Meroitic Cursive	Meroitic cursive number three thousand		
U+109DE	𐧞	109A0..109FF	Meroitic Cursive	Meroitic cursive number four thousand		
U+109DF	𐧟	109A0..109FF	Meroitic Cursive	Meroitic cursive number five thousand		
U+109E0	𐧠	109A0..109FF	Meroitic Cursive	Meroitic cursive number six thousand		
