code_point	symbol	block	block_name	name	tab_completion	latex_code
10A00	"""𐨀"""	10A00..10A5F	Kharoshthi	Kharoshthi letter a		
10A01	"""𐨁"""	10A00..10A5F	Kharoshthi	Kharoshthi vowel sign i		
10A02	"""𐨂"""	10A00..10A5F	Kharoshthi	Kharoshthi vowel sign u		
10A03	"""𐨃"""	10A00..10A5F	Kharoshthi	Kharoshthi vowel sign vocalic r		
10A05	"""𐨅"""	10A00..10A5F	Kharoshthi	Kharoshthi vowel sign e		
10A06	"""𐨆"""	10A00..10A5F	Kharoshthi	Kharoshthi vowel sign o		
10A0C	"""𐨌"""	10A00..10A5F	Kharoshthi	Kharoshthi vowel length mark		
10A0D	"""𐨍"""	10A00..10A5F	Kharoshthi	Kharoshthi sign double ring below		
10A0E	"""𐨎"""	10A00..10A5F	Kharoshthi	Kharoshthi sign anusvara		
10A0F	"""𐨏"""	10A00..10A5F	Kharoshthi	Kharoshthi sign visarga		
10A10	"""𐨐"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ka		
10A11	"""𐨑"""	10A00..10A5F	Kharoshthi	Kharoshthi letter kha		
10A12	"""𐨒"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ga		
10A13	"""𐨓"""	10A00..10A5F	Kharoshthi	Kharoshthi letter gha		
10A15	"""𐨕"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ca		
10A16	"""𐨖"""	10A00..10A5F	Kharoshthi	Kharoshthi letter cha		
10A17	"""𐨗"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ja		
10A19	"""𐨙"""	10A00..10A5F	Kharoshthi	Kharoshthi letter nya		
10A1A	"""𐨚"""	10A00..10A5F	Kharoshthi	Kharoshthi letter tta		
10A1B	"""𐨛"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ttha		
10A1C	"""𐨜"""	10A00..10A5F	Kharoshthi	Kharoshthi letter dda		
10A1D	"""𐨝"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ddha		
10A1E	"""𐨞"""	10A00..10A5F	Kharoshthi	Kharoshthi letter nna		
10A1F	"""𐨟"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ta		
10A20	"""𐨠"""	10A00..10A5F	Kharoshthi	Kharoshthi letter tha		
10A21	"""𐨡"""	10A00..10A5F	Kharoshthi	Kharoshthi letter da		
10A22	"""𐨢"""	10A00..10A5F	Kharoshthi	Kharoshthi letter dha		
10A23	"""𐨣"""	10A00..10A5F	Kharoshthi	Kharoshthi letter na		
10A24	"""𐨤"""	10A00..10A5F	Kharoshthi	Kharoshthi letter pa		
10A25	"""𐨥"""	10A00..10A5F	Kharoshthi	Kharoshthi letter pha		
10A26	"""𐨦"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ba		
10A27	"""𐨧"""	10A00..10A5F	Kharoshthi	Kharoshthi letter bha		
10A28	"""𐨨"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ma		
10A29	"""𐨩"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ya		
10A2A	"""𐨪"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ra		
10A2B	"""𐨫"""	10A00..10A5F	Kharoshthi	Kharoshthi letter la		
10A2C	"""𐨬"""	10A00..10A5F	Kharoshthi	Kharoshthi letter va		
10A2D	"""𐨭"""	10A00..10A5F	Kharoshthi	Kharoshthi letter sha		
10A2E	"""𐨮"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ssa		
10A2F	"""𐨯"""	10A00..10A5F	Kharoshthi	Kharoshthi letter sa		
10A30	"""𐨰"""	10A00..10A5F	Kharoshthi	Kharoshthi letter za		
10A31	"""𐨱"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ha		
10A32	"""𐨲"""	10A00..10A5F	Kharoshthi	Kharoshthi letter kka		
10A33	"""𐨳"""	10A00..10A5F	Kharoshthi	Kharoshthi letter tttha		
10A34	"""𐨴"""	10A00..10A5F	Kharoshthi	Kharoshthi letter ttta		
10A35	"""𐨵"""	10A00..10A5F	Kharoshthi	Kharoshthi letter vha		
10A38	"""𐨸"""	10A00..10A5F	Kharoshthi	Kharoshthi sign bar above		
10A39	"""𐨹"""	10A00..10A5F	Kharoshthi	Kharoshthi sign cauda		
