code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10A60	𐩠	10A60..10A7F	Old South Arabian	Old south arabian letter he		
U+10A61	𐩡	10A60..10A7F	Old South Arabian	Old south arabian letter lamedh		
U+10A62	𐩢	10A60..10A7F	Old South Arabian	Old south arabian letter heth		
U+10A63	𐩣	10A60..10A7F	Old South Arabian	Old south arabian letter mem		
U+10A64	𐩤	10A60..10A7F	Old South Arabian	Old south arabian letter qoph		
U+10A65	𐩥	10A60..10A7F	Old South Arabian	Old south arabian letter waw		
U+10A66	𐩦	10A60..10A7F	Old South Arabian	Old south arabian letter shin		
U+10A67	𐩧	10A60..10A7F	Old South Arabian	Old south arabian letter resh		
U+10A68	𐩨	10A60..10A7F	Old South Arabian	Old south arabian letter beth		
U+10A69	𐩩	10A60..10A7F	Old South Arabian	Old south arabian letter taw		
U+10A6A	𐩪	10A60..10A7F	Old South Arabian	Old south arabian letter sat		
U+10A6B	𐩫	10A60..10A7F	Old South Arabian	Old south arabian letter kaph		
U+10A6C	𐩬	10A60..10A7F	Old South Arabian	Old south arabian letter nun		
U+10A6D	𐩭	10A60..10A7F	Old South Arabian	Old south arabian letter kheth		
U+10A6E	𐩮	10A60..10A7F	Old South Arabian	Old south arabian letter sadhe		
U+10A6F	𐩯	10A60..10A7F	Old South Arabian	Old south arabian letter samekh		
U+10A70	𐩰	10A60..10A7F	Old South Arabian	Old south arabian letter fe		
U+10A71	𐩱	10A60..10A7F	Old South Arabian	Old south arabian letter alef		
U+10A72	𐩲	10A60..10A7F	Old South Arabian	Old south arabian letter ayn		
U+10A73	𐩳	10A60..10A7F	Old South Arabian	Old south arabian letter dhadhe		
U+10A74	𐩴	10A60..10A7F	Old South Arabian	Old south arabian letter gimel		
U+10A75	𐩵	10A60..10A7F	Old South Arabian	Old south arabian letter daleth		
U+10A76	𐩶	10A60..10A7F	Old South Arabian	Old south arabian letter ghayn		
U+10A77	𐩷	10A60..10A7F	Old South Arabian	Old south arabian letter teth		
U+10A78	𐩸	10A60..10A7F	Old South Arabian	Old south arabian letter zayn		
U+10A79	𐩹	10A60..10A7F	Old South Arabian	Old south arabian letter dhaleth		
U+10A7A	𐩺	10A60..10A7F	Old South Arabian	Old south arabian letter yodh		
U+10A7B	𐩻	10A60..10A7F	Old South Arabian	Old south arabian letter thaw		
U+10A7C	𐩼	10A60..10A7F	Old South Arabian	Old south arabian letter theth		
U+10A7D	𐩽	10A60..10A7F	Old South Arabian	Old south arabian number one		
U+10A7E	𐩾	10A60..10A7F	Old South Arabian	Old south arabian number fifty		
U+10A7F	𐩿	10A60..10A7F	Old South Arabian	Old south arabian numeric indicator		
