code_point	symbol	block	block_name	name	tab_completion	latex_code
10AC0	"""𐫀"""	10AC0..10AFF	Manichaean	Manichaean letter aleph		
10AC1	"""𐫁"""	10AC0..10AFF	Manichaean	Manichaean letter beth		
10AC2	"""𐫂"""	10AC0..10AFF	Manichaean	Manichaean letter bheth		
10AC3	"""𐫃"""	10AC0..10AFF	Manichaean	Manichaean letter gimel		
10AC4	"""𐫄"""	10AC0..10AFF	Manichaean	Manichaean letter ghimel		
10AC5	"""𐫅"""	10AC0..10AFF	Manichaean	Manichaean letter daleth		
10AC6	"""𐫆"""	10AC0..10AFF	Manichaean	Manichaean letter he		
10AC7	"""𐫇"""	10AC0..10AFF	Manichaean	Manichaean letter waw		
10AC8	"""𐫈"""	10AC0..10AFF	Manichaean	Manichaean sign ud		
10AC9	"""𐫉"""	10AC0..10AFF	Manichaean	Manichaean letter zayin		
10ACA	"""𐫊"""	10AC0..10AFF	Manichaean	Manichaean letter zhayin		
10ACB	"""𐫋"""	10AC0..10AFF	Manichaean	Manichaean letter jayin		
10ACC	"""𐫌"""	10AC0..10AFF	Manichaean	Manichaean letter jhayin		
10ACD	"""𐫍"""	10AC0..10AFF	Manichaean	Manichaean letter heth		
10ACE	"""𐫎"""	10AC0..10AFF	Manichaean	Manichaean letter teth		
10ACF	"""𐫏"""	10AC0..10AFF	Manichaean	Manichaean letter yodh		
10AD0	"""𐫐"""	10AC0..10AFF	Manichaean	Manichaean letter kaph		
10AD1	"""𐫑"""	10AC0..10AFF	Manichaean	Manichaean letter xaph		
10AD2	"""𐫒"""	10AC0..10AFF	Manichaean	Manichaean letter khaph		
10AD3	"""𐫓"""	10AC0..10AFF	Manichaean	Manichaean letter lamedh		
10AD4	"""𐫔"""	10AC0..10AFF	Manichaean	Manichaean letter dhamedh		
10AD5	"""𐫕"""	10AC0..10AFF	Manichaean	Manichaean letter thamedh		
10AD6	"""𐫖"""	10AC0..10AFF	Manichaean	Manichaean letter mem		
10AD7	"""𐫗"""	10AC0..10AFF	Manichaean	Manichaean letter nun		
10AD8	"""𐫘"""	10AC0..10AFF	Manichaean	Manichaean letter samekh		
10AD9	"""𐫙"""	10AC0..10AFF	Manichaean	Manichaean letter ayin		
10ADA	"""𐫚"""	10AC0..10AFF	Manichaean	Manichaean letter aayin		
10ADB	"""𐫛"""	10AC0..10AFF	Manichaean	Manichaean letter pe		
10ADC	"""𐫜"""	10AC0..10AFF	Manichaean	Manichaean letter fe		
10ADD	"""𐫝"""	10AC0..10AFF	Manichaean	Manichaean letter sadhe		
10ADE	"""𐫞"""	10AC0..10AFF	Manichaean	Manichaean letter qoph		
10ADF	"""𐫟"""	10AC0..10AFF	Manichaean	Manichaean letter xoph		
10AE0	"""𐫠"""	10AC0..10AFF	Manichaean	Manichaean letter qhoph		
10AE1	"""𐫡"""	10AC0..10AFF	Manichaean	Manichaean letter resh		
10AE2	"""𐫢"""	10AC0..10AFF	Manichaean	Manichaean letter shin		
10AE3	"""𐫣"""	10AC0..10AFF	Manichaean	Manichaean letter sshin		
10AE4	"""𐫤"""	10AC0..10AFF	Manichaean	Manichaean letter taw		
10AE5	"""𐫥"""	10AC0..10AFF	Manichaean	Manichaean abbreviation mark above		
10AE6	"""𐫦"""	10AC0..10AFF	Manichaean	Manichaean abbreviation mark below		
10AEB	"""𐫫"""	10AC0..10AFF	Manichaean	Manichaean number one		
10AEC	"""𐫬"""	10AC0..10AFF	Manichaean	Manichaean number five		
10AED	"""𐫭"""	10AC0..10AFF	Manichaean	Manichaean number ten		
10AEE	"""𐫮"""	10AC0..10AFF	Manichaean	Manichaean number twenty		
10AEF	"""𐫯"""	10AC0..10AFF	Manichaean	Manichaean number one hundred		
10AF0	"""𐫰"""	10AC0..10AFF	Manichaean	Manichaean punctuation star		
10AF1	"""𐫱"""	10AC0..10AFF	Manichaean	Manichaean punctuation fleuron		
10AF2	"""𐫲"""	10AC0..10AFF	Manichaean	Manichaean punctuation double dot within dot		
10AF3	"""𐫳"""	10AC0..10AFF	Manichaean	Manichaean punctuation dot within dot		
10AF4	"""𐫴"""	10AC0..10AFF	Manichaean	Manichaean punctuation dot		
10AF5	"""𐫵"""	10AC0..10AFF	Manichaean	Manichaean punctuation two dots		
10AF6	"""𐫶"""	10AC0..10AFF	Manichaean	Manichaean punctuation line filler		
