code_point	symbol	block	block_name	name	tab_completion	latex_code
10B00	"""𐬀"""	10B00..10B3F	Avestan	Avestan letter a		
10B01	"""𐬁"""	10B00..10B3F	Avestan	Avestan letter aa		
10B02	"""𐬂"""	10B00..10B3F	Avestan	Avestan letter ao		
10B03	"""𐬃"""	10B00..10B3F	Avestan	Avestan letter aao		
10B04	"""𐬄"""	10B00..10B3F	Avestan	Avestan letter an		
10B05	"""𐬅"""	10B00..10B3F	Avestan	Avestan letter aan		
10B06	"""𐬆"""	10B00..10B3F	Avestan	Avestan letter ae		
10B07	"""𐬇"""	10B00..10B3F	Avestan	Avestan letter aee		
10B08	"""𐬈"""	10B00..10B3F	Avestan	Avestan letter e		
10B09	"""𐬉"""	10B00..10B3F	Avestan	Avestan letter ee		
10B0A	"""𐬊"""	10B00..10B3F	Avestan	Avestan letter o		
10B0B	"""𐬋"""	10B00..10B3F	Avestan	Avestan letter oo		
10B0C	"""𐬌"""	10B00..10B3F	Avestan	Avestan letter i		
10B0D	"""𐬍"""	10B00..10B3F	Avestan	Avestan letter ii		
10B0E	"""𐬎"""	10B00..10B3F	Avestan	Avestan letter u		
10B0F	"""𐬏"""	10B00..10B3F	Avestan	Avestan letter uu		
10B10	"""𐬐"""	10B00..10B3F	Avestan	Avestan letter ke		
10B11	"""𐬑"""	10B00..10B3F	Avestan	Avestan letter xe		
10B12	"""𐬒"""	10B00..10B3F	Avestan	Avestan letter xye		
10B13	"""𐬓"""	10B00..10B3F	Avestan	Avestan letter xve		
10B14	"""𐬔"""	10B00..10B3F	Avestan	Avestan letter ge		
10B15	"""𐬕"""	10B00..10B3F	Avestan	Avestan letter gge		
10B16	"""𐬖"""	10B00..10B3F	Avestan	Avestan letter ghe		
10B17	"""𐬗"""	10B00..10B3F	Avestan	Avestan letter ce		
10B18	"""𐬘"""	10B00..10B3F	Avestan	Avestan letter je		
10B19	"""𐬙"""	10B00..10B3F	Avestan	Avestan letter te		
10B1A	"""𐬚"""	10B00..10B3F	Avestan	Avestan letter the		
10B1B	"""𐬛"""	10B00..10B3F	Avestan	Avestan letter de		
10B1C	"""𐬜"""	10B00..10B3F	Avestan	Avestan letter dhe		
10B1D	"""𐬝"""	10B00..10B3F	Avestan	Avestan letter tte		
10B1E	"""𐬞"""	10B00..10B3F	Avestan	Avestan letter pe		
10B1F	"""𐬟"""	10B00..10B3F	Avestan	Avestan letter fe		
10B20	"""𐬠"""	10B00..10B3F	Avestan	Avestan letter be		
10B21	"""𐬡"""	10B00..10B3F	Avestan	Avestan letter bhe		
10B22	"""𐬢"""	10B00..10B3F	Avestan	Avestan letter nge		
10B23	"""𐬣"""	10B00..10B3F	Avestan	Avestan letter ngye		
10B24	"""𐬤"""	10B00..10B3F	Avestan	Avestan letter ngve		
10B25	"""𐬥"""	10B00..10B3F	Avestan	Avestan letter ne		
10B26	"""𐬦"""	10B00..10B3F	Avestan	Avestan letter nye		
10B27	"""𐬧"""	10B00..10B3F	Avestan	Avestan letter nne		
10B28	"""𐬨"""	10B00..10B3F	Avestan	Avestan letter me		
10B29	"""𐬩"""	10B00..10B3F	Avestan	Avestan letter hme		
10B2A	"""𐬪"""	10B00..10B3F	Avestan	Avestan letter yye		
10B2B	"""𐬫"""	10B00..10B3F	Avestan	Avestan letter ye		
10B2C	"""𐬬"""	10B00..10B3F	Avestan	Avestan letter ve		
10B2D	"""𐬭"""	10B00..10B3F	Avestan	Avestan letter re		
10B2E	"""𐬮"""	10B00..10B3F	Avestan	Avestan letter le		
10B2F	"""𐬯"""	10B00..10B3F	Avestan	Avestan letter se		
10B30	"""𐬰"""	10B00..10B3F	Avestan	Avestan letter ze		
10B31	"""𐬱"""	10B00..10B3F	Avestan	Avestan letter she		
10B32	"""𐬲"""	10B00..10B3F	Avestan	Avestan letter zhe		
10B33	"""𐬳"""	10B00..10B3F	Avestan	Avestan letter shye		
10B34	"""𐬴"""	10B00..10B3F	Avestan	Avestan letter sshe		
10B35	"""𐬵"""	10B00..10B3F	Avestan	Avestan letter he		
10B39	"""𐬹"""	10B00..10B3F	Avestan	Avestan abbreviation mark		
10B3A	"""𐬺"""	10B00..10B3F	Avestan	Tiny two dots over one dot punctuation		
10B3B	"""𐬻"""	10B00..10B3F	Avestan	Small two dots over one dot punctuation		
10B3C	"""𐬼"""	10B00..10B3F	Avestan	Large two dots over one dot punctuation		
10B3D	"""𐬽"""	10B00..10B3F	Avestan	Large one dot over two dots punctuation		
10B3E	"""𐬾"""	10B00..10B3F	Avestan	Large two rings over one ring punctuation		
10B3F	"""𐬿"""	10B00..10B3F	Avestan	Large one ring over two rings punctuation		
