code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10C80	𐲀	10C80..10CFF	Old Hungarian	Old hungarian capital letter a		
U+10C81	𐲁	10C80..10CFF	Old Hungarian	Old hungarian capital letter aa		
U+10C82	𐲂	10C80..10CFF	Old Hungarian	Old hungarian capital letter eb		
U+10C83	𐲃	10C80..10CFF	Old Hungarian	Old hungarian capital letter amb		
U+10C84	𐲄	10C80..10CFF	Old Hungarian	Old hungarian capital letter ec		
U+10C85	𐲅	10C80..10CFF	Old Hungarian	Old hungarian capital letter enc		
U+10C86	𐲆	10C80..10CFF	Old Hungarian	Old hungarian capital letter ecs		
U+10C87	𐲇	10C80..10CFF	Old Hungarian	Old hungarian capital letter ed		
U+10C88	𐲈	10C80..10CFF	Old Hungarian	Old hungarian capital letter and		
U+10C89	𐲉	10C80..10CFF	Old Hungarian	Old hungarian capital letter e		
U+10C8A	𐲊	10C80..10CFF	Old Hungarian	Old hungarian capital letter close e		
U+10C8B	𐲋	10C80..10CFF	Old Hungarian	Old hungarian capital letter ee		
U+10C8C	𐲌	10C80..10CFF	Old Hungarian	Old hungarian capital letter ef		
U+10C8D	𐲍	10C80..10CFF	Old Hungarian	Old hungarian capital letter eg		
U+10C8E	𐲎	10C80..10CFF	Old Hungarian	Old hungarian capital letter egy		
U+10C8F	𐲏	10C80..10CFF	Old Hungarian	Old hungarian capital letter eh		
U+10C90	𐲐	10C80..10CFF	Old Hungarian	Old hungarian capital letter i		
U+10C91	𐲑	10C80..10CFF	Old Hungarian	Old hungarian capital letter ii		
U+10C92	𐲒	10C80..10CFF	Old Hungarian	Old hungarian capital letter ej		
U+10C93	𐲓	10C80..10CFF	Old Hungarian	Old hungarian capital letter ek		
U+10C94	𐲔	10C80..10CFF	Old Hungarian	Old hungarian capital letter ak		
U+10C95	𐲕	10C80..10CFF	Old Hungarian	Old hungarian capital letter unk		
U+10C96	𐲖	10C80..10CFF	Old Hungarian	Old hungarian capital letter el		
U+10C97	𐲗	10C80..10CFF	Old Hungarian	Old hungarian capital letter ely		
U+10C98	𐲘	10C80..10CFF	Old Hungarian	Old hungarian capital letter em		
U+10C99	𐲙	10C80..10CFF	Old Hungarian	Old hungarian capital letter en		
U+10C9A	𐲚	10C80..10CFF	Old Hungarian	Old hungarian capital letter eny		
U+10C9B	𐲛	10C80..10CFF	Old Hungarian	Old hungarian capital letter o		
U+10C9C	𐲜	10C80..10CFF	Old Hungarian	Old hungarian capital letter oo		
U+10C9D	𐲝	10C80..10CFF	Old Hungarian	Old hungarian capital letter nikolsburg oe		
U+10C9E	𐲞	10C80..10CFF	Old Hungarian	Old hungarian capital letter rudimenta oe		
U+10C9F	𐲟	10C80..10CFF	Old Hungarian	Old hungarian capital letter oee		
U+10CA0	𐲠	10C80..10CFF	Old Hungarian	Old hungarian capital letter ep		
U+10CA1	𐲡	10C80..10CFF	Old Hungarian	Old hungarian capital letter emp		
U+10CA2	𐲢	10C80..10CFF	Old Hungarian	Old hungarian capital letter er		
U+10CA3	𐲣	10C80..10CFF	Old Hungarian	Old hungarian capital letter short er		
U+10CA4	𐲤	10C80..10CFF	Old Hungarian	Old hungarian capital letter es		
U+10CA5	𐲥	10C80..10CFF	Old Hungarian	Old hungarian capital letter esz		
U+10CA6	𐲦	10C80..10CFF	Old Hungarian	Old hungarian capital letter et		
U+10CA7	𐲧	10C80..10CFF	Old Hungarian	Old hungarian capital letter ent		
U+10CA8	𐲨	10C80..10CFF	Old Hungarian	Old hungarian capital letter ety		
U+10CA9	𐲩	10C80..10CFF	Old Hungarian	Old hungarian capital letter ech		
U+10CAA	𐲪	10C80..10CFF	Old Hungarian	Old hungarian capital letter u		
U+10CAB	𐲫	10C80..10CFF	Old Hungarian	Old hungarian capital letter uu		
U+10CAC	𐲬	10C80..10CFF	Old Hungarian	Old hungarian capital letter nikolsburg ue		
U+10CAD	𐲭	10C80..10CFF	Old Hungarian	Old hungarian capital letter rudimenta ue		
U+10CAE	𐲮	10C80..10CFF	Old Hungarian	Old hungarian capital letter ev		
U+10CAF	𐲯	10C80..10CFF	Old Hungarian	Old hungarian capital letter ez		
