code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10D00	𐴀	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter a		
U+10D01	𐴁	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ba		
U+10D02	𐴂	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter pa		
U+10D03	𐴃	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ta		
U+10D04	𐴄	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter tta		
U+10D05	𐴅	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ja		
U+10D06	𐴆	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ca		
U+10D07	𐴇	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ha		
U+10D08	𐴈	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter kha		
U+10D09	𐴉	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter fa		
U+10D0A	𐴊	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter da		
U+10D0B	𐴋	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter dda		
U+10D0C	𐴌	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ra		
U+10D0D	𐴍	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter rra		
U+10D0E	𐴎	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter za		
U+10D0F	𐴏	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter sa		
U+10D10	𐴐	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter sha		
U+10D11	𐴑	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ka		
U+10D12	𐴒	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ga		
U+10D13	𐴓	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter la		
U+10D14	𐴔	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ma		
U+10D15	𐴕	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter na		
U+10D16	𐴖	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter wa		
U+10D17	𐴗	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter kinna wa		
U+10D18	𐴘	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter ya		
U+10D19	𐴙	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter kinna ya		
U+10D1A	𐴚	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter nga		
U+10D1B	𐴛	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter nya		
U+10D1C	𐴜	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya letter va		
U+10D1D	𐴝	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya vowel a		
U+10D1E	𐴞	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya vowel i		
U+10D1F	𐴟	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya vowel u		
U+10D20	𐴠	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya vowel e		
U+10D21	𐴡	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya vowel o		
U+10D22	𐴢	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya mark sakin		
U+10D23	𐴣	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya mark na khonna		
U+10D24	𐴤	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya sign harbahay		
U+10D25	𐴥	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya sign tahala		
U+10D26	𐴦	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya sign tana		
U+10D27	𐴧	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya sign tassi		
U+10D30	𐴰	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit zero		
U+10D31	𐴱	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit one		
U+10D32	𐴲	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit two		
U+10D33	𐴳	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit three		
U+10D34	𐴴	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit four		
U+10D35	𐴵	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit five		
U+10D36	𐴶	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit six		
U+10D37	𐴷	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit seven		
U+10D38	𐴸	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit eight		
U+10D39	𐴹	10D00..10D3F	Hanifi Rohingya	Hanifi rohingya digit nine		
