code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10F70	𐽰	10F70..10FAF	Old Uyghur	Old uyghur letter aleph		
U+10F71	𐽱	10F70..10FAF	Old Uyghur	Old uyghur letter beth		
U+10F72	𐽲	10F70..10FAF	Old Uyghur	Old uyghur letter gimel-heth		
U+10F73	𐽳	10F70..10FAF	Old Uyghur	Old uyghur letter waw		
U+10F74	𐽴	10F70..10FAF	Old Uyghur	Old uyghur letter zayin		
U+10F75	𐽵	10F70..10FAF	Old Uyghur	Old uyghur letter final heth		
U+10F76	𐽶	10F70..10FAF	Old Uyghur	Old uyghur letter yodh		
U+10F77	𐽷	10F70..10FAF	Old Uyghur	Old uyghur letter kaph		
U+10F78	𐽸	10F70..10FAF	Old Uyghur	Old uyghur letter lamedh		
U+10F79	𐽹	10F70..10FAF	Old Uyghur	Old uyghur letter mem		
U+10F7A	𐽺	10F70..10FAF	Old Uyghur	Old uyghur letter nun		
U+10F7B	𐽻	10F70..10FAF	Old Uyghur	Old uyghur letter samekh		
U+10F7C	𐽼	10F70..10FAF	Old Uyghur	Old uyghur letter pe		
U+10F7D	𐽽	10F70..10FAF	Old Uyghur	Old uyghur letter sadhe		
U+10F7E	𐽾	10F70..10FAF	Old Uyghur	Old uyghur letter resh		
U+10F7F	𐽿	10F70..10FAF	Old Uyghur	Old uyghur letter shin		
U+10F80	𐾀	10F70..10FAF	Old Uyghur	Old uyghur letter taw		
U+10F81	𐾁	10F70..10FAF	Old Uyghur	Old uyghur letter lesh		
U+10F82	𐾂	10F70..10FAF	Old Uyghur	Old uyghur combining dot above		
U+10F83	𐾃	10F70..10FAF	Old Uyghur	Old uyghur combining dot below		
U+10F84	𐾄	10F70..10FAF	Old Uyghur	Old uyghur combining two dots above		
U+10F85	𐾅	10F70..10FAF	Old Uyghur	Old uyghur combining two dots below		
U+10F86	𐾆	10F70..10FAF	Old Uyghur	Old uyghur punctuation bar		
U+10F87	𐾇	10F70..10FAF	Old Uyghur	Old uyghur punctuation two bars		
U+10F88	𐾈	10F70..10FAF	Old Uyghur	Old uyghur punctuation two dots		
U+10F89	𐾉	10F70..10FAF	Old Uyghur	Old uyghur punctuation four dots		
