code_point	symbol	block	block_name	name	tab_completion	latex_code
U+10FE0	𐿠	10FE0..10FFF	Elymaic	Elymaic letter aleph		
U+10FE1	𐿡	10FE0..10FFF	Elymaic	Elymaic letter beth		
U+10FE2	𐿢	10FE0..10FFF	Elymaic	Elymaic letter gimel		
U+10FE3	𐿣	10FE0..10FFF	Elymaic	Elymaic letter daleth		
U+10FE4	𐿤	10FE0..10FFF	Elymaic	Elymaic letter he		
U+10FE5	𐿥	10FE0..10FFF	Elymaic	Elymaic letter waw		
U+10FE6	𐿦	10FE0..10FFF	Elymaic	Elymaic letter zayin		
U+10FE7	𐿧	10FE0..10FFF	Elymaic	Elymaic letter heth		
U+10FE8	𐿨	10FE0..10FFF	Elymaic	Elymaic letter teth		
U+10FE9	𐿩	10FE0..10FFF	Elymaic	Elymaic letter yodh		
U+10FEA	𐿪	10FE0..10FFF	Elymaic	Elymaic letter kaph		
U+10FEB	𐿫	10FE0..10FFF	Elymaic	Elymaic letter lamedh		
U+10FEC	𐿬	10FE0..10FFF	Elymaic	Elymaic letter mem		
U+10FED	𐿭	10FE0..10FFF	Elymaic	Elymaic letter nun		
U+10FEE	𐿮	10FE0..10FFF	Elymaic	Elymaic letter samekh		
U+10FEF	𐿯	10FE0..10FFF	Elymaic	Elymaic letter ayin		
U+10FF0	𐿰	10FE0..10FFF	Elymaic	Elymaic letter pe		
U+10FF1	𐿱	10FE0..10FFF	Elymaic	Elymaic letter sadhe		
U+10FF2	𐿲	10FE0..10FFF	Elymaic	Elymaic letter qoph		
U+10FF3	𐿳	10FE0..10FFF	Elymaic	Elymaic letter resh		
U+10FF4	𐿴	10FE0..10FFF	Elymaic	Elymaic letter shin		
U+10FF5	𐿵	10FE0..10FFF	Elymaic	Elymaic letter taw		
U+10FF6	𐿶	10FE0..10FFF	Elymaic	Elymaic ligature zayin-yodh		
