code_point	symbol	block	block_name	name	tab_completion	latex_code
U+11000	𑀀	11000..1107F	Brahmi	Brahmi sign candrabindu		
U+11001	𑀁	11000..1107F	Brahmi	Brahmi sign anusvara		
U+11002	𑀂	11000..1107F	Brahmi	Brahmi sign visarga		
U+11003	𑀃	11000..1107F	Brahmi	Brahmi sign jihvamuliya		
U+11004	𑀄	11000..1107F	Brahmi	Brahmi sign upadhmaniya		
U+11005	𑀅	11000..1107F	Brahmi	Brahmi letter a		
U+11006	𑀆	11000..1107F	Brahmi	Brahmi letter aa		
U+11007	𑀇	11000..1107F	Brahmi	Brahmi letter i		
U+11008	𑀈	11000..1107F	Brahmi	Brahmi letter ii		
U+11009	𑀉	11000..1107F	Brahmi	Brahmi letter u		
U+1100A	𑀊	11000..1107F	Brahmi	Brahmi letter uu		
U+1100B	𑀋	11000..1107F	Brahmi	Brahmi letter vocalic r		
U+1100C	𑀌	11000..1107F	Brahmi	Brahmi letter vocalic rr		
U+1100D	𑀍	11000..1107F	Brahmi	Brahmi letter vocalic l		
U+1100E	𑀎	11000..1107F	Brahmi	Brahmi letter vocalic ll		
U+1100F	𑀏	11000..1107F	Brahmi	Brahmi letter e		
U+11010	𑀐	11000..1107F	Brahmi	Brahmi letter ai		
U+11011	𑀑	11000..1107F	Brahmi	Brahmi letter o		
U+11012	𑀒	11000..1107F	Brahmi	Brahmi letter au		
U+11013	𑀓	11000..1107F	Brahmi	Brahmi letter ka		
U+11014	𑀔	11000..1107F	Brahmi	Brahmi letter kha		
U+11015	𑀕	11000..1107F	Brahmi	Brahmi letter ga		
U+11016	𑀖	11000..1107F	Brahmi	Brahmi letter gha		
U+11017	𑀗	11000..1107F	Brahmi	Brahmi letter nga		
U+11018	𑀘	11000..1107F	Brahmi	Brahmi letter ca		
U+11019	𑀙	11000..1107F	Brahmi	Brahmi letter cha		
U+1101A	𑀚	11000..1107F	Brahmi	Brahmi letter ja		
U+1101B	𑀛	11000..1107F	Brahmi	Brahmi letter jha		
U+1101C	𑀜	11000..1107F	Brahmi	Brahmi letter nya		
U+1101D	𑀝	11000..1107F	Brahmi	Brahmi letter tta		
U+1101E	𑀞	11000..1107F	Brahmi	Brahmi letter ttha		
U+1101F	𑀟	11000..1107F	Brahmi	Brahmi letter dda		
U+11020	𑀠	11000..1107F	Brahmi	Brahmi letter ddha		
U+11021	𑀡	11000..1107F	Brahmi	Brahmi letter nna		
U+11022	𑀢	11000..1107F	Brahmi	Brahmi letter ta		
U+11023	𑀣	11000..1107F	Brahmi	Brahmi letter tha		
U+11024	𑀤	11000..1107F	Brahmi	Brahmi letter da		
U+11025	𑀥	11000..1107F	Brahmi	Brahmi letter dha		
U+11026	𑀦	11000..1107F	Brahmi	Brahmi letter na		
U+11027	𑀧	11000..1107F	Brahmi	Brahmi letter pa		
U+11028	𑀨	11000..1107F	Brahmi	Brahmi letter pha		
U+11029	𑀩	11000..1107F	Brahmi	Brahmi letter ba		
U+1102A	𑀪	11000..1107F	Brahmi	Brahmi letter bha		
U+1102B	𑀫	11000..1107F	Brahmi	Brahmi letter ma		
U+1102C	𑀬	11000..1107F	Brahmi	Brahmi letter ya		
U+1102D	𑀭	11000..1107F	Brahmi	Brahmi letter ra		
U+1102E	𑀮	11000..1107F	Brahmi	Brahmi letter la		
U+1102F	𑀯	11000..1107F	Brahmi	Brahmi letter va		
U+11030	𑀰	11000..1107F	Brahmi	Brahmi letter sha		
U+11031	𑀱	11000..1107F	Brahmi	Brahmi letter ssa		
U+11032	𑀲	11000..1107F	Brahmi	Brahmi letter sa		
U+11033	𑀳	11000..1107F	Brahmi	Brahmi letter ha		
U+11034	𑀴	11000..1107F	Brahmi	Brahmi letter lla		
U+11035	𑀵	11000..1107F	Brahmi	Brahmi letter old tamil llla		
U+11036	𑀶	11000..1107F	Brahmi	Brahmi letter old tamil rra		
U+11037	𑀷	11000..1107F	Brahmi	Brahmi letter old tamil nnna		
U+11038	𑀸	11000..1107F	Brahmi	Brahmi vowel sign aa		
U+11039	𑀹	11000..1107F	Brahmi	Brahmi vowel sign bhattiprolu aa		
U+1103A	𑀺	11000..1107F	Brahmi	Brahmi vowel sign i		
U+1103B	𑀻	11000..1107F	Brahmi	Brahmi vowel sign ii		
U+1103C	𑀼	11000..1107F	Brahmi	Brahmi vowel sign u		
U+1103D	𑀽	11000..1107F	Brahmi	Brahmi vowel sign uu		
U+1103E	𑀾	11000..1107F	Brahmi	Brahmi vowel sign vocalic r		
U+1103F	𑀿	11000..1107F	Brahmi	Brahmi vowel sign vocalic rr		
