code_point	symbol	block	block_name	name	tab_completion	latex_code
U+11080	𑂀	11080..110CF	Kaithi	Kaithi sign candrabindu		
U+11081	𑂁	11080..110CF	Kaithi	Kaithi sign anusvara		
U+11082	𑂂	11080..110CF	Kaithi	Kaithi sign visarga		
U+11083	𑂃	11080..110CF	Kaithi	Kaithi letter a		
U+11084	𑂄	11080..110CF	Kaithi	Kaithi letter aa		
U+11085	𑂅	11080..110CF	Kaithi	Kaithi letter i		
U+11086	𑂆	11080..110CF	Kaithi	Kaithi letter ii		
U+11087	𑂇	11080..110CF	Kaithi	Kaithi letter u		
U+11088	𑂈	11080..110CF	Kaithi	Kaithi letter uu		
U+11089	𑂉	11080..110CF	Kaithi	Kaithi letter e		
U+1108A	𑂊	11080..110CF	Kaithi	Kaithi letter ai		
U+1108B	𑂋	11080..110CF	Kaithi	Kaithi letter o		
U+1108C	𑂌	11080..110CF	Kaithi	Kaithi letter au		
U+1108D	𑂍	11080..110CF	Kaithi	Kaithi letter ka		
U+1108E	𑂎	11080..110CF	Kaithi	Kaithi letter kha		
U+1108F	𑂏	11080..110CF	Kaithi	Kaithi letter ga		
U+11090	𑂐	11080..110CF	Kaithi	Kaithi letter gha		
U+11091	𑂑	11080..110CF	Kaithi	Kaithi letter nga		
U+11092	𑂒	11080..110CF	Kaithi	Kaithi letter ca		
U+11093	𑂓	11080..110CF	Kaithi	Kaithi letter cha		
U+11094	𑂔	11080..110CF	Kaithi	Kaithi letter ja		
U+11095	𑂕	11080..110CF	Kaithi	Kaithi letter jha		
U+11096	𑂖	11080..110CF	Kaithi	Kaithi letter nya		
U+11097	𑂗	11080..110CF	Kaithi	Kaithi letter tta		
U+11098	𑂘	11080..110CF	Kaithi	Kaithi letter ttha		
U+11099	𑂙	11080..110CF	Kaithi	Kaithi letter dda		
U+1109A	𑂚	11080..110CF	Kaithi	Kaithi letter dddha		
U+1109B	𑂛	11080..110CF	Kaithi	Kaithi letter ddha		
U+1109C	𑂜	11080..110CF	Kaithi	Kaithi letter rha		
U+1109D	𑂝	11080..110CF	Kaithi	Kaithi letter nna		
U+1109E	𑂞	11080..110CF	Kaithi	Kaithi letter ta		
U+1109F	𑂟	11080..110CF	Kaithi	Kaithi letter tha		
U+110A0	𑂠	11080..110CF	Kaithi	Kaithi letter da		
U+110A1	𑂡	11080..110CF	Kaithi	Kaithi letter dha		
U+110A2	𑂢	11080..110CF	Kaithi	Kaithi letter na		
U+110A3	𑂣	11080..110CF	Kaithi	Kaithi letter pa		
U+110A4	𑂤	11080..110CF	Kaithi	Kaithi letter pha		
U+110A5	𑂥	11080..110CF	Kaithi	Kaithi letter ba		
U+110A6	𑂦	11080..110CF	Kaithi	Kaithi letter bha		
U+110A7	𑂧	11080..110CF	Kaithi	Kaithi letter ma		
U+110A8	𑂨	11080..110CF	Kaithi	Kaithi letter ya		
U+110A9	𑂩	11080..110CF	Kaithi	Kaithi letter ra		
U+110AA	𑂪	11080..110CF	Kaithi	Kaithi letter la		
U+110AB	𑂫	11080..110CF	Kaithi	Kaithi letter va		
U+110AC	𑂬	11080..110CF	Kaithi	Kaithi letter sha		
U+110AD	𑂭	11080..110CF	Kaithi	Kaithi letter ssa		
U+110AE	𑂮	11080..110CF	Kaithi	Kaithi letter sa		
U+110AF	𑂯	11080..110CF	Kaithi	Kaithi letter ha		
U+110B0	𑂰	11080..110CF	Kaithi	Kaithi vowel sign aa		
U+110B1	𑂱	11080..110CF	Kaithi	Kaithi vowel sign i		
U+110B2	𑂲	11080..110CF	Kaithi	Kaithi vowel sign ii		
U+110B3	𑂳	11080..110CF	Kaithi	Kaithi vowel sign u		
U+110B4	𑂴	11080..110CF	Kaithi	Kaithi vowel sign uu		
U+110B5	𑂵	11080..110CF	Kaithi	Kaithi vowel sign e		
U+110B6	𑂶	11080..110CF	Kaithi	Kaithi vowel sign ai		
U+110B7	𑂷	11080..110CF	Kaithi	Kaithi vowel sign o		
U+110B8	𑂸	11080..110CF	Kaithi	Kaithi vowel sign au		
U+110B9	𑂹	11080..110CF	Kaithi	Kaithi sign virama		
U+110BA	𑂺	11080..110CF	Kaithi	Kaithi sign nukta		
U+110BB	𑂻	11080..110CF	Kaithi	Kaithi abbreviation sign		
U+110BC	𑂼	11080..110CF	Kaithi	Kaithi enumeration sign		
U+110BD	𑂽	11080..110CF	Kaithi	Kaithi number sign		
U+110BE	𑂾	11080..110CF	Kaithi	Kaithi section mark		
U+110BF	𑂿	11080..110CF	Kaithi	Kaithi double section mark		
U+110C0	𑃀	11080..110CF	Kaithi	Kaithi danda		
U+110C1	𑃁	11080..110CF	Kaithi	Kaithi double danda		
U+110C2	𑃂	11080..110CF	Kaithi	Kaithi vowel sign vocalic r		
U+110CD	𑃍	11080..110CF	Kaithi	Kaithi number sign above		
