code_point	symbol	block	block_name	name	tab_completion	latex_code
U+11180	𑆀	11180..111DF	Sharada	Sharada sign candrabindu		
U+11181	𑆁	11180..111DF	Sharada	Sharada sign anusvara		
U+11182	𑆂	11180..111DF	Sharada	Sharada sign visarga		
U+11183	𑆃	11180..111DF	Sharada	Sharada letter a		
U+11184	𑆄	11180..111DF	Sharada	Sharada letter aa		
U+11185	𑆅	11180..111DF	Sharada	Sharada letter i		
U+11186	𑆆	11180..111DF	Sharada	Sharada letter ii		
U+11187	𑆇	11180..111DF	Sharada	Sharada letter u		
U+11188	𑆈	11180..111DF	Sharada	Sharada letter uu		
U+11189	𑆉	11180..111DF	Sharada	Sharada letter vocalic r		
U+1118A	𑆊	11180..111DF	Sharada	Sharada letter vocalic rr		
U+1118B	𑆋	11180..111DF	Sharada	Sharada letter vocalic l		
U+1118C	𑆌	11180..111DF	Sharada	Sharada letter vocalic ll		
U+1118D	𑆍	11180..111DF	Sharada	Sharada letter e		
U+1118E	𑆎	11180..111DF	Sharada	Sharada letter ai		
U+1118F	𑆏	11180..111DF	Sharada	Sharada letter o		
U+11190	𑆐	11180..111DF	Sharada	Sharada letter au		
U+11191	𑆑	11180..111DF	Sharada	Sharada letter ka		
U+11192	𑆒	11180..111DF	Sharada	Sharada letter kha		
U+11193	𑆓	11180..111DF	Sharada	Sharada letter ga		
U+11194	𑆔	11180..111DF	Sharada	Sharada letter gha		
U+11195	𑆕	11180..111DF	Sharada	Sharada letter nga		
U+11196	𑆖	11180..111DF	Sharada	Sharada letter ca		
U+11197	𑆗	11180..111DF	Sharada	Sharada letter cha		
U+11198	𑆘	11180..111DF	Sharada	Sharada letter ja		
U+11199	𑆙	11180..111DF	Sharada	Sharada letter jha		
U+1119A	𑆚	11180..111DF	Sharada	Sharada letter nya		
U+1119B	𑆛	11180..111DF	Sharada	Sharada letter tta		
U+1119C	𑆜	11180..111DF	Sharada	Sharada letter ttha		
U+1119D	𑆝	11180..111DF	Sharada	Sharada letter dda		
U+1119E	𑆞	11180..111DF	Sharada	Sharada letter ddha		
U+1119F	𑆟	11180..111DF	Sharada	Sharada letter nna		
U+111A0	𑆠	11180..111DF	Sharada	Sharada letter ta		
U+111A1	𑆡	11180..111DF	Sharada	Sharada letter tha		
U+111A2	𑆢	11180..111DF	Sharada	Sharada letter da		
U+111A3	𑆣	11180..111DF	Sharada	Sharada letter dha		
U+111A4	𑆤	11180..111DF	Sharada	Sharada letter na		
U+111A5	𑆥	11180..111DF	Sharada	Sharada letter pa		
U+111A6	𑆦	11180..111DF	Sharada	Sharada letter pha		
U+111A7	𑆧	11180..111DF	Sharada	Sharada letter ba		
U+111A8	𑆨	11180..111DF	Sharada	Sharada letter bha		
U+111A9	𑆩	11180..111DF	Sharada	Sharada letter ma		
U+111AA	𑆪	11180..111DF	Sharada	Sharada letter ya		
U+111AB	𑆫	11180..111DF	Sharada	Sharada letter ra		
U+111AC	𑆬	11180..111DF	Sharada	Sharada letter la		
U+111AD	𑆭	11180..111DF	Sharada	Sharada letter lla		
U+111AE	𑆮	11180..111DF	Sharada	Sharada letter va		
U+111AF	𑆯	11180..111DF	Sharada	Sharada letter sha		
U+111B0	𑆰	11180..111DF	Sharada	Sharada letter ssa		
U+111B1	𑆱	11180..111DF	Sharada	Sharada letter sa		
U+111B2	𑆲	11180..111DF	Sharada	Sharada letter ha		
U+111B3	𑆳	11180..111DF	Sharada	Sharada vowel sign aa		
U+111B4	𑆴	11180..111DF	Sharada	Sharada vowel sign i		
U+111B5	𑆵	11180..111DF	Sharada	Sharada vowel sign ii		
U+111B6	𑆶	11180..111DF	Sharada	Sharada vowel sign u		
U+111B7	𑆷	11180..111DF	Sharada	Sharada vowel sign uu		
U+111B8	𑆸	11180..111DF	Sharada	Sharada vowel sign vocalic r		
U+111B9	𑆹	11180..111DF	Sharada	Sharada vowel sign vocalic rr		
U+111BA	𑆺	11180..111DF	Sharada	Sharada vowel sign vocalic l		
U+111BB	𑆻	11180..111DF	Sharada	Sharada vowel sign vocalic ll		
U+111BC	𑆼	11180..111DF	Sharada	Sharada vowel sign e		
U+111BD	𑆽	11180..111DF	Sharada	Sharada vowel sign ai		
U+111BE	𑆾	11180..111DF	Sharada	Sharada vowel sign o		
U+111BF	𑆿	11180..111DF	Sharada	Sharada vowel sign au		
U+111C0	𑇀	11180..111DF	Sharada	Sharada sign virama		
U+111C1	𑇁	11180..111DF	Sharada	Sharada sign avagraha		
U+111C2	𑇂	11180..111DF	Sharada	Sharada sign jihvamuliya		
U+111C3	𑇃	11180..111DF	Sharada	Sharada sign upadhmaniya		
U+111C4	𑇄	11180..111DF	Sharada	Sharada om		
U+111C5	𑇅	11180..111DF	Sharada	Sharada danda		
U+111C6	𑇆	11180..111DF	Sharada	Sharada double danda		
U+111C7	𑇇	11180..111DF	Sharada	Sharada abbreviation sign		
U+111C8	𑇈	11180..111DF	Sharada	Sharada separator		
