code_point	symbol	block	block_name	name	tab_completion	latex_code
11300	"""𑌀"""	11300..1137F	Grantha	Grantha sign combining anusvara above		
11301	"""𑌁"""	11300..1137F	Grantha	Grantha sign candrabindu		
11302	"""𑌂"""	11300..1137F	Grantha	Grantha sign anusvara		
11303	"""𑌃"""	11300..1137F	Grantha	Grantha sign visarga		
11305	"""𑌅"""	11300..1137F	Grantha	Grantha letter a		
11306	"""𑌆"""	11300..1137F	Grantha	Grantha letter aa		
11307	"""𑌇"""	11300..1137F	Grantha	Grantha letter i		
11308	"""𑌈"""	11300..1137F	Grantha	Grantha letter ii		
11309	"""𑌉"""	11300..1137F	Grantha	Grantha letter u		
1130A	"""𑌊"""	11300..1137F	Grantha	Grantha letter uu		
1130B	"""𑌋"""	11300..1137F	Grantha	Grantha letter vocalic r		
1130C	"""𑌌"""	11300..1137F	Grantha	Grantha letter vocalic l		
1130F	"""𑌏"""	11300..1137F	Grantha	Grantha letter ee		
11310	"""𑌐"""	11300..1137F	Grantha	Grantha letter ai		
11313	"""𑌓"""	11300..1137F	Grantha	Grantha letter oo		
11314	"""𑌔"""	11300..1137F	Grantha	Grantha letter au		
11315	"""𑌕"""	11300..1137F	Grantha	Grantha letter ka		
11316	"""𑌖"""	11300..1137F	Grantha	Grantha letter kha		
11317	"""𑌗"""	11300..1137F	Grantha	Grantha letter ga		
11318	"""𑌘"""	11300..1137F	Grantha	Grantha letter gha		
11319	"""𑌙"""	11300..1137F	Grantha	Grantha letter nga		
1131A	"""𑌚"""	11300..1137F	Grantha	Grantha letter ca		
1131B	"""𑌛"""	11300..1137F	Grantha	Grantha letter cha		
1131C	"""𑌜"""	11300..1137F	Grantha	Grantha letter ja		
1131D	"""𑌝"""	11300..1137F	Grantha	Grantha letter jha		
1131E	"""𑌞"""	11300..1137F	Grantha	Grantha letter nya		
1131F	"""𑌟"""	11300..1137F	Grantha	Grantha letter tta		
11320	"""𑌠"""	11300..1137F	Grantha	Grantha letter ttha		
11321	"""𑌡"""	11300..1137F	Grantha	Grantha letter dda		
11322	"""𑌢"""	11300..1137F	Grantha	Grantha letter ddha		
11323	"""𑌣"""	11300..1137F	Grantha	Grantha letter nna		
11324	"""𑌤"""	11300..1137F	Grantha	Grantha letter ta		
11325	"""𑌥"""	11300..1137F	Grantha	Grantha letter tha		
11326	"""𑌦"""	11300..1137F	Grantha	Grantha letter da		
11327	"""𑌧"""	11300..1137F	Grantha	Grantha letter dha		
11328	"""𑌨"""	11300..1137F	Grantha	Grantha letter na		
1132A	"""𑌪"""	11300..1137F	Grantha	Grantha letter pa		
1132B	"""𑌫"""	11300..1137F	Grantha	Grantha letter pha		
1132C	"""𑌬"""	11300..1137F	Grantha	Grantha letter ba		
1132D	"""𑌭"""	11300..1137F	Grantha	Grantha letter bha		
1132E	"""𑌮"""	11300..1137F	Grantha	Grantha letter ma		
1132F	"""𑌯"""	11300..1137F	Grantha	Grantha letter ya		
11330	"""𑌰"""	11300..1137F	Grantha	Grantha letter ra		
11332	"""𑌲"""	11300..1137F	Grantha	Grantha letter la		
11333	"""𑌳"""	11300..1137F	Grantha	Grantha letter lla		
11335	"""𑌵"""	11300..1137F	Grantha	Grantha letter va		
11336	"""𑌶"""	11300..1137F	Grantha	Grantha letter sha		
11337	"""𑌷"""	11300..1137F	Grantha	Grantha letter ssa		
11338	"""𑌸"""	11300..1137F	Grantha	Grantha letter sa		
11339	"""𑌹"""	11300..1137F	Grantha	Grantha letter ha		
1133B	"""𑌻"""	11300..1137F	Grantha	Combining bindu below		
