code_point	symbol	block	block_name	name	tab_completion	latex_code
U+11580	𑖀	11580..115FF	Siddham	Siddham letter a		
U+11581	𑖁	11580..115FF	Siddham	Siddham letter aa		
U+11582	𑖂	11580..115FF	Siddham	Siddham letter i		
U+11583	𑖃	11580..115FF	Siddham	Siddham letter ii		
U+11584	𑖄	11580..115FF	Siddham	Siddham letter u		
U+11585	𑖅	11580..115FF	Siddham	Siddham letter uu		
U+11586	𑖆	11580..115FF	Siddham	Siddham letter vocalic r		
U+11587	𑖇	11580..115FF	Siddham	Siddham letter vocalic rr		
U+11588	𑖈	11580..115FF	Siddham	Siddham letter vocalic l		
U+11589	𑖉	11580..115FF	Siddham	Siddham letter vocalic ll		
U+1158A	𑖊	11580..115FF	Siddham	Siddham letter e		
U+1158B	𑖋	11580..115FF	Siddham	Siddham letter ai		
U+1158C	𑖌	11580..115FF	Siddham	Siddham letter o		
U+1158D	𑖍	11580..115FF	Siddham	Siddham letter au		
U+1158E	𑖎	11580..115FF	Siddham	Siddham letter ka		
U+1158F	𑖏	11580..115FF	Siddham	Siddham letter kha		
U+11590	𑖐	11580..115FF	Siddham	Siddham letter ga		
U+11591	𑖑	11580..115FF	Siddham	Siddham letter gha		
U+11592	𑖒	11580..115FF	Siddham	Siddham letter nga		
U+11593	𑖓	11580..115FF	Siddham	Siddham letter ca		
U+11594	𑖔	11580..115FF	Siddham	Siddham letter cha		
U+11595	𑖕	11580..115FF	Siddham	Siddham letter ja		
U+11596	𑖖	11580..115FF	Siddham	Siddham letter jha		
U+11597	𑖗	11580..115FF	Siddham	Siddham letter nya		
U+11598	𑖘	11580..115FF	Siddham	Siddham letter tta		
U+11599	𑖙	11580..115FF	Siddham	Siddham letter ttha		
U+1159A	𑖚	11580..115FF	Siddham	Siddham letter dda		
U+1159B	𑖛	11580..115FF	Siddham	Siddham letter ddha		
U+1159C	𑖜	11580..115FF	Siddham	Siddham letter nna		
U+1159D	𑖝	11580..115FF	Siddham	Siddham letter ta		
U+1159E	𑖞	11580..115FF	Siddham	Siddham letter tha		
U+1159F	𑖟	11580..115FF	Siddham	Siddham letter da		
U+115A0	𑖠	11580..115FF	Siddham	Siddham letter dha		
U+115A1	𑖡	11580..115FF	Siddham	Siddham letter na		
U+115A2	𑖢	11580..115FF	Siddham	Siddham letter pa		
U+115A3	𑖣	11580..115FF	Siddham	Siddham letter pha		
U+115A4	𑖤	11580..115FF	Siddham	Siddham letter ba		
U+115A5	𑖥	11580..115FF	Siddham	Siddham letter bha		
U+115A6	𑖦	11580..115FF	Siddham	Siddham letter ma		
U+115A7	𑖧	11580..115FF	Siddham	Siddham letter ya		
U+115A8	𑖨	11580..115FF	Siddham	Siddham letter ra		
U+115A9	𑖩	11580..115FF	Siddham	Siddham letter la		
U+115AA	𑖪	11580..115FF	Siddham	Siddham letter va		
U+115AB	𑖫	11580..115FF	Siddham	Siddham letter sha		
U+115AC	𑖬	11580..115FF	Siddham	Siddham letter ssa		
U+115AD	𑖭	11580..115FF	Siddham	Siddham letter sa		
U+115AE	𑖮	11580..115FF	Siddham	Siddham letter ha		
U+115AF	𑖯	11580..115FF	Siddham	Siddham vowel sign aa		
U+115B0	𑖰	11580..115FF	Siddham	Siddham vowel sign i		
U+115B1	𑖱	11580..115FF	Siddham	Siddham vowel sign ii		
U+115B2	𑖲	11580..115FF	Siddham	Siddham vowel sign u		
U+115B3	𑖳	11580..115FF	Siddham	Siddham vowel sign uu		
U+115B4	𑖴	11580..115FF	Siddham	Siddham vowel sign vocalic r		
U+115B5	𑖵	11580..115FF	Siddham	Siddham vowel sign vocalic rr		
U+115B8	𑖸	11580..115FF	Siddham	Siddham vowel sign e		
U+115B9	𑖹	11580..115FF	Siddham	Siddham vowel sign ai		
U+115BA	𑖺	11580..115FF	Siddham	Siddham vowel sign o		
U+115BB	𑖻	11580..115FF	Siddham	Siddham vowel sign au		
U+115BC	𑖼	11580..115FF	Siddham	Siddham sign candrabindu		
U+115BD	𑖽	11580..115FF	Siddham	Siddham sign anusvara		
U+115BE	𑖾	11580..115FF	Siddham	Siddham sign visarga		
U+115BF	𑖿	11580..115FF	Siddham	Siddham sign virama		
U+115C0	𑗀	11580..115FF	Siddham	Siddham sign nukta		
U+115C1	𑗁	11580..115FF	Siddham	Siddham sign siddham		
U+115C2	𑗂	11580..115FF	Siddham	Siddham danda		
U+115C3	𑗃	11580..115FF	Siddham	Siddham double danda		
U+115C4	𑗄	11580..115FF	Siddham	Siddham separator dot		
U+115C5	𑗅	11580..115FF	Siddham	Siddham separator bar		
U+115C6	𑗆	11580..115FF	Siddham	Siddham repetition mark-1		
U+115C7	𑗇	11580..115FF	Siddham	Siddham repetition mark-2		
U+115C8	𑗈	11580..115FF	Siddham	Siddham repetition mark-3		
U+115C9	𑗉	11580..115FF	Siddham	Siddham end of text mark		
U+115CA	𑗊	11580..115FF	Siddham	Siddham section mark with trident and u-shaped ornaments		
U+115CB	𑗋	11580..115FF	Siddham	Siddham section mark with trident and dotted crescents		
U+115CC	𑗌	11580..115FF	Siddham	Siddham section mark with rays and dotted crescents		
U+115CD	𑗍	11580..115FF	Siddham	Siddham section mark with rays and dotted double crescents		
U+115CE	𑗎	11580..115FF	Siddham	Siddham section mark with rays and dotted triple crescents		
U+115CF	𑗏	11580..115FF	Siddham	Siddham section mark double ring		
U+115D0	𑗐	11580..115FF	Siddham	Siddham section mark double ring with rays		
U+115D1	𑗑	11580..115FF	Siddham	Siddham section mark with double crescents		
U+115D2	𑗒	11580..115FF	Siddham	Siddham section mark with triple crescents		
