code_point	symbol	block	block_name	name	tab_completion	latex_code
118A0	"""𑢠"""	118A0..118FF	Warang Citi	Warang citi capital letter ngaa		
118A1	"""𑢡"""	118A0..118FF	Warang Citi	Warang citi capital letter a		
118A2	"""𑢢"""	118A0..118FF	Warang Citi	Warang citi capital letter wi		
118A3	"""𑢣"""	118A0..118FF	Warang Citi	Warang citi capital letter yu		
118A4	"""𑢤"""	118A0..118FF	Warang Citi	Warang citi capital letter ya		
118A5	"""𑢥"""	118A0..118FF	Warang Citi	Warang citi capital letter yo		
118A6	"""𑢦"""	118A0..118FF	Warang Citi	Warang citi capital letter ii		
118A7	"""𑢧"""	118A0..118FF	Warang Citi	Warang citi capital letter uu		
118A8	"""𑢨"""	118A0..118FF	Warang Citi	Warang citi capital letter e		
118A9	"""𑢩"""	118A0..118FF	Warang Citi	Warang citi capital letter o		
118AA	"""𑢪"""	118A0..118FF	Warang Citi	Warang citi capital letter ang		
118AB	"""𑢫"""	118A0..118FF	Warang Citi	Warang citi capital letter ga		
118AC	"""𑢬"""	118A0..118FF	Warang Citi	Warang citi capital letter ko		
118AD	"""𑢭"""	118A0..118FF	Warang Citi	Warang citi capital letter eny		
118AE	"""𑢮"""	118A0..118FF	Warang Citi	Warang citi capital letter yuj		
118AF	"""𑢯"""	118A0..118FF	Warang Citi	Warang citi capital letter uc		
118B0	"""𑢰"""	118A0..118FF	Warang Citi	Warang citi capital letter enn		
118B1	"""𑢱"""	118A0..118FF	Warang Citi	Warang citi capital letter odd		
118B2	"""𑢲"""	118A0..118FF	Warang Citi	Warang citi capital letter tte		
118B3	"""𑢳"""	118A0..118FF	Warang Citi	Warang citi capital letter nung		
118B4	"""𑢴"""	118A0..118FF	Warang Citi	Warang citi capital letter da		
118B5	"""𑢵"""	118A0..118FF	Warang Citi	Warang citi capital letter at		
118B6	"""𑢶"""	118A0..118FF	Warang Citi	Warang citi capital letter am		
118B7	"""𑢷"""	118A0..118FF	Warang Citi	Warang citi capital letter bu		
118B8	"""𑢸"""	118A0..118FF	Warang Citi	Warang citi capital letter pu		
118B9	"""𑢹"""	118A0..118FF	Warang Citi	Warang citi capital letter hiyo		
118BA	"""𑢺"""	118A0..118FF	Warang Citi	Warang citi capital letter holo		
118BB	"""𑢻"""	118A0..118FF	Warang Citi	Warang citi capital letter horr		
118BC	"""𑢼"""	118A0..118FF	Warang Citi	Warang citi capital letter har		
118BD	"""𑢽"""	118A0..118FF	Warang Citi	Warang citi capital letter ssuu		
118BE	"""𑢾"""	118A0..118FF	Warang Citi	Warang citi capital letter sii		
118BF	"""𑢿"""	118A0..118FF	Warang Citi	Warang citi capital letter viyo		
118C0	"""𑣀"""	118A0..118FF	Warang Citi	Warang citi small letter ngaa		
118C1	"""𑣁"""	118A0..118FF	Warang Citi	Warang citi small letter a		
118C2	"""𑣂"""	118A0..118FF	Warang Citi	Warang citi small letter wi		
118C3	"""𑣃"""	118A0..118FF	Warang Citi	Warang citi small letter yu		
118C4	"""𑣄"""	118A0..118FF	Warang Citi	Warang citi small letter ya		
118C5	"""𑣅"""	118A0..118FF	Warang Citi	Warang citi small letter yo		
118C6	"""𑣆"""	118A0..118FF	Warang Citi	Warang citi small letter ii		
118C7	"""𑣇"""	118A0..118FF	Warang Citi	Warang citi small letter uu		
118C8	"""𑣈"""	118A0..118FF	Warang Citi	Warang citi small letter e		
118C9	"""𑣉"""	118A0..118FF	Warang Citi	Warang citi small letter o		
118CA	"""𑣊"""	118A0..118FF	Warang Citi	Warang citi small letter ang		
118CB	"""𑣋"""	118A0..118FF	Warang Citi	Warang citi small letter ga		
118CC	"""𑣌"""	118A0..118FF	Warang Citi	Warang citi small letter ko		
118CD	"""𑣍"""	118A0..118FF	Warang Citi	Warang citi small letter eny		
118CE	"""𑣎"""	118A0..118FF	Warang Citi	Warang citi small letter yuj		
118CF	"""𑣏"""	118A0..118FF	Warang Citi	Warang citi small letter uc		
118D0	"""𑣐"""	118A0..118FF	Warang Citi	Warang citi small letter enn		
118D1	"""𑣑"""	118A0..118FF	Warang Citi	Warang citi small letter odd		
118D2	"""𑣒"""	118A0..118FF	Warang Citi	Warang citi small letter tte		
118D3	"""𑣓"""	118A0..118FF	Warang Citi	Warang citi small letter nung		
118D4	"""𑣔"""	118A0..118FF	Warang Citi	Warang citi small letter da		
118D5	"""𑣕"""	118A0..118FF	Warang Citi	Warang citi small letter at		
118D6	"""𑣖"""	118A0..118FF	Warang Citi	Warang citi small letter am		
118D7	"""𑣗"""	118A0..118FF	Warang Citi	Warang citi small letter bu		
118D8	"""𑣘"""	118A0..118FF	Warang Citi	Warang citi small letter pu		
118D9	"""𑣙"""	118A0..118FF	Warang Citi	Warang citi small letter hiyo		
118DA	"""𑣚"""	118A0..118FF	Warang Citi	Warang citi small letter holo		
