code_point	symbol	block	block_name	name	tab_completion	latex_code
U+11900	𑤀	11900..1195F	Dives Akuru	Dives akuru letter a		
U+11901	𑤁	11900..1195F	Dives Akuru	Dives akuru letter aa		
U+11902	𑤂	11900..1195F	Dives Akuru	Dives akuru letter i		
U+11903	𑤃	11900..1195F	Dives Akuru	Dives akuru letter ii		
U+11904	𑤄	11900..1195F	Dives Akuru	Dives akuru letter u		
U+11905	𑤅	11900..1195F	Dives Akuru	Dives akuru letter uu		
U+11906	𑤆	11900..1195F	Dives Akuru	Dives akuru letter e		
U+11909	𑤉	11900..1195F	Dives Akuru	Dives akuru letter o		
U+1190C	𑤌	11900..1195F	Dives Akuru	Dives akuru letter ka		
U+1190D	𑤍	11900..1195F	Dives Akuru	Dives akuru letter kha		
U+1190E	𑤎	11900..1195F	Dives Akuru	Dives akuru letter ga		
U+1190F	𑤏	11900..1195F	Dives Akuru	Dives akuru letter gha		
U+11910	𑤐	11900..1195F	Dives Akuru	Dives akuru letter nga		
U+11911	𑤑	11900..1195F	Dives Akuru	Dives akuru letter ca		
U+11912	𑤒	11900..1195F	Dives Akuru	Dives akuru letter cha		
U+11913	𑤓	11900..1195F	Dives Akuru	Dives akuru letter ja		
U+11915	𑤕	11900..1195F	Dives Akuru	Dives akuru letter nya		
U+11916	𑤖	11900..1195F	Dives Akuru	Dives akuru letter tta		
U+11918	𑤘	11900..1195F	Dives Akuru	Dives akuru letter dda		
U+11919	𑤙	11900..1195F	Dives Akuru	Dives akuru letter ddha		
U+1191A	𑤚	11900..1195F	Dives Akuru	Dives akuru letter nna		
U+1191B	𑤛	11900..1195F	Dives Akuru	Dives akuru letter ta		
U+1191C	𑤜	11900..1195F	Dives Akuru	Dives akuru letter tha		
U+1191D	𑤝	11900..1195F	Dives Akuru	Dives akuru letter da		
U+1191E	𑤞	11900..1195F	Dives Akuru	Dives akuru letter dha		
U+1191F	𑤟	11900..1195F	Dives Akuru	Dives akuru letter na		
U+11920	𑤠	11900..1195F	Dives Akuru	Dives akuru letter pa		
U+11921	𑤡	11900..1195F	Dives Akuru	Dives akuru letter pha		
U+11922	𑤢	11900..1195F	Dives Akuru	Dives akuru letter ba		
U+11923	𑤣	11900..1195F	Dives Akuru	Dives akuru letter bha		
U+11924	𑤤	11900..1195F	Dives Akuru	Dives akuru letter ma		
U+11925	𑤥	11900..1195F	Dives Akuru	Dives akuru letter ya		
U+11926	𑤦	11900..1195F	Dives Akuru	Dives akuru letter yya		
U+11927	𑤧	11900..1195F	Dives Akuru	Dives akuru letter ra		
U+11928	𑤨	11900..1195F	Dives Akuru	Dives akuru letter la		
U+11929	𑤩	11900..1195F	Dives Akuru	Dives akuru letter va		
U+1192A	𑤪	11900..1195F	Dives Akuru	Dives akuru letter sha		
U+1192B	𑤫	11900..1195F	Dives Akuru	Dives akuru letter ssa		
U+1192C	𑤬	11900..1195F	Dives Akuru	Dives akuru letter sa		
U+1192D	𑤭	11900..1195F	Dives Akuru	Dives akuru letter ha		
U+1192E	𑤮	11900..1195F	Dives Akuru	Dives akuru letter lla		
U+1192F	𑤯	11900..1195F	Dives Akuru	Dives akuru letter za		
U+11930	𑤰	11900..1195F	Dives Akuru	Dives akuru vowel sign aa		
U+11931	𑤱	11900..1195F	Dives Akuru	Dives akuru vowel sign i		
U+11932	𑤲	11900..1195F	Dives Akuru	Dives akuru vowel sign ii		
U+11933	𑤳	11900..1195F	Dives Akuru	Dives akuru vowel sign u		
U+11934	𑤴	11900..1195F	Dives Akuru	Dives akuru vowel sign uu		
U+11935	𑤵	11900..1195F	Dives Akuru	Dives akuru vowel sign e		
U+11937	𑤷	11900..1195F	Dives Akuru	Dives akuru vowel sign ai		
U+11938	𑤸	11900..1195F	Dives Akuru	Dives akuru vowel sign o		
U+1193B	𑤻	11900..1195F	Dives Akuru	Dives akuru sign anusvara		
U+1193C	𑤼	11900..1195F	Dives Akuru	Dives akuru sign candrabindu		
U+1193D	𑤽	11900..1195F	Dives Akuru	Dives akuru sign halanta		
U+1193E	𑤾	11900..1195F	Dives Akuru	Dives akuru virama		
U+1193F	𑤿	11900..1195F	Dives Akuru	Dives akuru prefixed nasal sign		
U+11940	𑥀	11900..1195F	Dives Akuru	Dives akuru medial ya		
U+11941	𑥁	11900..1195F	Dives Akuru	Dives akuru initial ra		
U+11942	𑥂	11900..1195F	Dives Akuru	Dives akuru medial ra		
U+11943	𑥃	11900..1195F	Dives Akuru	Dives akuru sign nukta		
U+11944	𑥄	11900..1195F	Dives Akuru	Dives akuru double danda		
U+11945	𑥅	11900..1195F	Dives Akuru	Dives akuru gap filler		
U+11946	𑥆	11900..1195F	Dives Akuru	Dives akuru end of text mark		
U+11950	𑥐	11900..1195F	Dives Akuru	Dives akuru digit zero		
U+11951	𑥑	11900..1195F	Dives Akuru	Dives akuru digit one		
U+11952	𑥒	11900..1195F	Dives Akuru	Dives akuru digit two		
U+11953	𑥓	11900..1195F	Dives Akuru	Dives akuru digit three		
U+11954	𑥔	11900..1195F	Dives Akuru	Dives akuru digit four		
U+11955	𑥕	11900..1195F	Dives Akuru	Dives akuru digit five		
U+11956	𑥖	11900..1195F	Dives Akuru	Dives akuru digit six		
U+11957	𑥗	11900..1195F	Dives Akuru	Dives akuru digit seven		
U+11958	𑥘	11900..1195F	Dives Akuru	Dives akuru digit eight		
U+11959	𑥙	11900..1195F	Dives Akuru	Dives akuru digit nine		
