code_point	symbol	block	block_name	name	tab_completion	latex_code
119A0	"""𑦠"""	119A0..119FF	Nandinagari	Nandinagari letter a		
119A1	"""𑦡"""	119A0..119FF	Nandinagari	Nandinagari letter aa		
119A2	"""𑦢"""	119A0..119FF	Nandinagari	Nandinagari letter i		
119A3	"""𑦣"""	119A0..119FF	Nandinagari	Nandinagari letter ii		
119A4	"""𑦤"""	119A0..119FF	Nandinagari	Nandinagari letter u		
119A5	"""𑦥"""	119A0..119FF	Nandinagari	Nandinagari letter uu		
119A6	"""𑦦"""	119A0..119FF	Nandinagari	Nandinagari letter vocalic r		
119A7	"""𑦧"""	119A0..119FF	Nandinagari	Nandinagari letter vocalic rr		
119AA	"""𑦪"""	119A0..119FF	Nandinagari	Nandinagari letter e		
119AB	"""𑦫"""	119A0..119FF	Nandinagari	Nandinagari letter ai		
119AC	"""𑦬"""	119A0..119FF	Nandinagari	Nandinagari letter o		
119AD	"""𑦭"""	119A0..119FF	Nandinagari	Nandinagari letter au		
119AE	"""𑦮"""	119A0..119FF	Nandinagari	Nandinagari letter ka		
119AF	"""𑦯"""	119A0..119FF	Nandinagari	Nandinagari letter kha		
119B0	"""𑦰"""	119A0..119FF	Nandinagari	Nandinagari letter ga		
119B1	"""𑦱"""	119A0..119FF	Nandinagari	Nandinagari letter gha		
119B2	"""𑦲"""	119A0..119FF	Nandinagari	Nandinagari letter nga		
119B3	"""𑦳"""	119A0..119FF	Nandinagari	Nandinagari letter ca		
119B4	"""𑦴"""	119A0..119FF	Nandinagari	Nandinagari letter cha		
119B5	"""𑦵"""	119A0..119FF	Nandinagari	Nandinagari letter ja		
119B6	"""𑦶"""	119A0..119FF	Nandinagari	Nandinagari letter jha		
119B7	"""𑦷"""	119A0..119FF	Nandinagari	Nandinagari letter nya		
119B8	"""𑦸"""	119A0..119FF	Nandinagari	Nandinagari letter tta		
119B9	"""𑦹"""	119A0..119FF	Nandinagari	Nandinagari letter ttha		
119BA	"""𑦺"""	119A0..119FF	Nandinagari	Nandinagari letter dda		
119BB	"""𑦻"""	119A0..119FF	Nandinagari	Nandinagari letter ddha		
119BC	"""𑦼"""	119A0..119FF	Nandinagari	Nandinagari letter nna		
119BD	"""𑦽"""	119A0..119FF	Nandinagari	Nandinagari letter ta		
119BE	"""𑦾"""	119A0..119FF	Nandinagari	Nandinagari letter tha		
119BF	"""𑦿"""	119A0..119FF	Nandinagari	Nandinagari letter da		
119C0	"""𑧀"""	119A0..119FF	Nandinagari	Nandinagari letter dha		
119C1	"""𑧁"""	119A0..119FF	Nandinagari	Nandinagari letter na		
119C2	"""𑧂"""	119A0..119FF	Nandinagari	Nandinagari letter pa		
119C3	"""𑧃"""	119A0..119FF	Nandinagari	Nandinagari letter pha		
119C4	"""𑧄"""	119A0..119FF	Nandinagari	Nandinagari letter ba		
119C5	"""𑧅"""	119A0..119FF	Nandinagari	Nandinagari letter bha		
119C6	"""𑧆"""	119A0..119FF	Nandinagari	Nandinagari letter ma		
119C7	"""𑧇"""	119A0..119FF	Nandinagari	Nandinagari letter ya		
119C8	"""𑧈"""	119A0..119FF	Nandinagari	Nandinagari letter ra		
119C9	"""𑧉"""	119A0..119FF	Nandinagari	Nandinagari letter la		
119CA	"""𑧊"""	119A0..119FF	Nandinagari	Nandinagari letter va		
119CB	"""𑧋"""	119A0..119FF	Nandinagari	Nandinagari letter sha		
119CC	"""𑧌"""	119A0..119FF	Nandinagari	Nandinagari letter ssa		
119CD	"""𑧍"""	119A0..119FF	Nandinagari	Nandinagari letter sa		
119CE	"""𑧎"""	119A0..119FF	Nandinagari	Nandinagari letter ha		
119CF	"""𑧏"""	119A0..119FF	Nandinagari	Nandinagari letter lla		
119D0	"""𑧐"""	119A0..119FF	Nandinagari	Nandinagari letter rra		
119D1	"""𑧑"""	119A0..119FF	Nandinagari	Nandinagari vowel sign aa		
119D2	"""𑧒"""	119A0..119FF	Nandinagari	Nandinagari vowel sign i		
119D3	"""𑧓"""	119A0..119FF	Nandinagari	Nandinagari vowel sign ii		
119D4	"""𑧔"""	119A0..119FF	Nandinagari	Nandinagari vowel sign u		
119D5	"""𑧕"""	119A0..119FF	Nandinagari	Nandinagari vowel sign uu		
119D6	"""𑧖"""	119A0..119FF	Nandinagari	Nandinagari vowel sign vocalic r		
119D7	"""𑧗"""	119A0..119FF	Nandinagari	Nandinagari vowel sign vocalic rr		
119DA	"""𑧚"""	119A0..119FF	Nandinagari	Nandinagari vowel sign e		
119DB	"""𑧛"""	119A0..119FF	Nandinagari	Nandinagari vowel sign ai		
119DC	"""𑧜"""	119A0..119FF	Nandinagari	Nandinagari vowel sign o		
119DD	"""𑧝"""	119A0..119FF	Nandinagari	Nandinagari vowel sign au		
119DE	"""𑧞"""	119A0..119FF	Nandinagari	Nandinagari sign anusvara		
119DF	"""𑧟"""	119A0..119FF	Nandinagari	Nandinagari sign visarga		
119E0	"""𑧠"""	119A0..119FF	Nandinagari	Nandinagari sign virama		
119E1	"""𑧡"""	119A0..119FF	Nandinagari	Nandinagari sign avagraha		
119E2	"""𑧢"""	119A0..119FF	Nandinagari	Nandinagari sign siddham		
119E3	"""𑧣"""	119A0..119FF	Nandinagari	Nandinagari headstroke		
119E4	"""𑧤"""	119A0..119FF	Nandinagari	Nandinagari vowel sign prishthamatra e		
