code_point	symbol	block	block_name	name	tab_completion	latex_code
11A50	"""𑩐"""	11A50..11AAF	Soyombo	Soyombo letter a		
11A51	"""𑩑"""	11A50..11AAF	Soyombo	Soyombo vowel sign i		
11A52	"""𑩒"""	11A50..11AAF	Soyombo	Soyombo vowel sign ue		
11A53	"""𑩓"""	11A50..11AAF	Soyombo	Soyombo vowel sign u		
11A54	"""𑩔"""	11A50..11AAF	Soyombo	Soyombo vowel sign e		
11A55	"""𑩕"""	11A50..11AAF	Soyombo	Soyombo vowel sign o		
11A56	"""𑩖"""	11A50..11AAF	Soyombo	Soyombo vowel sign oe		
11A57	"""𑩗"""	11A50..11AAF	Soyombo	Soyombo vowel sign ai		
11A58	"""𑩘"""	11A50..11AAF	Soyombo	Soyombo vowel sign au		
11A59	"""𑩙"""	11A50..11AAF	Soyombo	Soyombo vowel sign vocalic r		
11A5A	"""𑩚"""	11A50..11AAF	Soyombo	Soyombo vowel sign vocalic l		
11A5B	"""𑩛"""	11A50..11AAF	Soyombo	Soyombo vowel length mark		
11A5C	"""𑩜"""	11A50..11AAF	Soyombo	Soyombo letter ka		
11A5D	"""𑩝"""	11A50..11AAF	Soyombo	Soyombo letter kha		
11A5E	"""𑩞"""	11A50..11AAF	Soyombo	Soyombo letter ga		
11A5F	"""𑩟"""	11A50..11AAF	Soyombo	Soyombo letter gha		
11A60	"""𑩠"""	11A50..11AAF	Soyombo	Soyombo letter nga		
11A61	"""𑩡"""	11A50..11AAF	Soyombo	Soyombo letter ca		
11A62	"""𑩢"""	11A50..11AAF	Soyombo	Soyombo letter cha		
11A63	"""𑩣"""	11A50..11AAF	Soyombo	Soyombo letter ja		
11A64	"""𑩤"""	11A50..11AAF	Soyombo	Soyombo letter jha		
11A65	"""𑩥"""	11A50..11AAF	Soyombo	Soyombo letter nya		
11A66	"""𑩦"""	11A50..11AAF	Soyombo	Soyombo letter tta		
11A67	"""𑩧"""	11A50..11AAF	Soyombo	Soyombo letter ttha		
11A68	"""𑩨"""	11A50..11AAF	Soyombo	Soyombo letter dda		
11A69	"""𑩩"""	11A50..11AAF	Soyombo	Soyombo letter ddha		
11A6A	"""𑩪"""	11A50..11AAF	Soyombo	Soyombo letter nna		
11A6B	"""𑩫"""	11A50..11AAF	Soyombo	Soyombo letter ta		
11A6C	"""𑩬"""	11A50..11AAF	Soyombo	Soyombo letter tha		
11A6D	"""𑩭"""	11A50..11AAF	Soyombo	Soyombo letter da		
11A6E	"""𑩮"""	11A50..11AAF	Soyombo	Soyombo letter dha		
11A6F	"""𑩯"""	11A50..11AAF	Soyombo	Soyombo letter na		
11A70	"""𑩰"""	11A50..11AAF	Soyombo	Soyombo letter pa		
11A71	"""𑩱"""	11A50..11AAF	Soyombo	Soyombo letter pha		
11A72	"""𑩲"""	11A50..11AAF	Soyombo	Soyombo letter ba		
11A73	"""𑩳"""	11A50..11AAF	Soyombo	Soyombo letter bha		
11A74	"""𑩴"""	11A50..11AAF	Soyombo	Soyombo letter ma		
11A75	"""𑩵"""	11A50..11AAF	Soyombo	Soyombo letter tsa		
11A76	"""𑩶"""	11A50..11AAF	Soyombo	Soyombo letter tsha		
11A77	"""𑩷"""	11A50..11AAF	Soyombo	Soyombo letter dza		
11A78	"""𑩸"""	11A50..11AAF	Soyombo	Soyombo letter zha		
11A79	"""𑩹"""	11A50..11AAF	Soyombo	Soyombo letter za		
11A7A	"""𑩺"""	11A50..11AAF	Soyombo	Soyombo letter -a		
11A7B	"""𑩻"""	11A50..11AAF	Soyombo	Soyombo letter ya		
11A7C	"""𑩼"""	11A50..11AAF	Soyombo	Soyombo letter ra		
11A7D	"""𑩽"""	11A50..11AAF	Soyombo	Soyombo letter la		
11A7E	"""𑩾"""	11A50..11AAF	Soyombo	Soyombo letter va		
11A7F	"""𑩿"""	11A50..11AAF	Soyombo	Soyombo letter sha		
11A80	"""𑪀"""	11A50..11AAF	Soyombo	Soyombo letter ssa		
11A81	"""𑪁"""	11A50..11AAF	Soyombo	Soyombo letter sa		
11A82	"""𑪂"""	11A50..11AAF	Soyombo	Soyombo letter ha		
11A83	"""𑪃"""	11A50..11AAF	Soyombo	Soyombo letter kssa		
11A84	"""𑪄"""	11A50..11AAF	Soyombo	Soyombo sign jihvamuliya		
11A85	"""𑪅"""	11A50..11AAF	Soyombo	Soyombo sign upadhmaniya		
11A86	"""𑪆"""	11A50..11AAF	Soyombo	Soyombo cluster-initial letter ra		
11A87	"""𑪇"""	11A50..11AAF	Soyombo	Soyombo cluster-initial letter la		
11A88	"""𑪈"""	11A50..11AAF	Soyombo	Soyombo cluster-initial letter sha		
11A89	"""𑪉"""	11A50..11AAF	Soyombo	Soyombo cluster-initial letter sa		
11A8A	"""𑪊"""	11A50..11AAF	Soyombo	Soyombo final consonant sign g		
11A8B	"""𑪋"""	11A50..11AAF	Soyombo	Soyombo final consonant sign k		
11A8C	"""𑪌"""	11A50..11AAF	Soyombo	Soyombo final consonant sign ng		
11A8D	"""𑪍"""	11A50..11AAF	Soyombo	Soyombo final consonant sign d		
11A8E	"""𑪎"""	11A50..11AAF	Soyombo	Soyombo final consonant sign n		
11A8F	"""𑪏"""	11A50..11AAF	Soyombo	Soyombo final consonant sign b		
11A90	"""𑪐"""	11A50..11AAF	Soyombo	Soyombo final consonant sign m		
11A91	"""𑪑"""	11A50..11AAF	Soyombo	Soyombo final consonant sign r		
11A92	"""𑪒"""	11A50..11AAF	Soyombo	Soyombo final consonant sign l		
11A93	"""𑪓"""	11A50..11AAF	Soyombo	Soyombo final consonant sign sh		
11A94	"""𑪔"""	11A50..11AAF	Soyombo	Soyombo final consonant sign s		
11A95	"""𑪕"""	11A50..11AAF	Soyombo	Soyombo final consonant sign -a		
11A96	"""𑪖"""	11A50..11AAF	Soyombo	Soyombo sign anusvara		
11A97	"""𑪗"""	11A50..11AAF	Soyombo	Soyombo sign visarga		
11A98	"""𑪘"""	11A50..11AAF	Soyombo	Soyombo gemination mark		
11A99	"""𑪙"""	11A50..11AAF	Soyombo	Soyombo subjoiner		
11A9A	"""𑪚"""	11A50..11AAF	Soyombo	Soyombo mark tsheg		
11A9B	"""𑪛"""	11A50..11AAF	Soyombo	Soyombo mark shad		
11A9C	"""𑪜"""	11A50..11AAF	Soyombo	Soyombo mark double shad		
11A9D	"""𑪝"""	11A50..11AAF	Soyombo	Soyombo mark pluta		
11A9E	"""𑪞"""	11A50..11AAF	Soyombo	Soyombo head mark with moon and sun and triple flame		
11A9F	"""𑪟"""	11A50..11AAF	Soyombo	Soyombo head mark with moon and sun and flame		
11AA0	"""𑪠"""	11A50..11AAF	Soyombo	Soyombo head mark with moon and sun		
11AA1	"""𑪡"""	11A50..11AAF	Soyombo	Soyombo terminal mark-1		
11AA2	"""𑪢"""	11A50..11AAF	Soyombo	Soyombo terminal mark-2		
