code_point	symbol	block	block_name	name	tab_completion	latex_code
U+11C00	𑰀	11C00..11C6F	Bhaiksuki	Bhaiksuki letter a		
U+11C01	𑰁	11C00..11C6F	Bhaiksuki	Bhaiksuki letter aa		
U+11C02	𑰂	11C00..11C6F	Bhaiksuki	Bhaiksuki letter i		
U+11C03	𑰃	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ii		
U+11C04	𑰄	11C00..11C6F	Bhaiksuki	Bhaiksuki letter u		
U+11C05	𑰅	11C00..11C6F	Bhaiksuki	Bhaiksuki letter uu		
U+11C06	𑰆	11C00..11C6F	Bhaiksuki	Bhaiksuki letter vocalic r		
U+11C07	𑰇	11C00..11C6F	Bhaiksuki	Bhaiksuki letter vocalic rr		
U+11C08	𑰈	11C00..11C6F	Bhaiksuki	Bhaiksuki letter vocalic l		
U+11C0A	𑰊	11C00..11C6F	Bhaiksuki	Bhaiksuki letter e		
U+11C0B	𑰋	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ai		
U+11C0C	𑰌	11C00..11C6F	Bhaiksuki	Bhaiksuki letter o		
U+11C0D	𑰍	11C00..11C6F	Bhaiksuki	Bhaiksuki letter au		
U+11C0E	𑰎	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ka		
U+11C0F	𑰏	11C00..11C6F	Bhaiksuki	Bhaiksuki letter kha		
U+11C10	𑰐	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ga		
U+11C11	𑰑	11C00..11C6F	Bhaiksuki	Bhaiksuki letter gha		
U+11C12	𑰒	11C00..11C6F	Bhaiksuki	Bhaiksuki letter nga		
U+11C13	𑰓	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ca		
U+11C14	𑰔	11C00..11C6F	Bhaiksuki	Bhaiksuki letter cha		
U+11C15	𑰕	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ja		
U+11C16	𑰖	11C00..11C6F	Bhaiksuki	Bhaiksuki letter jha		
U+11C17	𑰗	11C00..11C6F	Bhaiksuki	Bhaiksuki letter nya		
U+11C18	𑰘	11C00..11C6F	Bhaiksuki	Bhaiksuki letter tta		
U+11C19	𑰙	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ttha		
U+11C1A	𑰚	11C00..11C6F	Bhaiksuki	Bhaiksuki letter dda		
U+11C1B	𑰛	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ddha		
U+11C1C	𑰜	11C00..11C6F	Bhaiksuki	Bhaiksuki letter nna		
U+11C1D	𑰝	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ta		
U+11C1E	𑰞	11C00..11C6F	Bhaiksuki	Bhaiksuki letter tha		
U+11C1F	𑰟	11C00..11C6F	Bhaiksuki	Bhaiksuki letter da		
U+11C20	𑰠	11C00..11C6F	Bhaiksuki	Bhaiksuki letter dha		
U+11C21	𑰡	11C00..11C6F	Bhaiksuki	Bhaiksuki letter na		
U+11C22	𑰢	11C00..11C6F	Bhaiksuki	Bhaiksuki letter pa		
U+11C23	𑰣	11C00..11C6F	Bhaiksuki	Bhaiksuki letter pha		
U+11C24	𑰤	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ba		
U+11C25	𑰥	11C00..11C6F	Bhaiksuki	Bhaiksuki letter bha		
U+11C26	𑰦	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ma		
U+11C27	𑰧	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ya		
U+11C28	𑰨	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ra		
U+11C29	𑰩	11C00..11C6F	Bhaiksuki	Bhaiksuki letter la		
U+11C2A	𑰪	11C00..11C6F	Bhaiksuki	Bhaiksuki letter va		
U+11C2B	𑰫	11C00..11C6F	Bhaiksuki	Bhaiksuki letter sha		
U+11C2C	𑰬	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ssa		
U+11C2D	𑰭	11C00..11C6F	Bhaiksuki	Bhaiksuki letter sa		
U+11C2E	𑰮	11C00..11C6F	Bhaiksuki	Bhaiksuki letter ha		
U+11C2F	𑰯	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign aa		
U+11C30	𑰰	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign i		
U+11C31	𑰱	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign ii		
U+11C32	𑰲	11C00..11C6F	Bhaiksuki	Bhaiksuki vowel sign u		
