code_point	symbol	block	block_name	name	tab_completion	latex_code
U+11EE0	𑻠	11EE0..11EFF	Makasar	Makasar letter ka		
U+11EE1	𑻡	11EE0..11EFF	Makasar	Makasar letter ga		
U+11EE2	𑻢	11EE0..11EFF	Makasar	Makasar letter nga		
U+11EE3	𑻣	11EE0..11EFF	Makasar	Makasar letter pa		
U+11EE4	𑻤	11EE0..11EFF	Makasar	Makasar letter ba		
U+11EE5	𑻥	11EE0..11EFF	Makasar	Makasar letter ma		
U+11EE6	𑻦	11EE0..11EFF	Makasar	Makasar letter ta		
U+11EE7	𑻧	11EE0..11EFF	Makasar	Makasar letter da		
U+11EE8	𑻨	11EE0..11EFF	Makasar	Makasar letter na		
U+11EE9	𑻩	11EE0..11EFF	Makasar	Makasar letter ca		
U+11EEA	𑻪	11EE0..11EFF	Makasar	Makasar letter ja		
U+11EEB	𑻫	11EE0..11EFF	Makasar	Makasar letter nya		
U+11EEC	𑻬	11EE0..11EFF	Makasar	Makasar letter ya		
U+11EED	𑻭	11EE0..11EFF	Makasar	Makasar letter ra		
U+11EEE	𑻮	11EE0..11EFF	Makasar	Makasar letter la		
U+11EEF	𑻯	11EE0..11EFF	Makasar	Makasar letter va		
U+11EF0	𑻰	11EE0..11EFF	Makasar	Makasar letter sa		
U+11EF1	𑻱	11EE0..11EFF	Makasar	Makasar letter a		
U+11EF2	𑻲	11EE0..11EFF	Makasar	Makasar angka		
U+11EF3	𑻳	11EE0..11EFF	Makasar	Makasar vowel sign i		
U+11EF4	𑻴	11EE0..11EFF	Makasar	Makasar vowel sign u		
U+11EF5	𑻵	11EE0..11EFF	Makasar	Makasar vowel sign e		
U+11EF6	𑻶	11EE0..11EFF	Makasar	Makasar vowel sign o		
U+11EF7	𑻷	11EE0..11EFF	Makasar	Makasar passimbang		
U+11EF8	𑻸	11EE0..11EFF	Makasar	Makasar end of section		
