code_point	symbol	block	block_name	name	tab_completion	latex_code
11F00	"""𑼀"""	11F00..11F5F	Kawi	Kawi sign candrabindu		
11F01	"""𑼁"""	11F00..11F5F	Kawi	Kawi sign anusvara		
11F02	"""𑼂"""	11F00..11F5F	Kawi	Kawi sign repha		
11F03	"""𑼃"""	11F00..11F5F	Kawi	Kawi sign visarga		
11F04	"""𑼄"""	11F00..11F5F	Kawi	Kawi letter a		
11F05	"""𑼅"""	11F00..11F5F	Kawi	Kawi letter aa		
11F06	"""𑼆"""	11F00..11F5F	Kawi	Kawi letter i		
11F07	"""𑼇"""	11F00..11F5F	Kawi	Kawi letter ii		
11F08	"""𑼈"""	11F00..11F5F	Kawi	Kawi letter u		
11F09	"""𑼉"""	11F00..11F5F	Kawi	Kawi letter uu		
11F0A	"""𑼊"""	11F00..11F5F	Kawi	Kawi letter vocalic r		
11F0B	"""𑼋"""	11F00..11F5F	Kawi	Kawi letter vocalic rr		
11F0C	"""𑼌"""	11F00..11F5F	Kawi	Kawi letter vocalic l		
11F0D	"""𑼍"""	11F00..11F5F	Kawi	Kawi letter vocalic ll		
11F0E	"""𑼎"""	11F00..11F5F	Kawi	Kawi letter e		
11F0F	"""𑼏"""	11F00..11F5F	Kawi	Kawi letter ai		
11F10	"""𑼐"""	11F00..11F5F	Kawi	Kawi letter o		
11F12	"""𑼒"""	11F00..11F5F	Kawi	Kawi letter ka		
11F13	"""𑼓"""	11F00..11F5F	Kawi	Kawi letter kha		
11F14	"""𑼔"""	11F00..11F5F	Kawi	Kawi letter ga		
11F15	"""𑼕"""	11F00..11F5F	Kawi	Kawi letter gha		
11F16	"""𑼖"""	11F00..11F5F	Kawi	Kawi letter nga		
11F17	"""𑼗"""	11F00..11F5F	Kawi	Kawi letter ca		
11F18	"""𑼘"""	11F00..11F5F	Kawi	Kawi letter cha		
11F19	"""𑼙"""	11F00..11F5F	Kawi	Kawi letter ja		
11F1A	"""𑼚"""	11F00..11F5F	Kawi	Kawi letter jha		
