code_point	symbol	block	block_name	name	tab_completion	latex_code
U+12000	𒀀	12000..123FF	Cuneiform	Cuneiform sign a		
U+12001	𒀁	12000..123FF	Cuneiform	Cuneiform sign a times a		
U+12002	𒀂	12000..123FF	Cuneiform	Cuneiform sign a times bad		
U+12003	𒀃	12000..123FF	Cuneiform	Cuneiform sign a times gan2 tenu		
U+12004	𒀄	12000..123FF	Cuneiform	Cuneiform sign a times ha		
U+12005	𒀅	12000..123FF	Cuneiform	Cuneiform sign a times igi		
U+12006	𒀆	12000..123FF	Cuneiform	Cuneiform sign a times lagar gunu		
U+12007	𒀇	12000..123FF	Cuneiform	Cuneiform sign a times mush		
U+12008	𒀈	12000..123FF	Cuneiform	Cuneiform sign a times sag		
U+12009	𒀉	12000..123FF	Cuneiform	Cuneiform sign a2		
U+1200A	𒀊	12000..123FF	Cuneiform	Cuneiform sign ab		
U+1200B	𒀋	12000..123FF	Cuneiform	Cuneiform sign ab times ash2		
U+1200C	𒀌	12000..123FF	Cuneiform	Cuneiform sign ab times dun3 gunu		
U+1200D	𒀍	12000..123FF	Cuneiform	Cuneiform sign ab times gal		
U+1200E	𒀎	12000..123FF	Cuneiform	Cuneiform sign ab times gan2 tenu		
U+1200F	𒀏	12000..123FF	Cuneiform	Cuneiform sign ab times ha		
U+12010	𒀐	12000..123FF	Cuneiform	Cuneiform sign ab times igi gunu		
U+12011	𒀑	12000..123FF	Cuneiform	Cuneiform sign ab times imin		
U+12012	𒀒	12000..123FF	Cuneiform	Cuneiform sign ab times lagab		
U+12013	𒀓	12000..123FF	Cuneiform	Cuneiform sign ab times shesh		
U+12014	𒀔	12000..123FF	Cuneiform	Cuneiform sign ab times u plus u plus u		
U+12015	𒀕	12000..123FF	Cuneiform	Cuneiform sign ab gunu		
U+12016	𒀖	12000..123FF	Cuneiform	Cuneiform sign ab2		
U+12017	𒀗	12000..123FF	Cuneiform	Cuneiform sign ab2 times balag		
U+12018	𒀘	12000..123FF	Cuneiform	Cuneiform sign ab2 times gan2 tenu		
U+12019	𒀙	12000..123FF	Cuneiform	Cuneiform sign ab2 times me plus en		
U+1201A	𒀚	12000..123FF	Cuneiform	Cuneiform sign ab2 times sha3		
U+1201B	𒀛	12000..123FF	Cuneiform	Cuneiform sign ab2 times tak4		
U+1201C	𒀜	12000..123FF	Cuneiform	Cuneiform sign ad		
U+1201D	𒀝	12000..123FF	Cuneiform	Cuneiform sign ak		
U+1201E	𒀞	12000..123FF	Cuneiform	Cuneiform sign ak times erin2		
U+1201F	𒀟	12000..123FF	Cuneiform	Cuneiform sign ak times shita plus gish		
U+12020	𒀠	12000..123FF	Cuneiform	Cuneiform sign al		
U+12021	𒀡	12000..123FF	Cuneiform	Cuneiform sign al times al		
U+12022	𒀢	12000..123FF	Cuneiform	Cuneiform sign al times dim2		
U+12023	𒀣	12000..123FF	Cuneiform	Cuneiform sign al times gish		
U+12024	𒀤	12000..123FF	Cuneiform	Cuneiform sign al times ha		
U+12025	𒀥	12000..123FF	Cuneiform	Cuneiform sign al times kad3		
U+12026	𒀦	12000..123FF	Cuneiform	Cuneiform sign al times ki		
U+12027	𒀧	12000..123FF	Cuneiform	Cuneiform sign al times she		
U+12028	𒀨	12000..123FF	Cuneiform	Cuneiform sign al times ush		
U+12029	𒀩	12000..123FF	Cuneiform	Cuneiform sign alan		
U+1202A	𒀪	12000..123FF	Cuneiform	Cuneiform sign aleph		
U+1202B	𒀫	12000..123FF	Cuneiform	Cuneiform sign amar		
U+1202C	𒀬	12000..123FF	Cuneiform	Cuneiform sign amar times she		
U+1202D	𒀭	12000..123FF	Cuneiform	Cuneiform sign an		
U+1202E	𒀮	12000..123FF	Cuneiform	Cuneiform sign an over an		
U+1202F	𒀯	12000..123FF	Cuneiform	Cuneiform sign an three times		
U+12030	𒀰	12000..123FF	Cuneiform	Cuneiform sign an plus naga opposing an plus naga		
U+12031	𒀱	12000..123FF	Cuneiform	Cuneiform sign an plus naga squared		
U+12032	𒀲	12000..123FF	Cuneiform	Cuneiform sign anshe		
U+12033	𒀳	12000..123FF	Cuneiform	Cuneiform sign apin		
U+12034	𒀴	12000..123FF	Cuneiform	Cuneiform sign arad		
U+12035	𒀵	12000..123FF	Cuneiform	Cuneiform sign arad times kur		
U+12036	𒀶	12000..123FF	Cuneiform	Cuneiform sign arkab		
U+12037	𒀷	12000..123FF	Cuneiform	Cuneiform sign asal2		
U+12038	𒀸	12000..123FF	Cuneiform	Cuneiform sign ash		
U+12039	𒀹	12000..123FF	Cuneiform	Cuneiform sign ash zida tenu		
U+1203A	𒀺	12000..123FF	Cuneiform	Cuneiform sign ash kaba tenu		
U+1203B	𒀻	12000..123FF	Cuneiform	Cuneiform sign ash over ash tug2 over tug2 tug2 over tug2 pap		
U+1203C	𒀼	12000..123FF	Cuneiform	Cuneiform sign ash over ash over ash		
U+1203D	𒀽	12000..123FF	Cuneiform	Cuneiform sign ash over ash over ash crossing ash over ash over ash		
U+1203E	𒀾	12000..123FF	Cuneiform	Cuneiform sign ash2		
U+1203F	𒀿	12000..123FF	Cuneiform	Cuneiform sign ashgab		
U+12040	𒁀	12000..123FF	Cuneiform	Cuneiform sign ba		
U+12041	𒁁	12000..123FF	Cuneiform	Cuneiform sign bad		
U+12042	𒁂	12000..123FF	Cuneiform	Cuneiform sign bag3		
U+12043	𒁃	12000..123FF	Cuneiform	Cuneiform sign bahar2		
U+12044	𒁄	12000..123FF	Cuneiform	Cuneiform sign bal		
U+12045	𒁅	12000..123FF	Cuneiform	Cuneiform sign bal over bal		
U+12046	𒁆	12000..123FF	Cuneiform	Cuneiform sign balag		
U+12047	𒁇	12000..123FF	Cuneiform	Cuneiform sign bar		
U+12048	𒁈	12000..123FF	Cuneiform	Cuneiform sign bara2		
U+12049	𒁉	12000..123FF	Cuneiform	Cuneiform sign bi		
U+1204A	𒁊	12000..123FF	Cuneiform	Cuneiform sign bi times a		
U+1204B	𒁋	12000..123FF	Cuneiform	Cuneiform sign bi times gar		
U+1204C	𒁌	12000..123FF	Cuneiform	Cuneiform sign bi times igi gunu		
U+1204D	𒁍	12000..123FF	Cuneiform	Cuneiform sign bu		
U+1204E	𒁎	12000..123FF	Cuneiform	Cuneiform sign bu over bu ab		
U+1204F	𒁏	12000..123FF	Cuneiform	Cuneiform sign bu over bu un		
U+12050	𒁐	12000..123FF	Cuneiform	Cuneiform sign bu crossing bu		
U+12051	𒁑	12000..123FF	Cuneiform	Cuneiform sign bulug		
U+12052	𒁒	12000..123FF	Cuneiform	Cuneiform sign bulug over bulug		
U+12053	𒁓	12000..123FF	Cuneiform	Cuneiform sign bur		
U+12054	𒁔	12000..123FF	Cuneiform	Cuneiform sign bur2		
