code_point	symbol	block	block_name	name	tab_completion	latex_code
U+12400	𒐀	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign two ash		
U+12401	𒐁	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three ash		
U+12402	𒐂	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four ash		
U+12403	𒐃	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign five ash		
U+12404	𒐄	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign six ash		
U+12405	𒐅	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign seven ash		
U+12406	𒐆	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign eight ash		
U+12407	𒐇	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign nine ash		
U+12408	𒐈	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three dish		
U+12409	𒐉	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four dish		
U+1240A	𒐊	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign five dish		
U+1240B	𒐋	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign six dish		
U+1240C	𒐌	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign seven dish		
U+1240D	𒐍	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign eight dish		
U+1240E	𒐎	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign nine dish		
U+1240F	𒐏	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four u		
U+12410	𒐐	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign five u		
U+12411	𒐑	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign six u		
U+12412	𒐒	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign seven u		
U+12413	𒐓	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign eight u		
U+12414	𒐔	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign nine u		
U+12415	𒐕	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign one gesh2		
U+12416	𒐖	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign two gesh2		
U+12417	𒐗	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three gesh2		
U+12418	𒐘	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four gesh2		
U+12419	𒐙	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign five gesh2		
U+1241A	𒐚	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign six gesh2		
U+1241B	𒐛	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign seven gesh2		
U+1241C	𒐜	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign eight gesh2		
U+1241D	𒐝	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign nine gesh2		
U+1241E	𒐞	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign one geshu		
U+1241F	𒐟	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign two geshu		
U+12420	𒐠	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three geshu		
U+12421	𒐡	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four geshu		
U+12422	𒐢	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign five geshu		
U+12423	𒐣	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign two shar2		
U+12424	𒐤	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three shar2		
U+12425	𒐥	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three shar2 variant form		
U+12426	𒐦	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four shar2		
U+12427	𒐧	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign five shar2		
U+12428	𒐨	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign six shar2		
U+12429	𒐩	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign seven shar2		
U+1242A	𒐪	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign eight shar2		
U+1242B	𒐫	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign nine shar2		
U+1242C	𒐬	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign one sharu		
U+1242D	𒐭	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign two sharu		
U+1242E	𒐮	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three sharu		
U+1242F	𒐯	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three sharu variant form		
U+12430	𒐰	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four sharu		
U+12431	𒐱	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign five sharu		
U+12432	𒐲	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign shar2 times gal plus dish		
U+12433	𒐳	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign shar2 times gal plus min		
U+12434	𒐴	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign one buru		
U+12435	𒐵	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign two buru		
U+12436	𒐶	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three buru		
U+12437	𒐷	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three buru variant form		
U+12438	𒐸	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four buru		
U+12439	𒐹	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign five buru		
U+1243A	𒐺	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three variant form esh16		
U+1243B	𒐻	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign three variant form esh21		
U+1243C	𒐼	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four variant form limmu		
U+1243D	𒐽	12400..1247F	Cuneiform Numbers and Punctuation	Cuneiform numeric sign four variant form limmu4		
