code_point	symbol	block	block_name	name	tab_completion	latex_code
U+12480	𒒀	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign ab times nun tenu		
U+12481	𒒁	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign ab times shu2		
U+12482	𒒂	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign ad times esh2		
U+12483	𒒃	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign bad times dish tenu		
U+12484	𒒄	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign bahar2 times ab2		
U+12485	𒒅	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign bahar2 times ni		
U+12486	𒒆	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign bahar2 times za		
U+12487	𒒇	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign bu over bu times na2		
U+12488	𒒈	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign da times tak4		
U+12489	𒒉	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dag times kur		
U+1248A	𒒊	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dim times igi		
U+1248B	𒒋	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dim times u u u		
U+1248C	𒒌	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dim2 times ud		
U+1248D	𒒍	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times anshe		
U+1248E	𒒎	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times ash		
U+1248F	𒒏	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times ash at left		
U+12490	𒒐	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times din		
U+12491	𒒑	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times dun		
U+12492	𒒒	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times erin2		
U+12493	𒒓	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times ga		
U+12494	𒒔	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times gi		
U+12495	𒒕	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times gir2 gunu		
U+12496	𒒖	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times gish		
U+12497	𒒗	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times ha		
U+12498	𒒘	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times hi		
U+12499	𒒙	12480..1254F	Early Dynastic Cuneiform	Cuneiform sign dug times igi gunu		
