code_point	symbol	block	block_name	name	tab_completion	latex_code
12F90	"""𒾐"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm001		
12F91	"""𒾑"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm002		
12F92	"""𒾒"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm004		
12F93	"""𒾓"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm005		
12F94	"""𒾔"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm006		
12F95	"""𒾕"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm007		
12F96	"""𒾖"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm008		
12F97	"""𒾗"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm009		
12F98	"""𒾘"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm010		
12F99	"""𒾙"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm011		
12F9A	"""𒾚"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm012		
12F9B	"""𒾛"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm012b		
12F9C	"""𒾜"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm013		
12F9D	"""𒾝"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm015		
12F9E	"""𒾞"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm017		
12F9F	"""𒾟"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm019		
12FA0	"""𒾠"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm021		
12FA1	"""𒾡"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm023		
12FA2	"""𒾢"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm024		
12FA3	"""𒾣"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm025		
12FA4	"""𒾤"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm026		
12FA5	"""𒾥"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm027		
12FA6	"""𒾦"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm028		
12FA7	"""𒾧"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm029		
12FA8	"""𒾨"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm030		
12FA9	"""𒾩"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm033		
12FAA	"""𒾪"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm034		
12FAB	"""𒾫"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm035		
12FAC	"""𒾬"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm036		
12FAD	"""𒾭"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm037		
12FAE	"""𒾮"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm038		
12FAF	"""𒾯"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm039		
12FB0	"""𒾰"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm040		
12FB1	"""𒾱"""	12F90..12FFF	Cypro-Minoan	Cypro-minoan sign cm041		
