code_point	symbol	block	block_name	name	tab_completion	latex_code
14400	"""𔐀"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a001		
14401	"""𔐁"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a002		
14402	"""𔐂"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a003		
14403	"""𔐃"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a004		
14404	"""𔐄"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a005		
14405	"""𔐅"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a006		
14406	"""𔐆"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a007		
14407	"""𔐇"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a008		
14408	"""𔐈"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a009		
14409	"""𔐉"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a010		
1440A	"""𔐊"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a010a		
1440B	"""𔐋"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a011		
1440C	"""𔐌"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a012		
1440D	"""𔐍"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a013		
1440E	"""𔐎"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a014		
1440F	"""𔐏"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a015		
14410	"""𔐐"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a016		
14411	"""𔐑"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a017		
14412	"""𔐒"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a018		
14413	"""𔐓"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a019		
14414	"""𔐔"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a020		
14415	"""𔐕"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a021		
14416	"""𔐖"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a022		
14417	"""𔐗"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a023		
14418	"""𔐘"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a024		
14419	"""𔐙"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a025		
1441A	"""𔐚"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a026		
1441B	"""𔐛"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a026a		
1441C	"""𔐜"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a027		
1441D	"""𔐝"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a028		
1441E	"""𔐞"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a029		
1441F	"""𔐟"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a030		
14420	"""𔐠"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a031		
14421	"""𔐡"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a032		
14422	"""𔐢"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a033		
14423	"""𔐣"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a034		
14424	"""𔐤"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a035		
14425	"""𔐥"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a036		
14426	"""𔐦"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a037		
14427	"""𔐧"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a038		
14428	"""𔐨"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a039		
14429	"""𔐩"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a039a		
1442A	"""𔐪"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a040		
1442B	"""𔐫"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a041		
1442C	"""𔐬"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a041a		
1442D	"""𔐭"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a042		
1442E	"""𔐮"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a043		
1442F	"""𔐯"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a044		
14430	"""𔐰"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a045		
14431	"""𔐱"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a045a		
14432	"""𔐲"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a046		
14433	"""𔐳"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a046a		
14434	"""𔐴"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a046b		
14435	"""𔐵"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a047		
14436	"""𔐶"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a048		
14437	"""𔐷"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a049		
14438	"""𔐸"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a050		
14439	"""𔐹"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a051		
1443A	"""𔐺"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a052		
1443B	"""𔐻"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a053		
1443C	"""𔐼"""	14400..1467F	Anatolian Hieroglyphs	Anatolian hieroglyph a054		
