code_point	symbol	block	block_name	name	tab_completion	latex_code
16800	"""𖠀"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a ngkue mfon		
16801	"""𖠁"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a gbiee fon		
16802	"""𖠂"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a pon mfon pipaemgbiee		
16803	"""𖠃"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a pon mfon pipaemba		
16804	"""𖠄"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a naa mfon		
16805	"""𖠅"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a shuenshuet		
16806	"""𖠆"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a tita mfon		
16807	"""𖠇"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a nza mfon		
16808	"""𖠈"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a shinda pa nji		
16809	"""𖠉"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a pon pa nji pipaemgbiee		
1680A	"""𖠊"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a pon pa nji pipaemba		
1680B	"""𖠋"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a maembgbiee		
1680C	"""𖠌"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a tu maemba		
1680D	"""𖠍"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a ngangu		
1680E	"""𖠎"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a maemveux		
1680F	"""𖠏"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a mansuae		
16810	"""𖠐"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a mveuaengam		
16811	"""𖠑"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a seunyam		
16812	"""𖠒"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a ntoqpen		
16813	"""𖠓"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a keukeutnda		
16814	"""𖠔"""	16800..16A3F	Bamum Supplement	Bamum letter phase-a nkindi		
