code_point	symbol	block	block_name	name	tab_completion	latex_code
18800	"""𘠀"""	18800..18AFF	Tangut Components	Tangut component-001		
18801	"""𘠁"""	18800..18AFF	Tangut Components	Tangut component-002		
18802	"""𘠂"""	18800..18AFF	Tangut Components	Tangut component-003		
18803	"""𘠃"""	18800..18AFF	Tangut Components	Tangut component-004		
18804	"""𘠄"""	18800..18AFF	Tangut Components	Tangut component-005		
18805	"""𘠅"""	18800..18AFF	Tangut Components	Tangut component-006		
18806	"""𘠆"""	18800..18AFF	Tangut Components	Tangut component-007		
18807	"""𘠇"""	18800..18AFF	Tangut Components	Tangut component-008		
18808	"""𘠈"""	18800..18AFF	Tangut Components	Tangut component-009		
18809	"""𘠉"""	18800..18AFF	Tangut Components	Tangut component-010		
1880A	"""𘠊"""	18800..18AFF	Tangut Components	Tangut component-011		
1880B	"""𘠋"""	18800..18AFF	Tangut Components	Tangut component-012		
1880C	"""𘠌"""	18800..18AFF	Tangut Components	Tangut component-013		
1880D	"""𘠍"""	18800..18AFF	Tangut Components	Tangut component-014		
1880E	"""𘠎"""	18800..18AFF	Tangut Components	Tangut component-015		
1880F	"""𘠏"""	18800..18AFF	Tangut Components	Tangut component-016		
18810	"""𘠐"""	18800..18AFF	Tangut Components	Tangut component-017		
18811	"""𘠑"""	18800..18AFF	Tangut Components	Tangut component-018		
18812	"""𘠒"""	18800..18AFF	Tangut Components	Tangut component-019		
18813	"""𘠓"""	18800..18AFF	Tangut Components	Tangut component-020		
18814	"""𘠔"""	18800..18AFF	Tangut Components	Tangut component-021		
18815	"""𘠕"""	18800..18AFF	Tangut Components	Tangut component-022		
18816	"""𘠖"""	18800..18AFF	Tangut Components	Tangut component-023		
18817	"""𘠗"""	18800..18AFF	Tangut Components	Tangut component-024		
18818	"""𘠘"""	18800..18AFF	Tangut Components	Tangut component-025		
18819	"""𘠙"""	18800..18AFF	Tangut Components	Tangut component-026		
1881A	"""𘠚"""	18800..18AFF	Tangut Components	Tangut component-027		
1881B	"""𘠛"""	18800..18AFF	Tangut Components	Tangut component-028		
1881C	"""𘠜"""	18800..18AFF	Tangut Components	Tangut component-029		
1881D	"""𘠝"""	18800..18AFF	Tangut Components	Tangut component-030		
1881E	"""𘠞"""	18800..18AFF	Tangut Components	Tangut component-031		
1881F	"""𘠟"""	18800..18AFF	Tangut Components	Tangut component-032		
18820	"""𘠠"""	18800..18AFF	Tangut Components	Tangut component-033		
18821	"""𘠡"""	18800..18AFF	Tangut Components	Tangut component-034		
18822	"""𘠢"""	18800..18AFF	Tangut Components	Tangut component-035		
18823	"""𘠣"""	18800..18AFF	Tangut Components	Tangut component-036		
18824	"""𘠤"""	18800..18AFF	Tangut Components	Tangut component-037		
18825	"""𘠥"""	18800..18AFF	Tangut Components	Tangut component-038		
18826	"""𘠦"""	18800..18AFF	Tangut Components	Tangut component-039		
18827	"""𘠧"""	18800..18AFF	Tangut Components	Tangut component-040		
18828	"""𘠨"""	18800..18AFF	Tangut Components	Tangut component-041		
18829	"""𘠩"""	18800..18AFF	Tangut Components	Tangut component-042		
1882A	"""𘠪"""	18800..18AFF	Tangut Components	Tangut component-043		
1882B	"""𘠫"""	18800..18AFF	Tangut Components	Tangut component-044		
1882C	"""𘠬"""	18800..18AFF	Tangut Components	Tangut component-045		
1882D	"""𘠭"""	18800..18AFF	Tangut Components	Tangut component-046		
1882E	"""𘠮"""	18800..18AFF	Tangut Components	Tangut component-047		
1882F	"""𘠯"""	18800..18AFF	Tangut Components	Tangut component-048		
18830	"""𘠰"""	18800..18AFF	Tangut Components	Tangut component-049		
18831	"""𘠱"""	18800..18AFF	Tangut Components	Tangut component-050		
18832	"""𘠲"""	18800..18AFF	Tangut Components	Tangut component-051		
18833	"""𘠳"""	18800..18AFF	Tangut Components	Tangut component-052		
18834	"""𘠴"""	18800..18AFF	Tangut Components	Tangut component-053		
18835	"""𘠵"""	18800..18AFF	Tangut Components	Tangut component-054		
18836	"""𘠶"""	18800..18AFF	Tangut Components	Tangut component-055		
18837	"""𘠷"""	18800..18AFF	Tangut Components	Tangut component-056		
18838	"""𘠸"""	18800..18AFF	Tangut Components	Tangut component-057		
18839	"""𘠹"""	18800..18AFF	Tangut Components	Tangut component-058		
1883A	"""𘠺"""	18800..18AFF	Tangut Components	Tangut component-059		
1883B	"""𘠻"""	18800..18AFF	Tangut Components	Tangut component-060		
1883C	"""𘠼"""	18800..18AFF	Tangut Components	Tangut component-061		
1883D	"""𘠽"""	18800..18AFF	Tangut Components	Tangut component-062		
1883E	"""𘠾"""	18800..18AFF	Tangut Components	Tangut component-063		
1883F	"""𘠿"""	18800..18AFF	Tangut Components	Tangut component-064		
