code_point	symbol	block	block_name	name	tab_completion	latex_code
U+18B00	𘬀	18B00..18CFF	Khitan Small Script	Khitan small script character-18b00		
U+18B01	𘬁	18B00..18CFF	Khitan Small Script	Khitan small script character-18b01		
U+18B02	𘬂	18B00..18CFF	Khitan Small Script	Khitan small script character-18b02		
U+18B03	𘬃	18B00..18CFF	Khitan Small Script	Khitan small script character-18b03		
U+18B04	𘬄	18B00..18CFF	Khitan Small Script	Khitan small script character-18b04		
U+18B05	𘬅	18B00..18CFF	Khitan Small Script	Khitan small script character-18b05		
U+18B06	𘬆	18B00..18CFF	Khitan Small Script	Khitan small script character-18b06		
U+18B07	𘬇	18B00..18CFF	Khitan Small Script	Khitan small script character-18b07		
U+18B08	𘬈	18B00..18CFF	Khitan Small Script	Khitan small script character-18b08		
U+18B09	𘬉	18B00..18CFF	Khitan Small Script	Khitan small script character-18b09		
U+18B0A	𘬊	18B00..18CFF	Khitan Small Script	Khitan small script character-18b0a		
U+18B0B	𘬋	18B00..18CFF	Khitan Small Script	Khitan small script character-18b0b		
U+18B0C	𘬌	18B00..18CFF	Khitan Small Script	Khitan small script character-18b0c		
U+18B0D	𘬍	18B00..18CFF	Khitan Small Script	Khitan small script character-18b0d		
U+18B0E	𘬎	18B00..18CFF	Khitan Small Script	Khitan small script character-18b0e		
U+18B0F	𘬏	18B00..18CFF	Khitan Small Script	Khitan small script character-18b0f		
U+18B10	𘬐	18B00..18CFF	Khitan Small Script	Khitan small script character-18b10		
U+18B11	𘬑	18B00..18CFF	Khitan Small Script	Khitan small script character-18b11		
U+18B12	𘬒	18B00..18CFF	Khitan Small Script	Khitan small script character-18b12		
U+18B13	𘬓	18B00..18CFF	Khitan Small Script	Khitan small script character-18b13		
U+18B14	𘬔	18B00..18CFF	Khitan Small Script	Khitan small script character-18b14		
U+18B15	𘬕	18B00..18CFF	Khitan Small Script	Khitan small script character-18b15		
U+18B16	𘬖	18B00..18CFF	Khitan Small Script	Khitan small script character-18b16		
U+18B17	𘬗	18B00..18CFF	Khitan Small Script	Khitan small script character-18b17		
U+18B18	𘬘	18B00..18CFF	Khitan Small Script	Khitan small script character-18b18		
U+18B19	𘬙	18B00..18CFF	Khitan Small Script	Khitan small script character-18b19		
U+18B1A	𘬚	18B00..18CFF	Khitan Small Script	Khitan small script character-18b1a		
U+18B1B	𘬛	18B00..18CFF	Khitan Small Script	Khitan small script character-18b1b		
U+18B1C	𘬜	18B00..18CFF	Khitan Small Script	Khitan small script character-18b1c		
U+18B1D	𘬝	18B00..18CFF	Khitan Small Script	Khitan small script character-18b1d		
U+18B1E	𘬞	18B00..18CFF	Khitan Small Script	Khitan small script character-18b1e		
U+18B1F	𘬟	18B00..18CFF	Khitan Small Script	Khitan small script character-18b1f		
U+18B20	𘬠	18B00..18CFF	Khitan Small Script	Khitan small script character-18b20		
U+18B21	𘬡	18B00..18CFF	Khitan Small Script	Khitan small script character-18b21		
U+18B22	𘬢	18B00..18CFF	Khitan Small Script	Khitan small script character-18b22		
U+18B23	𘬣	18B00..18CFF	Khitan Small Script	Khitan small script character-18b23		
U+18B24	𘬤	18B00..18CFF	Khitan Small Script	Khitan small script character-18b24		
U+18B25	𘬥	18B00..18CFF	Khitan Small Script	Khitan small script character-18b25		
U+18B26	𘬦	18B00..18CFF	Khitan Small Script	Khitan small script character-18b26		
U+18B27	𘬧	18B00..18CFF	Khitan Small Script	Khitan small script character-18b27		
U+18B28	𘬨	18B00..18CFF	Khitan Small Script	Khitan small script character-18b28		
U+18B29	𘬩	18B00..18CFF	Khitan Small Script	Khitan small script character-18b29		
U+18B2A	𘬪	18B00..18CFF	Khitan Small Script	Khitan small script character-18b2a		
U+18B2B	𘬫	18B00..18CFF	Khitan Small Script	Khitan small script character-18b2b		
U+18B2C	𘬬	18B00..18CFF	Khitan Small Script	Khitan small script character-18b2c		
U+18B2D	𘬭	18B00..18CFF	Khitan Small Script	Khitan small script character-18b2d		
U+18B2E	𘬮	18B00..18CFF	Khitan Small Script	Khitan small script character-18b2e		
U+18B2F	𘬯	18B00..18CFF	Khitan Small Script	Khitan small script character-18b2f		
U+18B30	𘬰	18B00..18CFF	Khitan Small Script	Khitan small script character-18b30		
U+18B31	𘬱	18B00..18CFF	Khitan Small Script	Khitan small script character-18b31		
U+18B32	𘬲	18B00..18CFF	Khitan Small Script	Khitan small script character-18b32		
U+18B33	𘬳	18B00..18CFF	Khitan Small Script	Khitan small script character-18b33		
U+18B34	𘬴	18B00..18CFF	Khitan Small Script	Khitan small script character-18b34		
U+18B35	𘬵	18B00..18CFF	Khitan Small Script	Khitan small script character-18b35		
U+18B36	𘬶	18B00..18CFF	Khitan Small Script	Khitan small script character-18b36		
U+18B37	𘬷	18B00..18CFF	Khitan Small Script	Khitan small script character-18b37		
U+18B38	𘬸	18B00..18CFF	Khitan Small Script	Khitan small script character-18b38		
U+18B39	𘬹	18B00..18CFF	Khitan Small Script	Khitan small script character-18b39		
U+18B3A	𘬺	18B00..18CFF	Khitan Small Script	Khitan small script character-18b3a		
U+18B3B	𘬻	18B00..18CFF	Khitan Small Script	Khitan small script character-18b3b		
U+18B3C	𘬼	18B00..18CFF	Khitan Small Script	Khitan small script character-18b3c		
U+18B3D	𘬽	18B00..18CFF	Khitan Small Script	Khitan small script character-18b3d		
U+18B3E	𘬾	18B00..18CFF	Khitan Small Script	Khitan small script character-18b3e		
U+18B3F	𘬿	18B00..18CFF	Khitan Small Script	Khitan small script character-18b3f		
U+18B40	𘭀	18B00..18CFF	Khitan Small Script	Khitan small script character-18b40		
U+18B41	𘭁	18B00..18CFF	Khitan Small Script	Khitan small script character-18b41		
U+18B42	𘭂	18B00..18CFF	Khitan Small Script	Khitan small script character-18b42		
U+18B43	𘭃	18B00..18CFF	Khitan Small Script	Khitan small script character-18b43		
U+18B44	𘭄	18B00..18CFF	Khitan Small Script	Khitan small script character-18b44		
U+18B45	𘭅	18B00..18CFF	Khitan Small Script	Khitan small script character-18b45		
U+18B46	𘭆	18B00..18CFF	Khitan Small Script	Khitan small script character-18b46		
U+18B47	𘭇	18B00..18CFF	Khitan Small Script	Khitan small script character-18b47		
U+18B48	𘭈	18B00..18CFF	Khitan Small Script	Khitan small script character-18b48		
U+18B49	𘭉	18B00..18CFF	Khitan Small Script	Khitan small script character-18b49		
U+18B4A	𘭊	18B00..18CFF	Khitan Small Script	Khitan small script character-18b4a		
U+18B4B	𘭋	18B00..18CFF	Khitan Small Script	Khitan small script character-18b4b		
U+18B4C	𘭌	18B00..18CFF	Khitan Small Script	Khitan small script character-18b4c		
U+18B4D	𘭍	18B00..18CFF	Khitan Small Script	Khitan small script character-18b4d		
U+18B4E	𘭎	18B00..18CFF	Khitan Small Script	Khitan small script character-18b4e		
