code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1B000	𛀀	1B000..1B0FF	Kana Supplement	Katakana letter archaic e		
U+1B001	𛀁	1B000..1B0FF	Kana Supplement	Hiragana letter archaic ye		
U+1B002	𛀂	1B000..1B0FF	Kana Supplement	Hentaigana letter a-1		
U+1B003	𛀃	1B000..1B0FF	Kana Supplement	Hentaigana letter a-2		
U+1B004	𛀄	1B000..1B0FF	Kana Supplement	Hentaigana letter a-3		
U+1B005	𛀅	1B000..1B0FF	Kana Supplement	Hentaigana letter a-wo		
U+1B006	𛀆	1B000..1B0FF	Kana Supplement	Hentaigana letter i-1		
U+1B007	𛀇	1B000..1B0FF	Kana Supplement	Hentaigana letter i-2		
U+1B008	𛀈	1B000..1B0FF	Kana Supplement	Hentaigana letter i-3		
U+1B009	𛀉	1B000..1B0FF	Kana Supplement	Hentaigana letter i-4		
U+1B00A	𛀊	1B000..1B0FF	Kana Supplement	Hentaigana letter u-1		
U+1B00B	𛀋	1B000..1B0FF	Kana Supplement	Hentaigana letter u-2		
U+1B00C	𛀌	1B000..1B0FF	Kana Supplement	Hentaigana letter u-3		
U+1B00D	𛀍	1B000..1B0FF	Kana Supplement	Hentaigana letter u-4		
U+1B00E	𛀎	1B000..1B0FF	Kana Supplement	Hentaigana letter u-5		
U+1B00F	𛀏	1B000..1B0FF	Kana Supplement	Hentaigana letter e-2		
U+1B010	𛀐	1B000..1B0FF	Kana Supplement	Hentaigana letter e-3		
U+1B011	𛀑	1B000..1B0FF	Kana Supplement	Hentaigana letter e-4		
U+1B012	𛀒	1B000..1B0FF	Kana Supplement	Hentaigana letter e-5		
U+1B013	𛀓	1B000..1B0FF	Kana Supplement	Hentaigana letter e-6		
U+1B014	𛀔	1B000..1B0FF	Kana Supplement	Hentaigana letter o-1		
U+1B015	𛀕	1B000..1B0FF	Kana Supplement	Hentaigana letter o-2		
U+1B016	𛀖	1B000..1B0FF	Kana Supplement	Hentaigana letter o-3		
U+1B017	𛀗	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-1		
U+1B018	𛀘	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-2		
U+1B019	𛀙	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-3		
U+1B01A	𛀚	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-4		
U+1B01B	𛀛	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-5		
U+1B01C	𛀜	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-6		
U+1B01D	𛀝	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-7		
U+1B01E	𛀞	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-8		
U+1B01F	𛀟	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-9		
U+1B020	𛀠	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-10		
U+1B021	𛀡	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-11		
U+1B022	𛀢	1B000..1B0FF	Kana Supplement	Hentaigana letter ka-ke		
U+1B023	𛀣	1B000..1B0FF	Kana Supplement	Hentaigana letter ki-1		
U+1B024	𛀤	1B000..1B0FF	Kana Supplement	Hentaigana letter ki-2		
U+1B025	𛀥	1B000..1B0FF	Kana Supplement	Hentaigana letter ki-3		
U+1B026	𛀦	1B000..1B0FF	Kana Supplement	Hentaigana letter ki-4		
U+1B027	𛀧	1B000..1B0FF	Kana Supplement	Hentaigana letter ki-5		
U+1B028	𛀨	1B000..1B0FF	Kana Supplement	Hentaigana letter ki-6		
U+1B029	𛀩	1B000..1B0FF	Kana Supplement	Hentaigana letter ki-7		
U+1B02A	𛀪	1B000..1B0FF	Kana Supplement	Hentaigana letter ki-8		
U+1B02B	𛀫	1B000..1B0FF	Kana Supplement	Hentaigana letter ku-1		
U+1B02C	𛀬	1B000..1B0FF	Kana Supplement	Hentaigana letter ku-2		
U+1B02D	𛀭	1B000..1B0FF	Kana Supplement	Hentaigana letter ku-3		
U+1B02E	𛀮	1B000..1B0FF	Kana Supplement	Hentaigana letter ku-4		
U+1B02F	𛀯	1B000..1B0FF	Kana Supplement	Hentaigana letter ku-5		
U+1B030	𛀰	1B000..1B0FF	Kana Supplement	Hentaigana letter ku-6		
U+1B031	𛀱	1B000..1B0FF	Kana Supplement	Hentaigana letter ku-7		
U+1B032	𛀲	1B000..1B0FF	Kana Supplement	Hentaigana letter ke-1		
U+1B033	𛀳	1B000..1B0FF	Kana Supplement	Hentaigana letter ke-2		
U+1B034	𛀴	1B000..1B0FF	Kana Supplement	Hentaigana letter ke-3		
U+1B035	𛀵	1B000..1B0FF	Kana Supplement	Hentaigana letter ke-4		
U+1B036	𛀶	1B000..1B0FF	Kana Supplement	Hentaigana letter ke-5		
U+1B037	𛀷	1B000..1B0FF	Kana Supplement	Hentaigana letter ke-6		
U+1B038	𛀸	1B000..1B0FF	Kana Supplement	Hentaigana letter ko-1		
U+1B039	𛀹	1B000..1B0FF	Kana Supplement	Hentaigana letter ko-2		
U+1B03A	𛀺	1B000..1B0FF	Kana Supplement	Hentaigana letter ko-3		
U+1B03B	𛀻	1B000..1B0FF	Kana Supplement	Hentaigana letter ko-ki		
U+1B03C	𛀼	1B000..1B0FF	Kana Supplement	Hentaigana letter sa-1		
U+1B03D	𛀽	1B000..1B0FF	Kana Supplement	Hentaigana letter sa-2		
U+1B03E	𛀾	1B000..1B0FF	Kana Supplement	Hentaigana letter sa-3		
U+1B03F	𛀿	1B000..1B0FF	Kana Supplement	Hentaigana letter sa-4		
U+1B040	𛁀	1B000..1B0FF	Kana Supplement	Hentaigana letter sa-5		
U+1B041	𛁁	1B000..1B0FF	Kana Supplement	Hentaigana letter sa-6		
U+1B042	𛁂	1B000..1B0FF	Kana Supplement	Hentaigana letter sa-7		
U+1B043	𛁃	1B000..1B0FF	Kana Supplement	Hentaigana letter sa-8		
U+1B044	𛁄	1B000..1B0FF	Kana Supplement	Hentaigana letter si-1		
U+1B045	𛁅	1B000..1B0FF	Kana Supplement	Hentaigana letter si-2		
U+1B046	𛁆	1B000..1B0FF	Kana Supplement	Hentaigana letter si-3		
U+1B047	𛁇	1B000..1B0FF	Kana Supplement	Hentaigana letter si-4		
U+1B048	𛁈	1B000..1B0FF	Kana Supplement	Hentaigana letter si-5		
U+1B049	𛁉	1B000..1B0FF	Kana Supplement	Hentaigana letter si-6		
U+1B04A	𛁊	1B000..1B0FF	Kana Supplement	Hentaigana letter su-1		
U+1B04B	𛁋	1B000..1B0FF	Kana Supplement	Hentaigana letter su-2		
U+1B04C	𛁌	1B000..1B0FF	Kana Supplement	Hentaigana letter su-3		
U+1B04D	𛁍	1B000..1B0FF	Kana Supplement	Hentaigana letter su-4		
U+1B04E	𛁎	1B000..1B0FF	Kana Supplement	Hentaigana letter su-5		
U+1B04F	𛁏	1B000..1B0FF	Kana Supplement	Hentaigana letter su-6		
U+1B050	𛁐	1B000..1B0FF	Kana Supplement	Hentaigana letter su-7		
U+1B051	𛁑	1B000..1B0FF	Kana Supplement	Hentaigana letter su-8		
U+1B052	𛁒	1B000..1B0FF	Kana Supplement	Hentaigana letter se-1		
U+1B053	𛁓	1B000..1B0FF	Kana Supplement	Hentaigana letter se-2		
U+1B054	𛁔	1B000..1B0FF	Kana Supplement	Hentaigana letter se-3		
U+1B055	𛁕	1B000..1B0FF	Kana Supplement	Hentaigana letter se-4		
U+1B056	𛁖	1B000..1B0FF	Kana Supplement	Hentaigana letter se-5		
U+1B057	𛁗	1B000..1B0FF	Kana Supplement	Hentaigana letter so-1		
U+1B058	𛁘	1B000..1B0FF	Kana Supplement	Hentaigana letter so-2		
U+1B059	𛁙	1B000..1B0FF	Kana Supplement	Hentaigana letter so-3		
U+1B05A	𛁚	1B000..1B0FF	Kana Supplement	Hentaigana letter so-4		
U+1B05B	𛁛	1B000..1B0FF	Kana Supplement	Hentaigana letter so-5		
U+1B05C	𛁜	1B000..1B0FF	Kana Supplement	Hentaigana letter so-6		
U+1B05D	𛁝	1B000..1B0FF	Kana Supplement	Hentaigana letter so-7		
U+1B05E	𛁞	1B000..1B0FF	Kana Supplement	Hentaigana letter ta-1		
U+1B05F	𛁟	1B000..1B0FF	Kana Supplement	Hentaigana letter ta-2		
U+1B060	𛁠	1B000..1B0FF	Kana Supplement	Hentaigana letter ta-3		
