code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1BC00	𛰀	1BC00..1BC9F	Duployan	Duployan letter h		
U+1BC01	𛰁	1BC00..1BC9F	Duployan	Duployan letter x		
U+1BC02	𛰂	1BC00..1BC9F	Duployan	Duployan letter p		
U+1BC03	𛰃	1BC00..1BC9F	Duployan	Duployan letter t		
U+1BC04	𛰄	1BC00..1BC9F	Duployan	Duployan letter f		
U+1BC05	𛰅	1BC00..1BC9F	Duployan	Duployan letter k		
U+1BC06	𛰆	1BC00..1BC9F	Duployan	Duployan letter l		
U+1BC07	𛰇	1BC00..1BC9F	Duployan	Duployan letter b		
U+1BC08	𛰈	1BC00..1BC9F	Duployan	Duployan letter d		
U+1BC09	𛰉	1BC00..1BC9F	Duployan	Duployan letter v		
U+1BC0A	𛰊	1BC00..1BC9F	Duployan	Duployan letter g		
U+1BC0B	𛰋	1BC00..1BC9F	Duployan	Duployan letter r		
U+1BC0C	𛰌	1BC00..1BC9F	Duployan	Duployan letter p n		
U+1BC0D	𛰍	1BC00..1BC9F	Duployan	Duployan letter d s		
U+1BC0E	𛰎	1BC00..1BC9F	Duployan	Duployan letter f n		
U+1BC0F	𛰏	1BC00..1BC9F	Duployan	Duployan letter k m		
U+1BC10	𛰐	1BC00..1BC9F	Duployan	Duployan letter r s		
U+1BC11	𛰑	1BC00..1BC9F	Duployan	Duployan letter th		
U+1BC12	𛰒	1BC00..1BC9F	Duployan	Duployan letter sloan dh		
U+1BC13	𛰓	1BC00..1BC9F	Duployan	Duployan letter dh		
U+1BC14	𛰔	1BC00..1BC9F	Duployan	Duployan letter kk		
U+1BC15	𛰕	1BC00..1BC9F	Duployan	Duployan letter sloan j		
U+1BC16	𛰖	1BC00..1BC9F	Duployan	Duployan letter hl		
U+1BC17	𛰗	1BC00..1BC9F	Duployan	Duployan letter lh		
U+1BC18	𛰘	1BC00..1BC9F	Duployan	Duployan letter rh		
U+1BC19	𛰙	1BC00..1BC9F	Duployan	Duployan letter m		
U+1BC1A	𛰚	1BC00..1BC9F	Duployan	Duployan letter n		
U+1BC1B	𛰛	1BC00..1BC9F	Duployan	Duployan letter j		
U+1BC1C	𛰜	1BC00..1BC9F	Duployan	Duployan letter s		
U+1BC1D	𛰝	1BC00..1BC9F	Duployan	Duployan letter m n		
U+1BC1E	𛰞	1BC00..1BC9F	Duployan	Duployan letter n m		
U+1BC1F	𛰟	1BC00..1BC9F	Duployan	Duployan letter j m		
U+1BC20	𛰠	1BC00..1BC9F	Duployan	Duployan letter s j		
U+1BC21	𛰡	1BC00..1BC9F	Duployan	Duployan letter m with dot		
U+1BC22	𛰢	1BC00..1BC9F	Duployan	Duployan letter n with dot		
U+1BC23	𛰣	1BC00..1BC9F	Duployan	Duployan letter j with dot		
U+1BC24	𛰤	1BC00..1BC9F	Duployan	Duployan letter j with dots inside and above		
U+1BC25	𛰥	1BC00..1BC9F	Duployan	Duployan letter s with dot		
U+1BC26	𛰦	1BC00..1BC9F	Duployan	Duployan letter s with dot below		
U+1BC27	𛰧	1BC00..1BC9F	Duployan	Duployan letter m s		
U+1BC28	𛰨	1BC00..1BC9F	Duployan	Duployan letter n s		
U+1BC29	𛰩	1BC00..1BC9F	Duployan	Duployan letter j s		
U+1BC2A	𛰪	1BC00..1BC9F	Duployan	Duployan letter s s		
