code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1D000	𝀀	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol psili		
U+1D001	𝀁	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol daseia		
U+1D002	𝀂	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol perispomeni		
U+1D003	𝀃	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol oxeia ekfonitikon		
U+1D004	𝀄	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol oxeia dipli		
U+1D005	𝀅	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol vareia ekfonitikon		
U+1D006	𝀆	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol vareia dipli		
U+1D007	𝀇	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol kathisti		
U+1D008	𝀈	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol syrmatiki		
U+1D009	𝀉	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol paraklitiki		
U+1D00A	𝀊	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol ypokrisis		
U+1D00B	𝀋	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol ypokrisis dipli		
U+1D00C	𝀌	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol kremasti		
U+1D00D	𝀍	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol apeso ekfonitikon		
U+1D00E	𝀎	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol exo ekfonitikon		
U+1D00F	𝀏	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol teleia		
U+1D010	𝀐	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol kentimata		
U+1D011	𝀑	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol apostrofos		
U+1D012	𝀒	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol apostrofos dipli		
U+1D013	𝀓	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol synevma		
U+1D014	𝀔	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol thita		
U+1D015	𝀕	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol oligon archaion		
U+1D016	𝀖	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol gorgon archaion		
U+1D017	𝀗	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol psilon		
U+1D018	𝀘	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol chamilon		
U+1D019	𝀙	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol vathy		
U+1D01A	𝀚	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol ison archaion		
U+1D01B	𝀛	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol kentima archaion		
U+1D01C	𝀜	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol kentimata archaion		
U+1D01D	𝀝	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol saximata		
U+1D01E	𝀞	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol parichon		
U+1D01F	𝀟	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol stavros apodexia		
U+1D020	𝀠	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol oxeiai archaion		
U+1D021	𝀡	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol vareiai archaion		
U+1D022	𝀢	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol apoderma archaion		
U+1D023	𝀣	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol apothema		
U+1D024	𝀤	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol klasma		
U+1D025	𝀥	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol revma		
U+1D026	𝀦	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol piasma archaion		
U+1D027	𝀧	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol tinagma		
U+1D028	𝀨	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol anatrichisma		
U+1D029	𝀩	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol seisma		
U+1D02A	𝀪	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol synagma archaion		
U+1D02B	𝀫	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol synagma meta stavrou		
U+1D02C	𝀬	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol oyranisma archaion		
U+1D02D	𝀭	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol thema		
U+1D02E	𝀮	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol lemoi		
U+1D02F	𝀯	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol dyo		
U+1D030	𝀰	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol tria		
U+1D031	𝀱	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol tessera		
U+1D032	𝀲	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol kratimata		
U+1D033	𝀳	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol apeso exo neo		
U+1D034	𝀴	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol fthora archaion		
U+1D035	𝀵	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol imifthora		
U+1D036	𝀶	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol tromikon archaion		
U+1D037	𝀷	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol katava tromikon		
U+1D038	𝀸	1D000..1D0FF	Byzantine Musical Symbols	Byzantine musical symbol pelaston		
