code_point	symbol	block	block_name	name	tab_completion	latex_code
1D100	"""𝄀"""	1D100..1D1FF	Musical Symbols	Musical symbol single barline		
1D101	"""𝄁"""	1D100..1D1FF	Musical Symbols	Musical symbol double barline		
1D102	"""𝄂"""	1D100..1D1FF	Musical Symbols	Musical symbol final barline		
1D103	"""𝄃"""	1D100..1D1FF	Musical Symbols	Musical symbol reverse final barline		
1D104	"""𝄄"""	1D100..1D1FF	Musical Symbols	Musical symbol dashed barline		
1D105	"""𝄅"""	1D100..1D1FF	Musical Symbols	Musical symbol short barline		
1D106	"""𝄆"""	1D100..1D1FF	Musical Symbols	Musical symbol left repeat sign		
1D107	"""𝄇"""	1D100..1D1FF	Musical Symbols	Musical symbol right repeat sign		
1D108	"""𝄈"""	1D100..1D1FF	Musical Symbols	Musical symbol repeat dots		
1D109	"""𝄉"""	1D100..1D1FF	Musical Symbols	Musical symbol dal segno		
1D10A	"""𝄊"""	1D100..1D1FF	Musical Symbols	Musical symbol da capo		
1D10B	"""𝄋"""	1D100..1D1FF	Musical Symbols	Musical symbol segno		
1D10C	"""𝄌"""	1D100..1D1FF	Musical Symbols	Musical symbol coda		
1D10D	"""𝄍"""	1D100..1D1FF	Musical Symbols	Musical symbol repeated figure-1		
1D10E	"""𝄎"""	1D100..1D1FF	Musical Symbols	Musical symbol repeated figure-2		
1D10F	"""𝄏"""	1D100..1D1FF	Musical Symbols	Musical symbol repeated figure-3		
1D110	"""𝄐"""	1D100..1D1FF	Musical Symbols	Musical symbol fermata		
1D111	"""𝄑"""	1D100..1D1FF	Musical Symbols	Musical symbol fermata below		
1D112	"""𝄒"""	1D100..1D1FF	Musical Symbols	Musical symbol breath mark		
1D113	"""𝄓"""	1D100..1D1FF	Musical Symbols	Musical symbol caesura		
1D114	"""𝄔"""	1D100..1D1FF	Musical Symbols	Musical symbol brace		
1D115	"""𝄕"""	1D100..1D1FF	Musical Symbols	Musical symbol bracket		
1D116	"""𝄖"""	1D100..1D1FF	Musical Symbols	Musical symbol one-line staff		
1D117	"""𝄗"""	1D100..1D1FF	Musical Symbols	Musical symbol two-line staff		
1D118	"""𝄘"""	1D100..1D1FF	Musical Symbols	Musical symbol three-line staff		
1D119	"""𝄙"""	1D100..1D1FF	Musical Symbols	Musical symbol four-line staff		
1D11A	"""𝄚"""	1D100..1D1FF	Musical Symbols	Musical symbol five-line staff		
