code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1D300	𝌀	1D300..1D35F	Tai Xuan Jing Symbols	Monogram for earth		
U+1D301	𝌁	1D300..1D35F	Tai Xuan Jing Symbols	Digram for heavenly earth		
U+1D302	𝌂	1D300..1D35F	Tai Xuan Jing Symbols	Digram for human earth		
U+1D303	𝌃	1D300..1D35F	Tai Xuan Jing Symbols	Digram for earthly heaven		
U+1D304	𝌄	1D300..1D35F	Tai Xuan Jing Symbols	Digram for earthly human		
U+1D305	𝌅	1D300..1D35F	Tai Xuan Jing Symbols	Digram for earth		
U+1D306	𝌆	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for centre		
U+1D307	𝌇	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for full circle		
U+1D308	𝌈	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for mired		
U+1D309	𝌉	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for barrier		
U+1D30A	𝌊	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for keeping small		
U+1D30B	𝌋	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for contrariety		
U+1D30C	𝌌	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for ascent		
U+1D30D	𝌍	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for opposition		
U+1D30E	𝌎	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for branching out		
U+1D30F	𝌏	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for defectiveness or distortion		
U+1D310	𝌐	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for divergence		
U+1D311	𝌑	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for youthfulness		
U+1D312	𝌒	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for increase		
U+1D313	𝌓	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for penetration		
U+1D314	𝌔	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for reach		
U+1D315	𝌕	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for contact		
U+1D316	𝌖	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for holding back		
U+1D317	𝌗	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for waiting		
U+1D318	𝌘	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for following		
U+1D319	𝌙	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for advance		
U+1D31A	𝌚	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for release		
U+1D31B	𝌛	1D300..1D35F	Tai Xuan Jing Symbols	Tetragram for resistance		
