code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1D800	𝠀	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index		
U+1D801	𝠁	1D800..1DAAF	Sutton SignWriting	Signwriting hand-circle index		
U+1D802	𝠂	1D800..1DAAF	Sutton SignWriting	Signwriting hand-cup index		
U+1D803	𝠃	1D800..1DAAF	Sutton SignWriting	Signwriting hand-oval index		
U+1D804	𝠄	1D800..1DAAF	Sutton SignWriting	Signwriting hand-hinge index		
U+1D805	𝠅	1D800..1DAAF	Sutton SignWriting	Signwriting hand-angle index		
U+1D806	𝠆	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index bent		
U+1D807	𝠇	1D800..1DAAF	Sutton SignWriting	Signwriting hand-circle index bent		
U+1D808	𝠈	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist thumb under index bent		
U+1D809	𝠉	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index raised knuckle		
U+1D80A	𝠊	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index cupped		
U+1D80B	𝠋	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index hinged		
U+1D80C	𝠌	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index hinged low		
U+1D80D	𝠍	1D800..1DAAF	Sutton SignWriting	Signwriting hand-circle index hinge		
U+1D80E	𝠎	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle		
U+1D80F	𝠏	1D800..1DAAF	Sutton SignWriting	Signwriting hand-circle index middle		
U+1D810	𝠐	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle bent		
U+1D811	𝠑	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle raised knuckles		
U+1D812	𝠒	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle hinged		
U+1D813	𝠓	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index up middle hinged		
U+1D814	𝠔	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index hinged middle up		
U+1D815	𝠕	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined		
U+1D816	𝠖	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined index bent		
U+1D817	𝠗	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined middle bent		
U+1D818	𝠘	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined cupped		
U+1D819	𝠙	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined hinged		
U+1D81A	𝠚	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle crossed		
U+1D81B	𝠛	1D800..1DAAF	Sutton SignWriting	Signwriting hand-circle index middle crossed		
U+1D81C	𝠜	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist middle bent over index		
U+1D81D	𝠝	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index bent over middle		
U+1D81E	𝠞	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle thumb		
U+1D81F	𝠟	1D800..1DAAF	Sutton SignWriting	Signwriting hand-circle index middle thumb		
U+1D820	𝠠	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle straight thumb bent		
U+1D821	𝠡	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle bent thumb straight		
U+1D822	𝠢	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle thumb bent		
U+1D823	𝠣	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle hinged spread thumb side		
U+1D824	𝠤	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index up middle hinged thumb side		
U+1D825	𝠥	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index up middle hinged thumb conjoined		
U+1D826	𝠦	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index hinged middle up thumb side		
U+1D827	𝠧	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle up spread thumb forward		
U+1D828	𝠨	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle thumb cupped		
U+1D829	𝠩	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle thumb circled		
U+1D82A	𝠪	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle thumb hooked		
U+1D82B	𝠫	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle thumb hinged		
U+1D82C	𝠬	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist thumb between index middle straight		
U+1D82D	𝠭	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined thumb side		
U+1D82E	𝠮	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined thumb side conjoined		
U+1D82F	𝠯	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined thumb side bent		
U+1D830	𝠰	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist middle thumb hooked index up		
U+1D831	𝠱	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index thumb hooked middle up		
U+1D832	𝠲	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined hinged thumb side		
U+1D833	𝠳	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle crossed thumb side		
U+1D834	𝠴	1D800..1DAAF	Sutton SignWriting	Signwriting hand-fist index middle conjoined thumb forward		
