code_point	symbol	block	block_name	name	tab_completion	latex_code
1E030	"""𞀰"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small a		
1E031	"""𞀱"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small be		
1E032	"""𞀲"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small ve		
1E033	"""𞀳"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small ghe		
1E034	"""𞀴"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small de		
1E035	"""𞀵"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small ie		
1E036	"""𞀶"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small zhe		
1E037	"""𞀷"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small ze		
1E038	"""𞀸"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small i		
1E039	"""𞀹"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small ka		
1E03A	"""𞀺"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small el		
1E03B	"""𞀻"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small em		
1E03C	"""𞀼"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small o		
1E03D	"""𞀽"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small pe		
1E03E	"""𞀾"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small er		
1E03F	"""𞀿"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small es		
1E040	"""𞁀"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small te		
1E041	"""𞁁"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small u		
1E042	"""𞁂"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small ef		
1E043	"""𞁃"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small ha		
1E044	"""𞁄"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small tse		
1E045	"""𞁅"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small che		
1E046	"""𞁆"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small sha		
1E047	"""𞁇"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small yeru		
1E048	"""𞁈"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small e		
1E049	"""𞁉"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small yu		
1E04A	"""𞁊"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small dzze		
1E04B	"""𞁋"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small schwa		
1E04C	"""𞁌"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small byelorussian-ukrainian i		
1E04D	"""𞁍"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small je		
1E04E	"""𞁎"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small barred o		
1E04F	"""𞁏"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small straight u		
1E050	"""𞁐"""	1E030..1E08F	Cyrillic Extended-D	Modifier letter cyrillic small palochka		
1E051	"""𞁑"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter a		
1E052	"""𞁒"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter be		
1E053	"""𞁓"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter ve		
1E054	"""𞁔"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter ghe		
1E055	"""𞁕"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter de		
1E056	"""𞁖"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter ie		
1E057	"""𞁗"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter zhe		
1E058	"""𞁘"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter ze		
1E059	"""𞁙"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter i		
1E05A	"""𞁚"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter ka		
1E05B	"""𞁛"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter el		
1E05C	"""𞁜"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter o		
1E05D	"""𞁝"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter pe		
1E05E	"""𞁞"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter es		
1E05F	"""𞁟"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter u		
1E060	"""𞁠"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter ef		
1E061	"""𞁡"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter ha		
1E062	"""𞁢"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter tse		
1E063	"""𞁣"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter che		
1E064	"""𞁤"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter sha		
1E065	"""𞁥"""	1E030..1E08F	Cyrillic Extended-D	Cyrillic subscript small letter hard sign		
