code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1E100	𞄀	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ma		
U+1E101	𞄁	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter tsa		
U+1E102	𞄂	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter nta		
U+1E103	𞄃	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ta		
U+1E104	𞄄	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ha		
U+1E105	𞄅	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter na		
U+1E106	𞄆	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter xa		
U+1E107	𞄇	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter nka		
U+1E108	𞄈	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ca		
U+1E109	𞄉	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter la		
U+1E10A	𞄊	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter sa		
U+1E10B	𞄋	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter za		
U+1E10C	𞄌	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter nca		
U+1E10D	𞄍	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ntsa		
U+1E10E	𞄎	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ka		
U+1E10F	𞄏	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter da		
U+1E110	𞄐	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter nya		
U+1E111	𞄑	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter nra		
U+1E112	𞄒	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter va		
U+1E113	𞄓	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ntxa		
U+1E114	𞄔	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter txa		
U+1E115	𞄕	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter fa		
U+1E116	𞄖	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ra		
U+1E117	𞄗	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter qa		
U+1E118	𞄘	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ya		
U+1E119	𞄙	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter nqa		
U+1E11A	𞄚	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter pa		
U+1E11B	𞄛	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter xya		
U+1E11C	𞄜	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter npa		
U+1E11D	𞄝	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter dla		
U+1E11E	𞄞	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter npla		
U+1E11F	𞄟	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter hah		
U+1E120	𞄠	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter mla		
U+1E121	𞄡	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter pla		
U+1E122	𞄢	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ga		
U+1E123	𞄣	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter rra		
U+1E124	𞄤	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter a		
U+1E125	𞄥	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter aa		
U+1E126	𞄦	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter i		
U+1E127	𞄧	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter u		
U+1E128	𞄨	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter o		
U+1E129	𞄩	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter oo		
U+1E12A	𞄪	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter e		
U+1E12B	𞄫	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter ee		
U+1E12C	𞄬	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong letter w		
U+1E130	𞄰	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong tone-b		
U+1E131	𞄱	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong tone-m		
U+1E132	𞄲	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong tone-j		
U+1E133	𞄳	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong tone-v		
U+1E134	𞄴	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong tone-s		
U+1E135	𞄵	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong tone-g		
U+1E136	𞄶	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong tone-d		
U+1E137	𞄷	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong sign for person		
U+1E138	𞄸	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong sign for thing		
U+1E139	𞄹	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong sign for location		
U+1E13A	𞄺	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong sign for animal		
U+1E13B	𞄻	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong sign for invertebrate		
U+1E13C	𞄼	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong sign xw xw		
U+1E13D	𞄽	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong syllable lengthener		
U+1E140	𞅀	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit zero		
U+1E141	𞅁	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit one		
U+1E142	𞅂	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit two		
U+1E143	𞅃	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit three		
U+1E144	𞅄	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit four		
U+1E145	𞅅	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit five		
U+1E146	𞅆	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit six		
U+1E147	𞅇	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit seven		
U+1E148	𞅈	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit eight		
U+1E149	𞅉	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong digit nine		
U+1E14E	𞅎	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong logogram nyaj		
U+1E14F	𞅏	1E100..1E14F	Nyiakeng Puachue Hmong	Nyiakeng puachue hmong circled ca		
