code_point	symbol	block	block_name	name	tab_completion	latex_code
1E800	"""𞠀"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m001 ki		
1E801	"""𞠁"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m002 ka		
1E802	"""𞠂"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m003 ku		
1E803	"""𞠃"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m065 kee		
1E804	"""𞠄"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m095 ke		
1E805	"""𞠅"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m076 koo		
1E806	"""𞠆"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m048 ko		
1E807	"""𞠇"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m179 kua		
1E808	"""𞠈"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m004 wi		
1E809	"""𞠉"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m005 wa		
1E80A	"""𞠊"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m006 wu		
1E80B	"""𞠋"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m126 wee		
1E80C	"""𞠌"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m118 we		
1E80D	"""𞠍"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m114 woo		
1E80E	"""𞠎"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m045 wo		
1E80F	"""𞠏"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m194 wui		
1E810	"""𞠐"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m143 wei		
1E811	"""𞠑"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m061 wvi		
1E812	"""𞠒"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m049 wva		
1E813	"""𞠓"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m139 wve		
1E814	"""𞠔"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m007 min		
1E815	"""𞠕"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m008 man		
1E816	"""𞠖"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m009 mun		
1E817	"""𞠗"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m059 men		
1E818	"""𞠘"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m094 mon		
1E819	"""𞠙"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m154 muan		
1E81A	"""𞠚"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m189 muen		
1E81B	"""𞠛"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m010 bi		
1E81C	"""𞠜"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m011 ba		
1E81D	"""𞠝"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m012 bu		
1E81E	"""𞠞"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m150 bee		
1E81F	"""𞠟"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m097 be		
1E820	"""𞠠"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m103 boo		
1E821	"""𞠡"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m138 bo		
1E822	"""𞠢"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m013 i		
1E823	"""𞠣"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m014 a		
1E824	"""𞠤"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m015 u		
1E825	"""𞠥"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m163 ee		
1E826	"""𞠦"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m100 e		
1E827	"""𞠧"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m165 oo		
1E828	"""𞠨"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m147 o		
1E829	"""𞠩"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m137 ei		
1E82A	"""𞠪"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m131 in		
1E82B	"""𞠫"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m135 in		
1E82C	"""𞠬"""	1E800..1E8DF	Mende Kikakui	Mende kikakui syllable m195 an		
