code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1ED01	𞴁	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number one		
U+1ED02	𞴂	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number two		
U+1ED03	𞴃	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number three		
U+1ED04	𞴄	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number four		
U+1ED05	𞴅	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number five		
U+1ED06	𞴆	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number six		
U+1ED07	𞴇	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number seven		
U+1ED08	𞴈	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number eight		
U+1ED09	𞴉	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number nine		
U+1ED0A	𞴊	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number ten		
U+1ED0B	𞴋	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number twenty		
U+1ED0C	𞴌	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number thirty		
U+1ED0D	𞴍	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number forty		
U+1ED0E	𞴎	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number fifty		
U+1ED0F	𞴏	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number sixty		
U+1ED10	𞴐	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number seventy		
U+1ED11	𞴑	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number eighty		
U+1ED12	𞴒	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number ninety		
U+1ED13	𞴓	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number one hundred		
U+1ED14	𞴔	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number two hundred		
U+1ED15	𞴕	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number three hundred		
U+1ED16	𞴖	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number four hundred		
U+1ED17	𞴗	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number five hundred		
U+1ED18	𞴘	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number six hundred		
U+1ED19	𞴙	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number seven hundred		
U+1ED1A	𞴚	1ED00..1ED4F	Ottoman Siyaq Numbers	Ottoman siyaq number eight hundred		
