code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1F000	🀀	1F000..1F02F	Mahjong Tiles	Mahjong tile east wind		
U+1F001	🀁	1F000..1F02F	Mahjong Tiles	Mahjong tile south wind		
U+1F002	🀂	1F000..1F02F	Mahjong Tiles	Mahjong tile west wind		
U+1F003	🀃	1F000..1F02F	Mahjong Tiles	Mahjong tile north wind		
U+1F004	🀄	1F000..1F02F	Mahjong Tiles	Mahjong tile red dragon		
U+1F005	🀅	1F000..1F02F	Mahjong Tiles	Mahjong tile green dragon		
U+1F006	🀆	1F000..1F02F	Mahjong Tiles	Mahjong tile white dragon		
U+1F007	🀇	1F000..1F02F	Mahjong Tiles	Mahjong tile one of characters		
U+1F008	🀈	1F000..1F02F	Mahjong Tiles	Mahjong tile two of characters		
U+1F009	🀉	1F000..1F02F	Mahjong Tiles	Mahjong tile three of characters		
U+1F00A	🀊	1F000..1F02F	Mahjong Tiles	Mahjong tile four of characters		
U+1F00B	🀋	1F000..1F02F	Mahjong Tiles	Mahjong tile five of characters		
U+1F00C	🀌	1F000..1F02F	Mahjong Tiles	Mahjong tile six of characters		
U+1F00D	🀍	1F000..1F02F	Mahjong Tiles	Mahjong tile seven of characters		
U+1F00E	🀎	1F000..1F02F	Mahjong Tiles	Mahjong tile eight of characters		
U+1F00F	🀏	1F000..1F02F	Mahjong Tiles	Mahjong tile nine of characters		
U+1F010	🀐	1F000..1F02F	Mahjong Tiles	Mahjong tile one of bamboos		
U+1F011	🀑	1F000..1F02F	Mahjong Tiles	Mahjong tile two of bamboos		
U+1F012	🀒	1F000..1F02F	Mahjong Tiles	Mahjong tile three of bamboos		
U+1F013	🀓	1F000..1F02F	Mahjong Tiles	Mahjong tile four of bamboos		
U+1F014	🀔	1F000..1F02F	Mahjong Tiles	Mahjong tile five of bamboos		
U+1F015	🀕	1F000..1F02F	Mahjong Tiles	Mahjong tile six of bamboos		
U+1F016	🀖	1F000..1F02F	Mahjong Tiles	Mahjong tile seven of bamboos		
U+1F017	🀗	1F000..1F02F	Mahjong Tiles	Mahjong tile eight of bamboos		
U+1F018	🀘	1F000..1F02F	Mahjong Tiles	Mahjong tile nine of bamboos		
U+1F019	🀙	1F000..1F02F	Mahjong Tiles	Mahjong tile one of circles		
U+1F01A	🀚	1F000..1F02F	Mahjong Tiles	Mahjong tile two of circles		
U+1F01B	🀛	1F000..1F02F	Mahjong Tiles	Mahjong tile three of circles		
U+1F01C	🀜	1F000..1F02F	Mahjong Tiles	Mahjong tile four of circles		
U+1F01D	🀝	1F000..1F02F	Mahjong Tiles	Mahjong tile five of circles		
U+1F01E	🀞	1F000..1F02F	Mahjong Tiles	Mahjong tile six of circles		
U+1F01F	🀟	1F000..1F02F	Mahjong Tiles	Mahjong tile seven of circles		
U+1F020	🀠	1F000..1F02F	Mahjong Tiles	Mahjong tile eight of circles		
U+1F021	🀡	1F000..1F02F	Mahjong Tiles	Mahjong tile nine of circles		
U+1F022	🀢	1F000..1F02F	Mahjong Tiles	Mahjong tile plum		
U+1F023	🀣	1F000..1F02F	Mahjong Tiles	Mahjong tile orchid		
U+1F024	🀤	1F000..1F02F	Mahjong Tiles	Mahjong tile bamboo		
U+1F025	🀥	1F000..1F02F	Mahjong Tiles	Mahjong tile chrysanthemum		
U+1F026	🀦	1F000..1F02F	Mahjong Tiles	Mahjong tile spring		
U+1F027	🀧	1F000..1F02F	Mahjong Tiles	Mahjong tile summer		
U+1F028	🀨	1F000..1F02F	Mahjong Tiles	Mahjong tile autumn		
U+1F029	🀩	1F000..1F02F	Mahjong Tiles	Mahjong tile winter		
U+1F02A	🀪	1F000..1F02F	Mahjong Tiles	Mahjong tile joker		
U+1F02B	🀫	1F000..1F02F	Mahjong Tiles	Mahjong tile back		
