code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1F0A0	🂠	1F0A0..1F0FF	Playing Cards	Playing card back		
U+1F0A1	🂡	1F0A0..1F0FF	Playing Cards	Playing card ace of spades		
U+1F0A2	🂢	1F0A0..1F0FF	Playing Cards	Playing card two of spades		
U+1F0A3	🂣	1F0A0..1F0FF	Playing Cards	Playing card three of spades		
U+1F0A4	🂤	1F0A0..1F0FF	Playing Cards	Playing card four of spades		
U+1F0A5	🂥	1F0A0..1F0FF	Playing Cards	Playing card five of spades		
U+1F0A6	🂦	1F0A0..1F0FF	Playing Cards	Playing card six of spades		
U+1F0A7	🂧	1F0A0..1F0FF	Playing Cards	Playing card seven of spades		
U+1F0A8	🂨	1F0A0..1F0FF	Playing Cards	Playing card eight of spades		
U+1F0A9	🂩	1F0A0..1F0FF	Playing Cards	Playing card nine of spades		
U+1F0AA	🂪	1F0A0..1F0FF	Playing Cards	Playing card ten of spades		
U+1F0AB	🂫	1F0A0..1F0FF	Playing Cards	Playing card jack of spades		
U+1F0AC	🂬	1F0A0..1F0FF	Playing Cards	Playing card knight of spades		
U+1F0AD	🂭	1F0A0..1F0FF	Playing Cards	Playing card queen of spades		
U+1F0AE	🂮	1F0A0..1F0FF	Playing Cards	Playing card king of spades		
U+1F0B1	🂱	1F0A0..1F0FF	Playing Cards	Playing card ace of hearts		
U+1F0B2	🂲	1F0A0..1F0FF	Playing Cards	Playing card two of hearts		
U+1F0B3	🂳	1F0A0..1F0FF	Playing Cards	Playing card three of hearts		
U+1F0B4	🂴	1F0A0..1F0FF	Playing Cards	Playing card four of hearts		
U+1F0B5	🂵	1F0A0..1F0FF	Playing Cards	Playing card five of hearts		
U+1F0B6	🂶	1F0A0..1F0FF	Playing Cards	Playing card six of hearts		
U+1F0B7	🂷	1F0A0..1F0FF	Playing Cards	Playing card seven of hearts		
U+1F0B8	🂸	1F0A0..1F0FF	Playing Cards	Playing card eight of hearts		
U+1F0B9	🂹	1F0A0..1F0FF	Playing Cards	Playing card nine of hearts		
U+1F0BA	🂺	1F0A0..1F0FF	Playing Cards	Playing card ten of hearts		
U+1F0BB	🂻	1F0A0..1F0FF	Playing Cards	Playing card jack of hearts		
U+1F0BC	🂼	1F0A0..1F0FF	Playing Cards	Playing card knight of hearts		
U+1F0BD	🂽	1F0A0..1F0FF	Playing Cards	Playing card queen of hearts		
U+1F0BE	🂾	1F0A0..1F0FF	Playing Cards	Playing card king of hearts		
U+1F0BF	🂿	1F0A0..1F0FF	Playing Cards	Playing card red joker		
U+1F0C1	🃁	1F0A0..1F0FF	Playing Cards	Playing card ace of diamonds		
U+1F0C2	🃂	1F0A0..1F0FF	Playing Cards	Playing card two of diamonds		
U+1F0C3	🃃	1F0A0..1F0FF	Playing Cards	Playing card three of diamonds		
U+1F0C4	🃄	1F0A0..1F0FF	Playing Cards	Playing card four of diamonds		
U+1F0C5	🃅	1F0A0..1F0FF	Playing Cards	Playing card five of diamonds		
U+1F0C6	🃆	1F0A0..1F0FF	Playing Cards	Playing card six of diamonds		
U+1F0C7	🃇	1F0A0..1F0FF	Playing Cards	Playing card seven of diamonds		
U+1F0C8	🃈	1F0A0..1F0FF	Playing Cards	Playing card eight of diamonds		
U+1F0C9	🃉	1F0A0..1F0FF	Playing Cards	Playing card nine of diamonds		
U+1F0CA	🃊	1F0A0..1F0FF	Playing Cards	Playing card ten of diamonds		
U+1F0CB	🃋	1F0A0..1F0FF	Playing Cards	Playing card jack of diamonds		
U+1F0CC	🃌	1F0A0..1F0FF	Playing Cards	Playing card knight of diamonds		
U+1F0CD	🃍	1F0A0..1F0FF	Playing Cards	Playing card queen of diamonds		
U+1F0CE	🃎	1F0A0..1F0FF	Playing Cards	Playing card king of diamonds		
U+1F0CF	🃏	1F0A0..1F0FF	Playing Cards	Playing card black joker		
U+1F0D1	🃑	1F0A0..1F0FF	Playing Cards	Playing card ace of clubs		
U+1F0D2	🃒	1F0A0..1F0FF	Playing Cards	Playing card two of clubs		
U+1F0D3	🃓	1F0A0..1F0FF	Playing Cards	Playing card three of clubs		
U+1F0D4	🃔	1F0A0..1F0FF	Playing Cards	Playing card four of clubs		
U+1F0D5	🃕	1F0A0..1F0FF	Playing Cards	Playing card five of clubs		
U+1F0D6	🃖	1F0A0..1F0FF	Playing Cards	Playing card six of clubs		
U+1F0D7	🃗	1F0A0..1F0FF	Playing Cards	Playing card seven of clubs		
U+1F0D8	🃘	1F0A0..1F0FF	Playing Cards	Playing card eight of clubs		
U+1F0D9	🃙	1F0A0..1F0FF	Playing Cards	Playing card nine of clubs		
U+1F0DA	🃚	1F0A0..1F0FF	Playing Cards	Playing card ten of clubs		
U+1F0DB	🃛	1F0A0..1F0FF	Playing Cards	Playing card jack of clubs		
U+1F0DC	🃜	1F0A0..1F0FF	Playing Cards	Playing card knight of clubs		
U+1F0DD	🃝	1F0A0..1F0FF	Playing Cards	Playing card queen of clubs		
U+1F0DE	🃞	1F0A0..1F0FF	Playing Cards	Playing card king of clubs		
U+1F0DF	🃟	1F0A0..1F0FF	Playing Cards	Playing card white joker		
U+1F0E0	🃠	1F0A0..1F0FF	Playing Cards	Playing card fool		
U+1F0E1	🃡	1F0A0..1F0FF	Playing Cards	Playing card trump-1		
U+1F0E2	🃢	1F0A0..1F0FF	Playing Cards	Playing card trump-2		
U+1F0E3	🃣	1F0A0..1F0FF	Playing Cards	Playing card trump-3		
U+1F0E4	🃤	1F0A0..1F0FF	Playing Cards	Playing card trump-4		
U+1F0E5	🃥	1F0A0..1F0FF	Playing Cards	Playing card trump-5		
U+1F0E6	🃦	1F0A0..1F0FF	Playing Cards	Playing card trump-6		
U+1F0E7	🃧	1F0A0..1F0FF	Playing Cards	Playing card trump-7		
U+1F0E8	🃨	1F0A0..1F0FF	Playing Cards	Playing card trump-8		
U+1F0E9	🃩	1F0A0..1F0FF	Playing Cards	Playing card trump-9		
U+1F0EA	🃪	1F0A0..1F0FF	Playing Cards	Playing card trump-10		
U+1F0EB	🃫	1F0A0..1F0FF	Playing Cards	Playing card trump-11		
U+1F0EC	🃬	1F0A0..1F0FF	Playing Cards	Playing card trump-12		
U+1F0ED	🃭	1F0A0..1F0FF	Playing Cards	Playing card trump-13		
U+1F0EE	🃮	1F0A0..1F0FF	Playing Cards	Playing card trump-14		
U+1F0EF	🃯	1F0A0..1F0FF	Playing Cards	Playing card trump-15		
U+1F0F0	🃰	1F0A0..1F0FF	Playing Cards	Playing card trump-16		
U+1F0F1	🃱	1F0A0..1F0FF	Playing Cards	Playing card trump-17		
U+1F0F2	🃲	1F0A0..1F0FF	Playing Cards	Playing card trump-18		
U+1F0F3	🃳	1F0A0..1F0FF	Playing Cards	Playing card trump-19		
U+1F0F4	🃴	1F0A0..1F0FF	Playing Cards	Playing card trump-20		
U+1F0F5	🃵	1F0A0..1F0FF	Playing Cards	Playing card trump-21		
