code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1F600	😀	1F600..1F64F	Emoticons	Grinning face		
U+1F601	😁	1F600..1F64F	Emoticons	Grinning face with smiling eyes		
U+1F602	😂	1F600..1F64F	Emoticons	Face with tears of joy		
U+1F603	😃	1F600..1F64F	Emoticons	Smiling face with open mouth		
U+1F604	😄	1F600..1F64F	Emoticons	Smiling face with open mouth and smiling eyes		
U+1F605	😅	1F600..1F64F	Emoticons	Smiling face with open mouth and cold sweat		
U+1F606	😆	1F600..1F64F	Emoticons	Smiling face with open mouth and tightly-closed eyes		
U+1F607	😇	1F600..1F64F	Emoticons	Smiling face with halo		
U+1F608	😈	1F600..1F64F	Emoticons	Smiling face with horns		
U+1F609	😉	1F600..1F64F	Emoticons	Winking face		
U+1F60A	😊	1F600..1F64F	Emoticons	Smiling face with smiling eyes		
U+1F60B	😋	1F600..1F64F	Emoticons	Face savouring delicious food		
U+1F60C	😌	1F600..1F64F	Emoticons	Relieved face		
U+1F60D	😍	1F600..1F64F	Emoticons	Smiling face with heart-shaped eyes		
U+1F60E	😎	1F600..1F64F	Emoticons	Smiling face with sunglasses		
U+1F60F	😏	1F600..1F64F	Emoticons	Smirking face		
U+1F610	😐	1F600..1F64F	Emoticons	Neutral face		
U+1F611	😑	1F600..1F64F	Emoticons	Expressionless face		
U+1F612	😒	1F600..1F64F	Emoticons	Unamused face		
U+1F613	😓	1F600..1F64F	Emoticons	Face with cold sweat		
U+1F614	😔	1F600..1F64F	Emoticons	Pensive face		
U+1F615	😕	1F600..1F64F	Emoticons	Confused face		
U+1F616	😖	1F600..1F64F	Emoticons	Confounded face		
U+1F617	😗	1F600..1F64F	Emoticons	Kissing face		
U+1F618	😘	1F600..1F64F	Emoticons	Face throwing a kiss		
U+1F619	😙	1F600..1F64F	Emoticons	Kissing face with smiling eyes		
U+1F61A	😚	1F600..1F64F	Emoticons	Kissing face with closed eyes		
U+1F61B	😛	1F600..1F64F	Emoticons	Face with stuck-out tongue		
U+1F61C	😜	1F600..1F64F	Emoticons	Face with stuck-out tongue and winking eye		
U+1F61D	😝	1F600..1F64F	Emoticons	Face with stuck-out tongue and tightly-closed eyes		
U+1F61E	😞	1F600..1F64F	Emoticons	Disappointed face		
U+1F61F	😟	1F600..1F64F	Emoticons	Worried face		
U+1F620	😠	1F600..1F64F	Emoticons	Angry face		
U+1F621	😡	1F600..1F64F	Emoticons	Pouting face		
U+1F622	😢	1F600..1F64F	Emoticons	Crying face		
U+1F623	😣	1F600..1F64F	Emoticons	Persevering face		
U+1F624	😤	1F600..1F64F	Emoticons	Face with look of triumph		
U+1F625	😥	1F600..1F64F	Emoticons	Disappointed but relieved face		
U+1F626	😦	1F600..1F64F	Emoticons	Frowning face with open mouth		
U+1F627	😧	1F600..1F64F	Emoticons	Anguished face		
U+1F628	😨	1F600..1F64F	Emoticons	Fearful face		
U+1F629	😩	1F600..1F64F	Emoticons	Weary face		
U+1F62A	😪	1F600..1F64F	Emoticons	Sleepy face		
U+1F62B	😫	1F600..1F64F	Emoticons	Tired face		
U+1F62C	😬	1F600..1F64F	Emoticons	Grimacing face		
U+1F62D	😭	1F600..1F64F	Emoticons	Loudly crying face		
U+1F62E	😮	1F600..1F64F	Emoticons	Face with open mouth		
U+1F62F	😯	1F600..1F64F	Emoticons	Hushed face		
U+1F630	😰	1F600..1F64F	Emoticons	Face with open mouth and cold sweat		
U+1F631	😱	1F600..1F64F	Emoticons	Face screaming in fear		
U+1F632	😲	1F600..1F64F	Emoticons	Astonished face		
U+1F633	😳	1F600..1F64F	Emoticons	Flushed face		
U+1F634	😴	1F600..1F64F	Emoticons	Sleeping face		
U+1F635	😵	1F600..1F64F	Emoticons	Dizzy face		
U+1F636	😶	1F600..1F64F	Emoticons	Face without mouth		
U+1F637	😷	1F600..1F64F	Emoticons	Face with medical mask		
U+1F638	😸	1F600..1F64F	Emoticons	Grinning cat face with smiling eyes		
U+1F639	😹	1F600..1F64F	Emoticons	Cat face with tears of joy		
U+1F63A	😺	1F600..1F64F	Emoticons	Smiling cat face with open mouth		
U+1F63B	😻	1F600..1F64F	Emoticons	Smiling cat face with heart-shaped eyes		
U+1F63C	😼	1F600..1F64F	Emoticons	Cat face with wry smile		
U+1F63D	😽	1F600..1F64F	Emoticons	Kissing cat face with closed eyes		
U+1F63E	😾	1F600..1F64F	Emoticons	Pouting cat face		
U+1F63F	😿	1F600..1F64F	Emoticons	Crying cat face		
U+1F640	🙀	1F600..1F64F	Emoticons	Weary cat face		
