code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1F700	🜀	1F700..1F77F	Alchemical Symbols	Alchemical symbol for quintessence		
U+1F701	🜁	1F700..1F77F	Alchemical Symbols	Alchemical symbol for air		
U+1F702	🜂	1F700..1F77F	Alchemical Symbols	Alchemical symbol for fire		
U+1F703	🜃	1F700..1F77F	Alchemical Symbols	Alchemical symbol for earth		
U+1F704	🜄	1F700..1F77F	Alchemical Symbols	Alchemical symbol for water		
U+1F705	🜅	1F700..1F77F	Alchemical Symbols	Alchemical symbol for aquafortis		
U+1F706	🜆	1F700..1F77F	Alchemical Symbols	Alchemical symbol for aqua regia		
U+1F707	🜇	1F700..1F77F	Alchemical Symbols	Alchemical symbol for aqua regia-2		
U+1F708	🜈	1F700..1F77F	Alchemical Symbols	Alchemical symbol for aqua vitae		
U+1F709	🜉	1F700..1F77F	Alchemical Symbols	Alchemical symbol for aqua vitae-2		
U+1F70A	🜊	1F700..1F77F	Alchemical Symbols	Alchemical symbol for vinegar		
U+1F70B	🜋	1F700..1F77F	Alchemical Symbols	Alchemical symbol for vinegar-2		
U+1F70C	🜌	1F700..1F77F	Alchemical Symbols	Alchemical symbol for vinegar-3		
U+1F70D	🜍	1F700..1F77F	Alchemical Symbols	Alchemical symbol for sulfur		
U+1F70E	🜎	1F700..1F77F	Alchemical Symbols	Alchemical symbol for philosophers sulfur		
U+1F70F	🜏	1F700..1F77F	Alchemical Symbols	Alchemical symbol for black sulfur		
U+1F710	🜐	1F700..1F77F	Alchemical Symbols	Alchemical symbol for mercury sublimate		
U+1F711	🜑	1F700..1F77F	Alchemical Symbols	Alchemical symbol for mercury sublimate-2		
U+1F712	🜒	1F700..1F77F	Alchemical Symbols	Alchemical symbol for mercury sublimate-3		
U+1F713	🜓	1F700..1F77F	Alchemical Symbols	Alchemical symbol for cinnabar		
U+1F714	🜔	1F700..1F77F	Alchemical Symbols	Alchemical symbol for salt		
U+1F715	🜕	1F700..1F77F	Alchemical Symbols	Alchemical symbol for nitre		
U+1F716	🜖	1F700..1F77F	Alchemical Symbols	Alchemical symbol for vitriol		
U+1F717	🜗	1F700..1F77F	Alchemical Symbols	Alchemical symbol for vitriol-2		
U+1F718	🜘	1F700..1F77F	Alchemical Symbols	Alchemical symbol for rock salt		
U+1F719	🜙	1F700..1F77F	Alchemical Symbols	Alchemical symbol for rock salt-2		
U+1F71A	🜚	1F700..1F77F	Alchemical Symbols	Alchemical symbol for gold		
U+1F71B	🜛	1F700..1F77F	Alchemical Symbols	Alchemical symbol for silver		
U+1F71C	🜜	1F700..1F77F	Alchemical Symbols	Alchemical symbol for iron ore		
U+1F71D	🜝	1F700..1F77F	Alchemical Symbols	Alchemical symbol for iron ore-2		
U+1F71E	🜞	1F700..1F77F	Alchemical Symbols	Alchemical symbol for crocus of iron		
U+1F71F	🜟	1F700..1F77F	Alchemical Symbols	Alchemical symbol for regulus of iron		
U+1F720	🜠	1F700..1F77F	Alchemical Symbols	Alchemical symbol for copper ore		
U+1F721	🜡	1F700..1F77F	Alchemical Symbols	Alchemical symbol for iron-copper ore		
U+1F722	🜢	1F700..1F77F	Alchemical Symbols	Alchemical symbol for sublimate of copper		
U+1F723	🜣	1F700..1F77F	Alchemical Symbols	Alchemical symbol for crocus of copper		
U+1F724	🜤	1F700..1F77F	Alchemical Symbols	Alchemical symbol for crocus of copper-2		
U+1F725	🜥	1F700..1F77F	Alchemical Symbols	Alchemical symbol for copper antimoniate		
