code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1F800	🠀	1F800..1F8FF	Supplemental Arrows-C	Leftwards arrow with small triangle arrowhead		
U+1F801	🠁	1F800..1F8FF	Supplemental Arrows-C	Upwards arrow with small triangle arrowhead		
U+1F802	🠂	1F800..1F8FF	Supplemental Arrows-C	Rightwards arrow with small triangle arrowhead		
U+1F803	🠃	1F800..1F8FF	Supplemental Arrows-C	Downwards arrow with small triangle arrowhead		
U+1F804	🠄	1F800..1F8FF	Supplemental Arrows-C	Leftwards arrow with medium triangle arrowhead		
U+1F805	🠅	1F800..1F8FF	Supplemental Arrows-C	Upwards arrow with medium triangle arrowhead		
U+1F806	🠆	1F800..1F8FF	Supplemental Arrows-C	Rightwards arrow with medium triangle arrowhead		
U+1F807	🠇	1F800..1F8FF	Supplemental Arrows-C	Downwards arrow with medium triangle arrowhead		
U+1F808	🠈	1F800..1F8FF	Supplemental Arrows-C	Leftwards arrow with large triangle arrowhead		
U+1F809	🠉	1F800..1F8FF	Supplemental Arrows-C	Upwards arrow with large triangle arrowhead		
U+1F80A	🠊	1F800..1F8FF	Supplemental Arrows-C	Rightwards arrow with large triangle arrowhead		
U+1F80B	🠋	1F800..1F8FF	Supplemental Arrows-C	Downwards arrow with large triangle arrowhead		
U+1F810	🠐	1F800..1F8FF	Supplemental Arrows-C	Leftwards arrow with small equilateral arrowhead		
U+1F811	🠑	1F800..1F8FF	Supplemental Arrows-C	Upwards arrow with small equilateral arrowhead		
U+1F812	🠒	1F800..1F8FF	Supplemental Arrows-C	Rightwards arrow with small equilateral arrowhead		
U+1F813	🠓	1F800..1F8FF	Supplemental Arrows-C	Downwards arrow with small equilateral arrowhead		
U+1F814	🠔	1F800..1F8FF	Supplemental Arrows-C	Leftwards arrow with equilateral arrowhead		
U+1F815	🠕	1F800..1F8FF	Supplemental Arrows-C	Upwards arrow with equilateral arrowhead		
U+1F816	🠖	1F800..1F8FF	Supplemental Arrows-C	Rightwards arrow with equilateral arrowhead		
U+1F817	🠗	1F800..1F8FF	Supplemental Arrows-C	Downwards arrow with equilateral arrowhead		
U+1F818	🠘	1F800..1F8FF	Supplemental Arrows-C	Heavy leftwards arrow with equilateral arrowhead		
U+1F819	🠙	1F800..1F8FF	Supplemental Arrows-C	Heavy upwards arrow with equilateral arrowhead		
U+1F81A	🠚	1F800..1F8FF	Supplemental Arrows-C	Heavy rightwards arrow with equilateral arrowhead		
