code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1F900	🤀	1F900..1F9FF	Supplemental Symbols and Pictographs	Circled cross formee with four dots		
U+1F901	🤁	1F900..1F9FF	Supplemental Symbols and Pictographs	Circled cross formee with two dots		
U+1F902	🤂	1F900..1F9FF	Supplemental Symbols and Pictographs	Circled cross formee		
U+1F903	🤃	1F900..1F9FF	Supplemental Symbols and Pictographs	Left half circle with four dots		
U+1F904	🤄	1F900..1F9FF	Supplemental Symbols and Pictographs	Left half circle with three dots		
U+1F905	🤅	1F900..1F9FF	Supplemental Symbols and Pictographs	Left half circle with two dots		
U+1F906	🤆	1F900..1F9FF	Supplemental Symbols and Pictographs	Left half circle with dot		
U+1F907	🤇	1F900..1F9FF	Supplemental Symbols and Pictographs	Left half circle		
U+1F908	🤈	1F900..1F9FF	Supplemental Symbols and Pictographs	Downward facing hook		
U+1F909	🤉	1F900..1F9FF	Supplemental Symbols and Pictographs	Downward facing notched hook		
U+1F90A	🤊	1F900..1F9FF	Supplemental Symbols and Pictographs	Downward facing hook with dot		
U+1F90B	🤋	1F900..1F9FF	Supplemental Symbols and Pictographs	Downward facing notched hook with dot		
U+1F90C	🤌	1F900..1F9FF	Supplemental Symbols and Pictographs	Pinched fingers		
U+1F90D	🤍	1F900..1F9FF	Supplemental Symbols and Pictographs	White heart		
U+1F90E	🤎	1F900..1F9FF	Supplemental Symbols and Pictographs	Brown heart		
U+1F90F	🤏	1F900..1F9FF	Supplemental Symbols and Pictographs	Pinching hand		
U+1F910	🤐	1F900..1F9FF	Supplemental Symbols and Pictographs	Zipper-mouth face		
U+1F911	🤑	1F900..1F9FF	Supplemental Symbols and Pictographs	Money-mouth face		
U+1F912	🤒	1F900..1F9FF	Supplemental Symbols and Pictographs	Face with thermometer		
U+1F913	🤓	1F900..1F9FF	Supplemental Symbols and Pictographs	Nerd face		
U+1F914	🤔	1F900..1F9FF	Supplemental Symbols and Pictographs	Thinking face		
